timestamp,gpu_util,memory_used_mb,memory_total_mb,power_draw_w
2026/04/05 16:49:18.448,12.0,4013.0,10240.0,41.13
2026/04/05 16:49:19.507,1.0,4014.0,10240.0,101.67
2026/04/05 16:49:20.592,22.0,4076.0,10240.0,102.87
2026/04/05 16:49:21.846,22.0,4071.0,10240.0,107.19
2026/04/05 16:49:23.022,29.0,4071.0,10240.0,107.38
2026/04/05 16:49:24.188,22.0,4067.0,10240.0,107.73
2026/04/05 16:49:25.413,24.0,4067.0,10240.0,104.61
2026/04/05 16:49:26.619,32.0,4067.0,10240.0,72.37
2026/04/05 16:49:27.830,29.0,4063.0,10240.0,70.33
2026/04/05 16:49:29.033,26.0,4064.0,10240.0,80.25
2026/04/05 16:49:30.216,25.0,4066.0,10240.0,95.42
2026/04/05 16:49:31.457,39.0,4071.0,10240.0,73.13
2026/04/05 16:49:32.740,31.0,4067.0,10240.0,70.33
2026/04/05 16:49:33.988,26.0,4067.0,10240.0,70.44
2026/04/05 16:49:35.233,29.0,4088.0,10240.0,71.17
2026/04/05 16:49:36.443,43.0,4079.0,10240.0,69.75
2026/04/05 16:49:37.731,28.0,4072.0,10240.0,69.7
2026/04/05 16:49:38.947,32.0,4072.0,10240.0,70.04
2026/04/05 16:49:40.178,29.0,4072.0,10240.0,70.31
2026/04/05 16:49:41.474,31.0,4091.0,10240.0,72.28
2026/04/05 16:49:42.680,31.0,4093.0,10240.0,69.79
2026/04/05 16:49:44.019,35.0,4095.0,10240.0,69.36
2026/04/05 16:49:45.299,38.0,4095.0,10240.0,64.09
2026/04/05 16:49:46.494,32.0,4088.0,10240.0,70.28
2026/04/05 16:49:47.664,42.0,4080.0,10240.0,73.72
2026/04/05 16:49:48.820,27.0,4130.0,10240.0,76.88
2026/04/05 16:49:50.110,29.0,4146.0,10240.0,83.92
2026/04/05 16:49:51.372,26.0,4143.0,10240.0,95.12
2026/04/05 16:49:52.535,33.0,4077.0,10240.0,71.99
2026/04/05 16:49:53.753,30.0,4068.0,10240.0,70.23
2026/04/05 16:49:54.936,28.0,4068.0,10240.0,71.93
2026/04/05 16:49:56.102,28.0,4060.0,10240.0,72.58
2026/04/05 16:49:57.285,27.0,4060.0,10240.0,72.6
2026/04/05 16:49:58.478,30.0,4065.0,10240.0,72.38
2026/04/05 16:49:59.657,38.0,4063.0,10240.0,72.86
2026/04/05 16:50:00.838,45.0,4061.0,10240.0,72.08
2026/04/05 16:50:02.143,28.0,4062.0,10240.0,72.78
2026/04/05 16:50:03.306,29.0,4056.0,10240.0,71.78
2026/04/05 16:50:04.478,32.0,4043.0,10240.0,72.85
2026/04/05 16:50:05.637,36.0,4043.0,10240.0,74.17
2026/04/05 16:50:06.898,25.0,4043.0,10240.0,83.64
2026/04/05 16:50:08.138,26.0,4039.0,10240.0,95.84
2026/04/05 16:50:09.342,38.0,4138.0,10240.0,72.82
2026/04/05 16:50:10.578,27.0,4144.0,10240.0,70.25
2026/04/05 16:50:11.749,28.0,4127.0,10240.0,72.81
2026/04/05 16:50:12.893,32.0,4063.0,10240.0,74.74
2026/04/05 16:50:14.037,42.0,4069.0,10240.0,71.59
2026/04/05 16:50:15.213,35.0,4068.0,10240.0,71.76
2026/04/05 16:50:16.393,28.0,4055.0,10240.0,71.03
2026/04/05 16:50:17.547,28.0,4053.0,10240.0,71.64
2026/04/05 16:50:18.854,38.0,4053.0,10240.0,74.65
