link_asset_id,parent_activity_id,parent_post_number,source_type,canonical_url,readable_url,local_readable_path,reading_status,readable_text_length,checksum,project_use,decision,error
7455503720936693760_external_01,7455503720936693760,1,github,https://github.com/andrija-djurovic/adsfcr,https://raw.githubusercontent.com/andrija-djurovic/adsfcr/main/README.md,external_sources/readable/7455503720936693760_external_01.txt,readable_http_200,22396,d6375ab5fd1fb993d07635b639d79f8392412ed353620825266ff4b0241d8fd0,code_context,Use as implementation context only unless locally benchmarked.,
7455503720936693760_external_02,7455503720936693760,1,github,https://github.com/andrija-djurovic/adsfcr/blob/main/model_dev_and_vld/fli_smi.pdf,https://raw.githubusercontent.com/andrija-djurovic/adsfcr/main/model_dev_and_vld/fli_smi.pdf,external_sources/readable/7455503720936693760_external_02.txt,pdf_text_extracted_pdftotext,17264,eef80e5ec3c8fb32d58ff88373858fec88690fdb072c3431e88c235f4aabfbfa,code_context,Use as implementation context only unless locally benchmarked.,
7455503720936693760_external_03,7455503720936693760,1,github,https://github.com/andrija-djurovic/adsfcr/blob/main/model_dev_and_vld/smi_r/smi_r_manual.pdf,https://raw.githubusercontent.com/andrija-djurovic/adsfcr/main/model_dev_and_vld/smi_r/smi_r_manual.pdf,external_sources/readable/7455503720936693760_external_03.txt,pdf_text_extracted_pdftotext,28206,a8ddcc807000bfc0e50e1b16b4195918bcb68706d48206f8452365094cd99612,code_context,Use as implementation context only unless locally benchmarked.,
7455503720936693760_external_04,7455503720936693760,1,github,https://github.com/andrija-djurovic/adsfcr/blob/main/model_dev_and_vld/cat_rf_bin.pdf,https://raw.githubusercontent.com/andrija-djurovic/adsfcr/main/model_dev_and_vld/cat_rf_bin.pdf,external_sources/readable/7455503720936693760_external_04.txt,pdf_text_extracted_pdftotext,9391,293fa92b51df684a86f04e0fd049434648e73baca351200ea783e53a76bddd64,code_context,Use as implementation context only unless locally benchmarked.,
7455503720936693760_external_05,7455503720936693760,1,github,https://github.com/andrija-djurovic/adsfcr/blob/main/mrm/representativeness_c2st.pdf,https://raw.githubusercontent.com/andrija-djurovic/adsfcr/main/mrm/representativeness_c2st.pdf,external_sources/readable/7455503720936693760_external_05.txt,pdf_text_extracted_pdftotext,10454,3ff1dbfa56e3d1e647f24cae1ebc296440d8de8395a993ff2de9c170d0695c72,code_context,Use as implementation context only unless locally benchmarked.,
7455503720936693760_external_06,7455503720936693760,1,github,https://github.com/andrija-djurovic/adsfcr/blob/main/model_dev_and_vld/cont_target_woe_equivalent.pdf,https://raw.githubusercontent.com/andrija-djurovic/adsfcr/main/model_dev_and_vld/cont_target_woe_equivalent.pdf,external_sources/readable/7455503720936693760_external_06.txt,pdf_text_extracted_pdftotext,7966,82b0661d593695d2f5a2eb962e088b7b723ffba2ec5e81e21b1f61231d3a3e9d,code_context,Use as implementation context only unless locally benchmarked.,
7455503720936693760_external_07,7455503720936693760,1,github,https://github.com/andrija-djurovic/adsfcr/blob/main/mrm/ols_and_mte_instability.pdf,https://raw.githubusercontent.com/andrija-djurovic/adsfcr/main/mrm/ols_and_mte_instability.pdf,external_sources/readable/7455503720936693760_external_07.txt,pdf_text_extracted_pdftotext,11775,2b1b0a2e87f60e5ac07b8c6e8b29b8f8d3ce52e501ea49de89d540c3fe1eb50d,code_context,Use as implementation context only unless locally benchmarked.,
7455503720936693760_external_08,7455503720936693760,1,github,https://github.com/andrija-djurovic/adsfcr/blob/main/mrm/heterogeneity.pdf,https://raw.githubusercontent.com/andrija-djurovic/adsfcr/main/mrm/heterogeneity.pdf,external_sources/readable/7455503720936693760_external_08.txt,pdf_text_extracted_pdftotext,11349,9a83e35670e204ee58cc29bff7cee1c21af7b678a4369bd0c743c2d8fbb00d63,code_context,Use as implementation context only unless locally benchmarked.,
7455503720936693760_external_09,7455503720936693760,1,github,https://github.com/andrija-djurovic/adsfcr/blob/main/mrm/lgd_ccf_dp_somersd_dxy_dyx.pdf,https://raw.githubusercontent.com/andrija-djurovic/adsfcr/main/mrm/lgd_ccf_dp_somersd_dxy_dyx.pdf,external_sources/readable/7455503720936693760_external_09.txt,pdf_text_extracted_pdftotext,13067,45f314a73ecc5e70f45e77c0eade38be0b238f1a65cf18cd231b838d59067ed6,code_context,Use as implementation context only unless locally benchmarked.,
7455503720936693760_external_10,7455503720936693760,1,github,https://github.com/andrija-djurovic/adsfcr/blob/main/risk_quantification/pd_drs_calibration.pdf,https://raw.githubusercontent.com/andrija-djurovic/adsfcr/main/risk_quantification/pd_drs_calibration.pdf,external_sources/readable/7455503720936693760_external_10.txt,pdf_text_extracted_pdftotext,13005,5963d69abd584a22c86de7cf6d800f98da52b0360812c6e4e516dca6ac96050d,code_context,Use as implementation context only unless locally benchmarked.,
