n,activity_id,post_url,capture_status,post_text_path,html_path,document_count,image_count,error
1,7455503720936693760,https://www.linkedin.com/posts/andrija-djurovic_creditrisk-irb-ifrs9-activity-7455503720936693760-X4vC,captured_http_200_text/html,attachments/raw/7455503720936693760/post_text.txt,attachments/raw/7455503720936693760/post.html,0,0,
2,7443560044412968960,https://www.linkedin.com/posts/andrija-djurovic_irb-ifrs9-pd-activity-7443560044412968960-P7Wf,captured_http_200_text/html,attachments/raw/7443560044412968960/post_text.txt,attachments/raw/7443560044412968960/post.html,0,0,
3,7461301929135022080,https://www.linkedin.com/posts/andrija-djurovic_pdbacktestingmpat-activity-7461301929135022080-ZWpE,captured_http_200_text/html,attachments/raw/7461301929135022080/post_text.txt,attachments/raw/7461301929135022080/post.html,1,1,
4,7458765378664427520,https://www.linkedin.com/posts/andrija-djurovic_rfpdtbinteractions-activity-7458765378664427520-26OI,captured_http_200_text/html,attachments/raw/7458765378664427520/post_text.txt,attachments/raw/7458765378664427520/post.html,1,1,
5,7453691768476405760,https://www.linkedin.com/posts/andrija-djurovic_nttypeierror-activity-7453691768476405760-wjws,captured_http_200_text/html,attachments/raw/7453691768476405760/post_text.txt,attachments/raw/7453691768476405760/post.html,1,1,
6,7451153797881618432,https://www.linkedin.com/posts/andrija-djurovic_smipymanual-activity-7451153797881618432-tf0b,captured_http_200_text/html,attachments/raw/7451153797881618432/post_text.txt,attachments/raw/7451153797881618432/post.html,1,1,
7,7448618361606873088,https://www.linkedin.com/posts/andrija-djurovic_lgdeadsomersdandconservatism-activity-7448618361606873088-godV,captured_http_200_text/html,attachments/raw/7448618361606873088/post_text.txt,attachments/raw/7448618361606873088/post.html,1,1,
8,7446081646761738240,https://www.linkedin.com/posts/andrija-djurovic_pdmoccegimimpact-activity-7446081646761738240-U3Tc,captured_http_200_text/html,attachments/raw/7446081646761738240/post_text.txt,attachments/raw/7446081646761738240/post.html,1,1,
9,7441019641449050113,https://www.linkedin.com/posts/andrija-djurovic_2sidedexactbinomialtest-activity-7441019641449050113-ZZ-g,captured_http_200_text/html,attachments/raw/7441019641449050113/post_text.txt,attachments/raw/7441019641449050113/post.html,1,1,
10,7463579851317239808,https://www.linkedin.com/posts/andrija-djurovic_activity-7463579851317239808-vGpI,capture_error,,,0,0,HTTPError: HTTP Error 429: Too Many Requests
11,7462756612538073090,https://www.linkedin.com/posts/andrija-djurovic_activity-7462756612538073090--Doz,capture_error,,,0,0,HTTPError: HTTP Error 429: Too Many Requests
12,6965364290866282496,https://fr.linkedin.com/posts/andrija-djurovic_python-r-rstats-activity-6965364290866282496-JXRW,captured_http_200_text/html,attachments/raw/6965364290866282496/post_text.txt,attachments/raw/6965364290866282496/post.html,0,0,
13,7392821942728273920,https://www.linkedin.com/posts/andrija-djurovic_%F0%9D%90%88%F0%9D%90%85%F0%9D%90%91%F0%9D%90%92%F0%9D%9F%97-%F0%9D%90%85%F0%9D%90%A8%F0%9D%90%AB%F0%9D%90%B0%F0%9D%90%9A%F0%9D%90%AB%F0%9D%90%9D-%F0%9D%90%8B%F0%9D%90%A8%F0%9D%90%A8%F0%9D%90%A4%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%A0-activity-7392821942728273920-sYiG,captured_http_200_text/html,attachments/raw/7392821942728273920/post_text.txt,attachments/raw/7392821942728273920/post.html,0,0,
14,7435946096050339840,https://www.linkedin.com/posts/andrija-djurovic_modelbasedpdratingscalecalibration-activity-7435946096050339840-VDj7,captured_http_200_text/html,attachments/raw/7435946096050339840/post_text.txt,attachments/raw/7435946096050339840/post.html,1,1,
15,7330472362141761538,https://www.linkedin.com/posts/andrija-djurovic_%F0%9D%90%91-%F0%9D%90%88%F0%9D%90%91%F0%9D%90%81-%F0%9D%90%AD%F0%9D%90%A8%F0%9D%90%A8%F0%9D%90%A5%F0%9D%90%A4%F0%9D%90%A2%F0%9D%90%AD-my-r-irb-toolkit-activity-7330472362141761538-5UJ8,captured_http_200_text/html,attachments/raw/7330472362141761538/post_text.txt,attachments/raw/7330472362141761538/post.html,0,0,
16,7112329977517215745,https://www.linkedin.com/posts/andrija-djurovic_probability-of-default-rating-modeling-with-activity-7112329977517215745-eeri,captured_http_200_text/html,attachments/raw/7112329977517215745/post_text.txt,attachments/raw/7112329977517215745/post.html,0,0,
17,7420725800745754625,https://www.linkedin.com/posts/andrija-djurovic_creditrisk-irb-ifrs9-activity-7420725800745754625-CRhr,captured_http_200_text/html,attachments/raw/7420725800745754625/post_text.txt,attachments/raw/7420725800745754625/post.html,0,1,
18,6886388764965392384,https://www.linkedin.com/posts/andrija-djurovic_github-andrija-djurovicpdtoolkit-collection-activity-6886388764965392384-fZDY,captured_http_200_text/html,attachments/raw/6886388764965392384/post_text.txt,attachments/raw/6886388764965392384/post.html,0,0,
19,7163079427961090049,https://www.linkedin.com/posts/andrija-djurovic_i-have-created-a-github-repository-dedicated-activity-7163079427961090049-iXzW,captured_http_200_text/html,attachments/raw/7163079427961090049/post_text.txt,attachments/raw/7163079427961090049/post.html,0,0,
20,7342064984069173248,https://www.linkedin.com/posts/andrija-djurovic_our-paper-drifts-shifts-and-instabilities-activity-7342064984069173248-DTrS,captured_http_200_text/html,attachments/raw/7342064984069173248/post_text.txt,attachments/raw/7342064984069173248/post.html,0,1,
21,7296422990588579840,https://www.linkedin.com/posts/andrija-djurovic_woeencodinginstability-activity-7296422990588579840-7lwj,captured_http_200_text/html,attachments/raw/7296422990588579840/post_text.txt,attachments/raw/7296422990588579840/post.html,1,1,
