queue_id,activity_id,post_url,capture_status,final_url,rendered_text_path,html_path,screenshot_path,body_text_chars,comment_blocks,comment_link_count,expand_clicks,error
ANDRIJA-LOGIN-001,7463579851317239808,https://www.linkedin.com/feed/update/urn:li:activity:7463579851317239808/,not_authenticated_or_checkpoint,https://www.linkedin.com/signup/cold-join?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Ffeed%2Fupdate%2Furn%3Ali%3Aactivity%3A7463579851317239808,rendered_text\7463579851317239808.txt,rendered_html\7463579851317239808.html,screenshots\7463579851317239808.png,585,0,17,0,"Rendered page looked unauthenticated, checkpointed, or captcha-gated."
ANDRIJA-LOGIN-002,7462756612538073090,https://www.linkedin.com/feed/update/urn:li:activity:7462756612538073090/,capture_error,,,,,0,0,0,0,"Error: Page.goto: net::ERR_HTTP_RESPONSE_CODE_FAILURE at https://www.linkedin.com/feed/update/urn:li:activity:7462756612538073090/
Call log:
  - navigating to ""https://www.linkedin.com/feed/update/urn:li:activity:7462756612538073090/"", waiting until ""domcontentloaded""
"
ANDRIJA-LOGIN-003,7464688200981102592,https://www.linkedin.com/feed/update/urn:li:activity:7464688200981102592/,not_authenticated_or_checkpoint,https://www.linkedin.com/checkpoint/challengesV2/AQENRXhkbDotoAAAAZ5gHRLa1bBMv1PoIE6CAgrui260Rp4KTo7iEfL4KzoFM8Y5FGwp0CBaBu4gaddeNIxwatptNp29vLNJvA?ut=2zGygtZiz5CYg1,rendered_text\7464688200981102592.txt,rendered_html\7464688200981102592.html,screenshots\7464688200981102592.png,577,0,9,7,"Rendered page looked unauthenticated, checkpointed, or captcha-gated."
ANDRIJA-LOGIN-004,7464591835819204608,https://www.linkedin.com/feed/update/urn:li:activity:7464591835819204608/,logged_in_rendered_capture_complete,https://www.linkedin.com/posts/demis26_turkey-g20-activity-7464591835819204608-964m/,rendered_text\7464591835819204608.txt,rendered_html\7464591835819204608.html,screenshots\7464591835819204608.png,1280,0,19,7,
ANDRIJA-LOGIN-005,7464578755382976512,https://www.linkedin.com/feed/update/urn:li:activity:7464578755382976512/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7464578755382976512/,rendered_text\7464578755382976512.txt,rendered_html\7464578755382976512.html,screenshots\7464578755382976512.png,2657,2,36,0,
ANDRIJA-LOGIN-006,7464473809778212864,https://www.linkedin.com/feed/update/urn:li:activity:7464473809778212864/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7464473809778212864/,rendered_text\7464473809778212864.txt,rendered_html\7464473809778212864.html,screenshots\7464473809778212864.png,6918,26,115,120,
ANDRIJA-LOGIN-007,7464417800288137216,https://www.linkedin.com/feed/update/urn:li:activity:7464417800288137216/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7464417800288137216/,rendered_text\7464417800288137216.txt,rendered_html\7464417800288137216.html,screenshots\7464417800288137216.png,3108,4,44,0,
ANDRIJA-LOGIN-008,7464369310325702657,https://www.linkedin.com/feed/update/urn:li:activity:7464369310325702657/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7464369310325702657/,rendered_text\7464369310325702657.txt,rendered_html\7464369310325702657.html,screenshots\7464369310325702657.png,7849,9,62,0,
ANDRIJA-LOGIN-009,7461301929135022080,https://www.linkedin.com/feed/update/urn:li:activity:7461301929135022080/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7461301929135022080/,rendered_text\7461301929135022080.txt,rendered_html\7461301929135022080.html,screenshots\7461301929135022080.png,3139,0,33,0,
ANDRIJA-LOGIN-010,7435946096050339840,https://www.linkedin.com/feed/update/urn:li:activity:7435946096050339840/,logged_in_rendered_capture_complete,https://www.linkedin.com/feed/update/urn:li:activity:7435946096050339840/,rendered_text\7435946096050339840.txt,rendered_html\7435946096050339840.html,screenshots\7435946096050339840.png,3115,0,35,0,
