queue_id,activity_id,title,theme,capture_status,comment_count,external_link_count,high_priority_external_count,external_domains,logged_in_incremental_value,recommended_action,high_priority_context_excerpt,stop_condition_status
ANDRIJA-LOGIN-001,7463579851317239808,LinkedIn post,Credit-risk modeling source discovery,not_authenticated_or_checkpoint,0,0,0,,low,close_no_visible_comment_delta,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-002,7462756612538073090,LinkedIn post,Credit-risk modeling source discovery,capture_error,0,0,0,,low,close_no_visible_comment_delta,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-003,7464688200981102592,Profile activity 7464688200981102592,profile_activity_discovery_recent,not_authenticated_or_checkpoint,0,0,0,,low,close_no_visible_comment_delta,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-004,7464591835819204608,Profile activity 7464591835819204608,profile_activity_discovery_recent,logged_in_rendered_capture_complete,0,0,0,,low,close_no_visible_comment_delta,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-005,7464578755382976512,Profile activity 7464578755382976512,profile_activity_discovery_recent,logged_in_rendered_capture_complete,2,0,0,,yes,append_comment_context_or_archive,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-006,7464473809778212864,Profile activity 7464473809778212864,profile_activity_discovery_recent,logged_in_rendered_capture_complete,26,0,0,,yes,append_comment_context_or_archive,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-007,7464417800288137216,Profile activity 7464417800288137216,profile_activity_discovery_recent,logged_in_rendered_capture_complete,4,0,0,,yes,append_comment_context_or_archive,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-008,7464369310325702657,Profile activity 7464369310325702657,profile_activity_discovery_recent,logged_in_rendered_capture_complete,9,3,3,arxiv.org,yes,promote_to_source_reading_queue,Interesting paper mentioned in the post: “Statistical Hypothesis Testing for Information Value (IV)” https://arxiv.org/abs/2309.13183 One of the interesting aspects of the paper is | Interesting paper mentioned in the post: “Statistical Hypothesis Testing for Information Value (IV)” https://arxiv.org/abs/2309.13183 One of the interesting aspects of the paper is | Interesting paper mentioned in the post: “Statistical Hypothesis Testing for Information Value (IV)” https://arxiv.org/abs/2309.13183 One of the interesting aspects of the paper is,closed_logged_in_surface_captured
ANDRIJA-LOGIN-009,7461301929135022080,𝗕𝗮𝗰𝗸𝘁𝗲𝘀𝘁𝗶𝗻𝗴 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗧𝗵𝗲 𝗠𝘂𝗹𝘁𝗶-𝗣𝗲𝗿𝗶𝗼𝗱 𝗔𝘃𝗲𝗿𝗮𝗴𝗲 𝗧𝗲𝘀𝘁𝗶𝗻𝗴,PD backtesting and validation,logged_in_rendered_capture_complete,0,0,0,,low,close_no_visible_comment_delta,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-010,7435946096050339840,𝗔 𝗠𝗼𝗱𝗲𝗹-𝗕𝗮𝘀𝗲𝗱 𝗔𝗽𝗽𝗿𝗼𝗮𝗰𝗵 𝘁𝗼 𝗗𝗶𝘀𝗰𝗿𝗲𝘁𝗲 𝗣𝗗 𝗥𝗮𝘁𝗶𝗻𝗴 𝗦𝗰𝗮𝗹𝗲 𝗖𝗮𝗹𝗶𝗯𝗿𝗮𝘁𝗶𝗼𝗻 - 𝗟𝗼𝗴𝗶𝘀𝘁𝗶𝗰 𝗥𝗲𝗴𝗿𝗲𝘀𝘀𝗶𝗼𝗻 𝗜𝗻𝘁𝗲𝗿𝗰𝗲𝗽𝘁 𝗢𝗽𝘁𝗶𝗺𝗶𝘇𝗮𝘁𝗶𝗼𝗻,Credit-risk modeling source discovery,logged_in_rendered_capture_complete,0,0,0,,low,close_no_visible_comment_delta,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-011,7296422990588579840,𝐓𝐡𝐞 𝐈𝐧𝐬𝐭𝐚𝐛𝐢𝐥𝐢𝐭𝐲 𝐨𝐟 𝐖𝐨𝐄 𝐄𝐧𝐜𝐨𝐝𝐢𝐧𝐠 𝐢𝐧 𝐏𝐃 𝐌𝐨𝐝𝐞𝐥𝐢𝐧𝐠,PD backtesting and validation,logged_in_rendered_capture_complete,19,2,2,github.com,yes,promote_to_source_reading_queue,More on model risk management and credit risk modeling can be found here: https://github.com/andrija-djurovic/adsfcr | More on model risk management and credit risk modeling can be found here: https://github.com/andrija-djurovic/adsfcr,closed_logged_in_surface_captured
ANDRIJA-LOGIN-012,7458765378664427520,𝗥𝗶𝘀𝗸 𝗙𝗮𝗰𝘁𝗼𝗿 𝗘𝗻𝗴𝗶𝗻𝗲𝗲𝗿𝗶𝗻𝗴 𝗶𝗻 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗧𝗿𝗲𝗲-𝗕𝗮𝘀𝗲𝗱 𝗜𝗻𝘁𝗲𝗿𝗮𝗰𝘁𝗶𝗼𝗻𝘀,"WOE, binning and scorecard stability",logged_in_rendered_capture_complete,4,2,2,cran.r-project.org,yes,promote_to_source_reading_queue,"Charlin DJIOKO thanks for your comment. I agree that the idea of using residuals is good. However, I find that approach somewhat tricky when it is necessary to control for the expe | Charlin DJIOKO thanks for your comment. I agree that the idea of using residuals is good. However, I find that approach somewhat tricky when it is necessary to control for the expe",closed_logged_in_surface_captured
ANDRIJA-LOGIN-013,7453691768476405760,𝗕𝗮𝗰𝗸𝘁𝗲𝘀𝘁𝗶𝗻𝗴 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗢𝗻 𝘁𝗵𝗲 𝗥𝗲𝗹𝗶𝗮𝗯𝗶𝗹𝗶𝘁𝘆 𝗼𝗳 𝘁𝗵𝗲 𝗠𝘂𝗹𝘁𝗶-𝗣𝗲𝗿𝗶𝗼𝗱 𝗡𝗼𝗿𝗺𝗮𝗹 𝗧𝗲𝘀𝘁,PD backtesting and validation,logged_in_rendered_capture_complete,7,0,0,,yes,append_comment_context_or_archive,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-014,7451153797881618432,𝐬𝐦𝐢: 𝐀𝐧 𝗣𝘆𝘁𝗵𝗼𝗻 𝐏𝐚𝐜𝐤𝐚𝐠𝐞 𝐟𝐨𝐫 𝐈𝐅𝐑𝐒𝟗 𝐅𝐨𝐫𝐰𝐚𝐫𝐝-𝐋𝐨𝐨𝐤𝐢𝐧𝐠 𝐌𝐨𝐝𝐞𝐥𝐢𝐧𝐠,IFRS9 forward-looking modeling,logged_in_rendered_capture_complete,0,1,0,lnkd.in,low,close_no_visible_comment_delta,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-015,7342064984069173248,"Our paper, “Drifts, Shifts and Instabilities to Quantify Scorecard Model Risk,” co-authored with Alan Forrest, has been accepted for presentation at the Credit Scoring and Credit C","WOE, binning and scorecard stability",logged_in_rendered_capture_complete,8,11,4,"abbey.eventsair.com, crc.business-school.ed.ac.uk, github.com",yes,promote_to_source_reading_queue,"Conference programme: https://abbey.eventsair.com/cscc-conference-2025?utm_source=organic%20social&utm_medium=Linkedin&utm_campaign=CRC%20conference%20LinkedIn&utm_content=Instagra | Conference programme: https://abbey.eventsair.com/cscc-conference-2025?utm_source=organic%20social&utm_medium=Linkedin&utm_campaign=CRC%20conference%20LinkedIn&utm_content=Instagra | Good call out, many thanks, Andrija. I look forward greatly to present our paper at the CRC conference this year. This talk shows how data drift is harnessed as a tool for validati | We look forward to learning more about this paper in August, Andrija! 🔎 https://crc.business-school.ed.ac.uk/conference-2025",closed_logged_in_surface_captured
ANDRIJA-LOGIN-016,7455503720936693760,𝗖𝗿𝗲𝗱𝗶𝘁 𝗥𝗶𝘀𝗸 𝗠𝗼𝗱𝗲𝗹𝗶𝗻𝗴 𝗪𝗼𝗿𝗸𝗶𝗻𝗴 𝗡𝗼𝘁𝗲𝘀 – 𝗧𝗵𝗲 𝗧𝗵𝗶𝗿𝗱 𝗨𝗽𝗱𝗮𝘁𝗲,IFRS9 forward-looking modeling,logged_in_rendered_capture_complete,6,13,0,"leanpub.com, lnkd.in",yes,append_comment_context_or_archive,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-017,7443560044412968960,𝗔𝗽𝗽𝗹𝗶𝗲𝗱 𝗗𝗮𝘁𝗮 𝗦𝗰𝗶𝗲𝗻𝗰𝗲 𝗳𝗼𝗿 𝗖𝗿𝗲𝗱𝗶𝘁 𝗥𝗶𝘀𝗸,PD backtesting and validation,logged_in_rendered_capture_complete,9,10,0,lnkd.in,yes,append_comment_context_or_archive,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-018,7440317398584360961,Profile activity 7440317398584360961,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,1,2,0,lnkd.in,yes,append_comment_context_or_archive,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-019,7439989093985525761,Profile activity 7439989093985525761,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,0,1,0,lnkd.in,low,close_no_visible_comment_delta,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-020,7438173655291019265,Profile activity 7438173655291019265,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,0,1,0,lnkd.in,low,close_no_visible_comment_delta,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-021,7435399194388942848,Profile activity 7435399194388942848,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,0,2,0,"careers.ey.com, lnkd.in",low,close_no_visible_comment_delta,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-022,7425667173840277504,Profile activity 7425667173840277504,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,0,1,0,ow.ly,low,close_no_visible_comment_delta,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-023,7425584455609712640,Profile activity 7425584455609712640,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,0,1,0,ow.ly,low,close_no_visible_comment_delta,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-024,7424831663123234816,Profile activity 7424831663123234816,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,1,1,0,ow.ly,yes,append_comment_context_or_archive,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-025,7421592655278522368,Profile activity 7421592655278522368,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,0,1,0,lnkd.in,low,close_no_visible_comment_delta,,closed_logged_in_surface_captured
ANDRIJA-LOGIN-026,7398299296388771840,Profile activity 7398299296388771840,profile_activity_discovery_remaining,logged_in_rendered_capture_complete,8,4,1,"bankingsupervision.europa.eu, sangamdas.com",yes,promote_to_source_reading_queue,Absolutely agree. Hybrid threats — from cyberattacks to economic coercion and disinformation — now shape Europe’s financial stability. Strengthening operational resilience and gove,closed_logged_in_surface_captured
