queue_id,source_pack,source_row_id,priority,target_kind,activity_id,post_url,title,theme,prior_status,logged_in_capture_status,comments_status,stop_condition
ANDRIJA-LOGIN-001,andrija_login_only_p0_p1,7463579851317239808,P0,blocked_post_full_capture,7463579851317239808,https://www.linkedin.com/feed/update/urn:li:activity:7463579851317239808/,LinkedIn post,Credit-risk modeling source discovery,Public capture returned only generic LinkedIn text; activity is recent and could contain a new credit-risk post/deck.,not_authenticated_or_checkpoint,comments_or_links_captured,"Stop when full text, attachments, outbound links and visible comments are captured, or the page is confirmed non-credit-risk/reaction-only."
ANDRIJA-LOGIN-002,andrija_login_only_p0_p1,7462756612538073090,P0,blocked_post_full_capture,7462756612538073090,https://www.linkedin.com/feed/update/urn:li:activity:7462756612538073090/,LinkedIn post,Credit-risk modeling source discovery,Public capture returned only generic LinkedIn text; activity is recent and could contain a new credit-risk post/deck.,capture_error,no_visible_comment_blocks_after_expansion,"Stop when full text, attachments, outbound links and visible comments are captured, or the page is confirmed non-credit-risk/reaction-only."
ANDRIJA-LOGIN-003,andrija_login_only_p0_p1,"7464688200981102592,7464591835819204608,7464578755382976512,7464473809778212864,7464417800288137216,7464369310325702657",P0,profile_activity_discovery_recent,7464688200981102592,https://www.linkedin.com/feed/update/urn:li:activity:7464688200981102592/,Profile activity 7464688200981102592,profile_activity_discovery_recent,Six most recent public profile activity IDs lack own-post permalinks; login can classify authored post vs reaction/comment.,not_authenticated_or_checkpoint,comments_or_links_captured,"Stop after each ID is classified as authored post, reaction/comment, non-credit-risk, or inaccessible."
ANDRIJA-LOGIN-004,andrija_login_only_p0_p1,"7464688200981102592,7464591835819204608,7464578755382976512,7464473809778212864,7464417800288137216,7464369310325702657",P0,profile_activity_discovery_recent,7464591835819204608,https://www.linkedin.com/feed/update/urn:li:activity:7464591835819204608/,Profile activity 7464591835819204608,profile_activity_discovery_recent,Six most recent public profile activity IDs lack own-post permalinks; login can classify authored post vs reaction/comment.,logged_in_rendered_capture_complete,comments_or_links_captured,"Stop after each ID is classified as authored post, reaction/comment, non-credit-risk, or inaccessible."
ANDRIJA-LOGIN-005,andrija_login_only_p0_p1,"7464688200981102592,7464591835819204608,7464578755382976512,7464473809778212864,7464417800288137216,7464369310325702657",P0,profile_activity_discovery_recent,7464578755382976512,https://www.linkedin.com/feed/update/urn:li:activity:7464578755382976512/,Profile activity 7464578755382976512,profile_activity_discovery_recent,Six most recent public profile activity IDs lack own-post permalinks; login can classify authored post vs reaction/comment.,logged_in_rendered_capture_complete,comments_or_links_captured,"Stop after each ID is classified as authored post, reaction/comment, non-credit-risk, or inaccessible."
ANDRIJA-LOGIN-006,andrija_login_only_p0_p1,"7464688200981102592,7464591835819204608,7464578755382976512,7464473809778212864,7464417800288137216,7464369310325702657",P0,profile_activity_discovery_recent,7464473809778212864,https://www.linkedin.com/feed/update/urn:li:activity:7464473809778212864/,Profile activity 7464473809778212864,profile_activity_discovery_recent,Six most recent public profile activity IDs lack own-post permalinks; login can classify authored post vs reaction/comment.,logged_in_rendered_capture_complete,comments_or_links_captured,"Stop after each ID is classified as authored post, reaction/comment, non-credit-risk, or inaccessible."
ANDRIJA-LOGIN-007,andrija_login_only_p0_p1,"7464688200981102592,7464591835819204608,7464578755382976512,7464473809778212864,7464417800288137216,7464369310325702657",P0,profile_activity_discovery_recent,7464417800288137216,https://www.linkedin.com/feed/update/urn:li:activity:7464417800288137216/,Profile activity 7464417800288137216,profile_activity_discovery_recent,Six most recent public profile activity IDs lack own-post permalinks; login can classify authored post vs reaction/comment.,logged_in_rendered_capture_complete,comments_or_links_captured,"Stop after each ID is classified as authored post, reaction/comment, non-credit-risk, or inaccessible."
ANDRIJA-LOGIN-008,andrija_login_only_p0_p1,"7464688200981102592,7464591835819204608,7464578755382976512,7464473809778212864,7464417800288137216,7464369310325702657",P0,profile_activity_discovery_recent,7464369310325702657,https://www.linkedin.com/feed/update/urn:li:activity:7464369310325702657/,Profile activity 7464369310325702657,profile_activity_discovery_recent,Six most recent public profile activity IDs lack own-post permalinks; login can classify authored post vs reaction/comment.,logged_in_rendered_capture_complete,comments_or_links_captured,"Stop after each ID is classified as authored post, reaction/comment, non-credit-risk, or inaccessible."
ANDRIJA-LOGIN-009,andrija_login_only_p0_p1,7461301929135022080,P0,logged_in_comment_and_link_scan,7461301929135022080,https://www.linkedin.com/feed/update/urn:li:activity:7461301929135022080/,𝗕𝗮𝗰𝗸𝘁𝗲𝘀𝘁𝗶𝗻𝗴 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗧𝗵𝗲 𝗠𝘂𝗹𝘁𝗶-𝗣𝗲𝗿𝗶𝗼𝗱 𝗔𝘃𝗲𝗿𝗮𝗴𝗲 𝗧𝗲𝘀𝘁𝗶𝗻𝗴,PD backtesting and validation,Multi-period average PD testing has high CRPTO reviewer-defense value and currently has zero public comments.,logged_in_rendered_capture_complete,comments_or_links_captured,"Stop when visible comments are expanded, links resolved, and no new source changes claim/table/reviewer-defense status."
ANDRIJA-LOGIN-010,andrija_login_only_p0_p1,7435946096050339840,P0,logged_in_comment_and_link_scan,7435946096050339840,https://www.linkedin.com/feed/update/urn:li:activity:7435946096050339840/,𝗔 𝗠𝗼𝗱𝗲𝗹-𝗕𝗮𝘀𝗲𝗱 𝗔𝗽𝗽𝗿𝗼𝗮𝗰𝗵 𝘁𝗼 𝗗𝗶𝘀𝗰𝗿𝗲𝘁𝗲 𝗣𝗗 𝗥𝗮𝘁𝗶𝗻𝗴 𝗦𝗰𝗮𝗹𝗲 𝗖𝗮𝗹𝗶𝗯𝗿𝗮𝘁𝗶𝗼𝗻 - 𝗟𝗼𝗴𝗶𝘀𝘁𝗶𝗰 𝗥𝗲𝗴𝗿𝗲𝘀𝘀𝗶𝗼𝗻 𝗜𝗻𝘁𝗲𝗿𝗰𝗲𝗽𝘁 𝗢𝗽𝘁𝗶𝗺𝗶𝘇𝗮𝘁𝗶𝗼𝗻,Credit-risk modeling source discovery,Model-based PD rating-scale calibration is directly relevant to calibration language and possible appendix prototype.,logged_in_rendered_capture_complete,comments_or_links_captured,"Stop when visible comments are expanded, links resolved, and no new source changes claim/table/reviewer-defense status."
