activity_id,queue_id,comment_idx,comment_urn,is_reply,author,author_headline,relative_time,comment_text,link_count,links_json
7464578755382976512,ANDRIJA-LOGIN-005,1,"urn:li:comment:(activity:7464578755382976512,7464619922707415040)",false,Sauran Sarbassov,Risk & Payments Data Scientist | Credit Risk (PD/LGD/EAD) | IFRS 9 | Transaction & Behavioral Data,6h,"Very true. I think many people underestimate how much long-term trust is built not on being always right, but on being able to openly own mistakes when things go wrong. Sometimes that matters even more than technical excellence itself. To me, the ability to admit mistakes is also one of the simplest tests of whether a consultant is actually reasonable. If someone can acknowledge being wrong without becoming defensive, it usually means you can build long-term professional relationships with them.",0,[]
7464578755382976512,ANDRIJA-LOGIN-005,2,"urn:li:comment:(activity:7464578755382976512,7464628230797488128)",true,George Bliatsios,Better Thinking. Fewer Tools.,6h,"Sauran yes, I fully agree with your points. It builds honest and long lasting relationships. Things break and mistakes happen no matter your seniority level. Own that without hidding, blaming or asterisks. It's painful in the short run, rewarding in the long run.",0,[]
7464473809778212864,ANDRIJA-LOGIN-006,1,"urn:li:comment:(activity:7464473809778212864,7464603091372511232)",false,Sue Lynn T.,Post Doctorate in partnership to South East Asia market,8h,What AI prompt did you use to get the perfect image,0,[]
7464473809778212864,ANDRIJA-LOGIN-006,2,"urn:li:comment:(activity:7464473809778212864,7464607840184377344)",true,"Gabriel Ryan, FRM",VP at DBS Bank (SG) - Risk & Data,7h,Sue Lynn T. The image is a random one. But Chatgpt could generate a similar one. By prompting it to wedge a garlic in between a peeled orange.,1,"[{""href"": ""https://www.linkedin.com/in/sue-lynn-teh/"", ""text"": ""Sue Lynn T.""}]"
7464473809778212864,ANDRIJA-LOGIN-006,3,"urn:li:comment:(activity:7464473809778212864,7464619759565869056)",true,Sue Lynn T.,Post Doctorate in partnership to South East Asia market,6h,"Gabriel Ryan, FRM",1,"[{""href"": ""https://www.linkedin.com/in/gabriel-ryan-frm-ba304915/"", ""text"": ""Gabriel Ryan, FRM""}]"
7464473809778212864,ANDRIJA-LOGIN-006,4,"urn:li:comment:(activity:7464473809778212864,7464619806995087360)",true,Sue Lynn T.,Post Doctorate in partnership to South East Asia market,6h,"Gabriel Ryan, FRM image above doesn’t feel right hahaha",1,"[{""href"": ""https://www.linkedin.com/in/gabriel-ryan-frm-ba304915/"", ""text"": ""Gabriel Ryan, FRM""}]"
7464473809778212864,ANDRIJA-LOGIN-006,5,"urn:li:comment:(activity:7464473809778212864,7464624116776636416)",true,"Gabriel Ryan, FRM",VP at DBS Bank (SG) - Risk & Data,6h,Sue Lynn T. Haha ok i agree with you. Looks like something else not for LinkedIn 😂,1,"[{""href"": ""https://www.linkedin.com/in/sue-lynn-teh/"", ""text"": ""Sue Lynn T.""}]"
7464473809778212864,ANDRIJA-LOGIN-006,6,"urn:li:comment:(activity:7464473809778212864,7464507624961703936)",false,Jude LIM,"I design + deliver corporate training - leadership, communication, influence, negotiation skills | UX:EQ Trainer | Coach",14h,Spicy orange,0,[]
7464473809778212864,ANDRIJA-LOGIN-006,7,"urn:li:comment:(activity:7464473809778212864,7464524230848745472)",true,"Gabriel Ryan, FRM",VP at DBS Bank (SG) - Risk & Data,13h,Jude LIM Lol not that spicy la,1,"[{""href"": ""https://www.linkedin.com/in/judethetrainer/"", ""text"": ""Jude LIM""}]"
7464473809778212864,ANDRIJA-LOGIN-006,8,"urn:li:comment:(activity:7464473809778212864,7464519502320443392)",false,TERRY Chaw,Airline Management(Full time)Renewable Energy expert(part time),13h,Fit like a glove,0,[]
