link_asset_id,parent_activity_id,parent_post_number,source_type,canonical_url,readable_url,local_readable_path,reading_status,readable_text_length,checksum,project_use,decision,error
7449713105552482304_external_01,7449713105552482304,5,github,https://github.com/deburky/boosting-scorecards/blob/main/scripts/fastwoe_finetune.py,https://raw.githubusercontent.com/deburky/boosting-scorecards/main/scripts/fastwoe_finetune.py,external_sources/readable/7449713105552482304_external_01.txt,readable_http_200,12810,836934739ca03b9ad3eec8940da8584b29b9998c451f9f09971a9a4128b70218,prototype_candidate,Park as optional WOE tooling/prototype; no dependency or claim without project-local benchmark.,
7431246513466609664_external_01,7431246513466609664,12,github,https://github.com/deburky/on-credit-book,https://raw.githubusercontent.com/deburky/on-credit-book/main/README.md,external_sources/readable/7431246513466609664_external_01.txt,readable_http_200,1569,1b2cd5436a71eec6913140c30cadf0f5d33873c3f14b53828cda0d93dae0ad38,source_discovery,Keep as code/source trail for the author's book materials; do not promote as independent evidence.,
7421824489165979649_external_05,7421824489165979649,16,github,https://github.com/deburky/credit-risk-modeling-on-aws,https://raw.githubusercontent.com/deburky/credit-risk-modeling-on-aws/main/README.md,external_sources/readable/7421824489165979649_external_05.txt,readable_http_200,5033,7dba132fbaa75b8b18430c4ce0c70e49c3f850af5ad5ea7465cc09443a0c949f,governance_context,"Use as implementation context for model lineage, deployment separation, and reproducibility only.",
7419287581689008128_external_01,7419287581689008128,18,github,https://github.com/deburky/credit-risk-modeling-on-aws,https://raw.githubusercontent.com/deburky/credit-risk-modeling-on-aws/main/README.md,external_sources/readable/7419287581689008128_external_01.txt,readable_http_200,5033,9bd15e8560f8c841979df6d0bfb0e62d28a0268d5fdbb7439a0be774ecb4052e,governance_context,"Use as implementation context for model lineage, deployment separation, and reproducibility only.",
7416750932140552192_external_01,7416750932140552192,20,github,https://github.com/xRiskLab/fastwoe,https://raw.githubusercontent.com/xRiskLab/fastwoe/main/README.md,external_sources/readable/7416750932140552192_external_01.txt,readable_http_200,28304,3ab254946d95e172048cc1746cc5875565194e3c94e5a795dc08819ffa6d58ea,prototype_candidate,Park as optional WOE tooling/prototype; no dependency or claim without project-local benchmark.,
7413851823381598208_external_04,7413851823381598208,21,github,https://github.com/deburky/credit-risk-modeling-on-aws,https://raw.githubusercontent.com/deburky/credit-risk-modeling-on-aws/main/README.md,external_sources/readable/7413851823381598208_external_04.txt,readable_http_200,5033,904cac8cb0631632ac0f5126f6e36d527c7eaa7c2705a028bb09d1340ae19e47,governance_context,"Use as implementation context for model lineage, deployment separation, and reproducibility only.",
7404429791552270336_external_03,7404429791552270336,24,github,https://github.com/xRiskLab/xBooster,https://raw.githubusercontent.com/xRiskLab/xBooster/main/README.md,external_sources/readable/7404429791552270336_external_03.txt,readable_http_200,19074,63135ccccabb9ad38d8e9911ac5eb964583c206e7b9a6629204d99f74a285062,prototype_candidate,Park as boosted-scorecard or SHAP-scorecard prototype candidate; no champion change.,
7396457171279970304_external_03,7396457171279970304,28,github,https://github.com/xRiskLab/xBooster,https://raw.githubusercontent.com/xRiskLab/xBooster/main/README.md,external_sources/readable/7396457171279970304_external_03.txt,readable_http_200,19074,969e7d259eea222dfe9f1963fd474c0b510a6722d66762e1abe5b11a8152b14d,prototype_candidate,Park as boosted-scorecard or SHAP-scorecard prototype candidate; no champion change.,
7396457171279970304_external_04,7396457171279970304,28,github,https://github.com/xRiskLab/FastWoe,https://raw.githubusercontent.com/xRiskLab/FastWoe/main/README.md,external_sources/readable/7396457171279970304_external_04.txt,readable_http_200,28304,3b8c6306bda0eafbee6a242d47e702f78225c4b8182ae121fb2df2c9e06ce3fc,prototype_candidate,Park as optional WOE tooling/prototype; no dependency or claim without project-local benchmark.,
7363453428431224832_external_02,7363453428431224832,35,github,https://github.com/deburky/calibration/blob/main/calibration_visualization.py,https://raw.githubusercontent.com/deburky/calibration/main/calibration_visualization.py,external_sources/readable/7363453428431224832_external_02.txt,readable_http_200,25493,6258b7a828c2e6cac09e087592cdaf6f617675aace4f68d164e59b9ca9283f07,teaching_visual_context,Use only as visualization/source-trail context for calibration concepts.,
7356587000176533504_external_01,7356587000176533504,38,preprint,https://arxiv.org/html/2412.15321v2,https://arxiv.org/html/2412.15321v2,external_sources/readable/7356587000176533504_external_01.txt,readable_http_200,308388,54ae13dec04b455a2a42522d664a26a4ab475401e5ce4cc35c9dcf89ee1c2148,out_of_scope_preprint,Archive as low-relevance generative-AI context; no credit-risk implementation.,
7356587000176533504_external_02,7356587000176533504,38,github,https://github.com/deburky/language-models/tree/main/patch-gpt,https://raw.githubusercontent.com/deburky/language-models/main/patch-gpt/README.md,external_sources/readable/7356587000176533504_external_02.txt,readable_http_200,7116,9e4e4dad5dd5b7a6a46d597c0ddfab16f5137b9bba263ae8a1658efbf20d8aa6,out_of_scope_code_context,Archive as non-credit-risk language-model code context.,
7350773655057960960_external_02,7350773655057960960,41,official_documentation,https://matplotlib.org,https://matplotlib.org,external_sources/readable/7350773655057960960_external_02.txt,readable_http_200,31953,1381d9ac304fff389537ea8ad805d80e42090c127dc97694950c7e4118beeb12,official_tool_documentation,Keep only as official plotting documentation provenance.,
7297638535648481280_external_01,7297638535648481280,45,github,https://github.com/xRiskLab/pearsonify,https://raw.githubusercontent.com/xRiskLab/pearsonify/main/README.md,external_sources/readable/7297638535648481280_external_01.txt,readable_http_200,2715,6581d3890d61f4d45fc7a4f40a966582adba0efdad9be1bc62aca06f1f31fe58,related_work_context,Use for interval-method contrast only; keep separate from project empirical claims.,
7287502960530518016_external_01,7287502960530518016,47,github,https://github.com/xRiskLab/xBooster,https://raw.githubusercontent.com/xRiskLab/xBooster/main/README.md,external_sources/readable/7287502960530518016_external_01.txt,readable_http_200,19074,59994ed8133709fa6e5d2eaaa01c5748487de983c81132492442edcc34ee691d,prototype_candidate,Park as boosted-scorecard or SHAP-scorecard prototype candidate; no champion change.,
7272626194091552768_external_01,7272626194091552768,49,github,https://github.com/xRiskLab/woeboost,https://raw.githubusercontent.com/xRiskLab/woeboost/main/README.md,external_sources/readable/7272626194091552768_external_01.txt,readable_http_200,6458,d0da356866bdc2743c7aad877fad872f4b2a75ecbca9327c8fe4831d1b9d3e59,prototype_candidate,Park as future WOE/boosting benchmark candidate; no current implementation lane.,
7242057402705993728_external_02,7242057402705993728,54,github,https://github.com/xRiskLab/xBooster,https://raw.githubusercontent.com/xRiskLab/xBooster/main/README.md,external_sources/readable/7242057402705993728_external_02.txt,readable_http_200,19074,1c07337c142eff152dece6bec67c663d2045299ce391334105c1fa73cfe92025,prototype_candidate,Park as boosted-scorecard or SHAP-scorecard prototype candidate; no champion change.,
7234084801039790080_external_01,7234084801039790080,56,github,https://github.com/xRiskLab/xBooster,https://raw.githubusercontent.com/xRiskLab/xBooster/main/README.md,external_sources/readable/7234084801039790080_external_01.txt,readable_http_200,19074,b2420d8ab44af79f943023baefbace41072caaf5a7cff708c5f5cd9b1ac61006,prototype_candidate,Park as boosted-scorecard or SHAP-scorecard prototype candidate; no champion change.,
7229369908193579009_external_06,7229369908193579009,57,official_documentation,https://matplotlib.org,https://matplotlib.org,external_sources/readable/7229369908193579009_external_06.txt,readable_http_200,31953,dd5ad3097c8f4ea14b23cbcde37498a6d1f0ddcf83679c0567496ac85be70922,official_tool_documentation,Keep only as official plotting documentation provenance.,
7226833197983006722_external_01,7226833197983006722,58,preprint,https://arxiv.org/html/2401.06091v1,https://arxiv.org/html/2401.06091v1,external_sources/readable/7226833197983006722_external_01.txt,readable_http_200,986234,c9c20fd261d22e6e184ca84505924b42575a7ca2891aca8eaee2ee8a9d126d8b,preprint_metric_caveat,"Use as preprint support for AUROC/AUPRC imbalance caveat, clearly labeled as preprint.",
