activity_id,post_url,date,author,post_type,attachment_type,capture_status,completeness_status,blocker_or_next_action,source_status
7458410505825685505,https://www.linkedin.com/feed/update/urn:li:activity:7458410505825685505/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7456960883634663424,https://www.linkedin.com/feed/update/urn:li:activity:7456960883634663424/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7454786558127161344,https://www.linkedin.com/feed/update/urn:li:activity:7454786558127161344/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7452612214328537088,https://www.linkedin.com/feed/update/urn:li:activity:7452612214328537088/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7449713105552482304,https://www.linkedin.com/feed/update/urn:li:activity:7449713105552482304/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7439581405879103488,https://www.linkedin.com/feed/update/urn:li:activity:7439581405879103488/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7437407111698984960,https://www.linkedin.com/feed/update/urn:li:activity:7437407111698984960/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7436682459037089793,https://www.linkedin.com/feed/update/urn:li:activity:7436682459037089793/,,Denis Burakov,linkedin_activity_post,LinkedIn document/deck,public_permalink_captured,complete_public_document_transcript_pending_reading_memo,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7435957418662207488,https://www.linkedin.com/feed/update/urn:li:activity:7435957418662207488/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
7435378973288685568,https://www.linkedin.com/feed/update/urn:li:activity:7435378973288685568/,,Denis Burakov,linkedin_activity_post,Image/carousel,public_permalink_captured,partial_images_captured_pending_image_reading_or_ocr,Read extracted post text/assets and write concept-level Spanish analytic memo.,linkedin_member_post_prior_index_only
