activity_id,post_url,date,author,post_type,attachment_type,capture_status,completeness_status,blocker_or_next_action,source_status
7447901245949792256,https://www.linkedin.com/posts/denisburakov_datascience-machinelearning-nlp-activity-7447901245949792256-Fxkf,,Denis Burakov,linkedin_activity_post_second_ingest,Image/link/article,public_permalink_captured,complete_public_post_text_read_no_media,Closed in data/second_ingest_execution_backlog.csv; use source-status labels before public claims.,linkedin_member_post_second_ingest_discovered_publicly
7376148352284901376,https://www.linkedin.com/posts/denisburakov_explainable-credit-risk-models-activity-7376148352284901376-Mj2m,,Denis Burakov,linkedin_activity_post_second_ingest,LinkedIn document/deck,public_permalink_captured,complete_public_document_and_post_read,Closed in data/second_ingest_execution_backlog.csv; use source-status labels before public claims.,linkedin_member_post_second_ingest_discovered_publicly
7211748798618824704,https://www.linkedin.com/posts/denisburakov_creditriskmodeling-lending-modelriskmanagement-activity-7211748798618824704-BeWw,,Denis Burakov,linkedin_activity_post_second_ingest,Image/link,public_permalink_captured,complete_public_images_manual_visual_read,Closed in data/second_ingest_execution_backlog.csv; use source-status labels before public claims.,linkedin_member_post_second_ingest_discovered_publicly
7328316894258577408,https://www.linkedin.com/posts/denisburakov_poisson-models-activity-7328316894258577408-5klk,,Denis Burakov,linkedin_activity_post_second_ingest,Image/carousel/link,public_permalink_captured,complete_public_document_and_post_read,Closed in data/second_ingest_execution_backlog.csv; use source-status labels before public claims.,linkedin_member_post_second_ingest_discovered_publicly
7381584253375025152,https://www.linkedin.com/posts/denisburakov_enhancing-explainability-in-credit-scoring-activity-7381584253375025152-ilAM,,Denis Burakov,linkedin_activity_post_second_ingest,Image/link/GitHub,public_permalink_captured,complete_public_post_text_read_no_media,Closed in data/second_ingest_execution_backlog.csv; use source-status labels before public claims.,linkedin_member_post_second_ingest_discovered_publicly
7346062624972754944,https://www.linkedin.com/posts/denisburakov_woe-log-odds-and-standard-errors-activity-7346062624972754944-3yJB,,Denis Burakov,linkedin_activity_post_second_ingest,Image/link/GitHub,public_permalink_captured,complete_public_post_text_read_no_media,Closed in data/second_ingest_execution_backlog.csv; use source-status labels before public claims.,linkedin_member_post_second_ingest_discovered_publicly
7320341844326797319,https://www.linkedin.com/posts/denisburakov_build-explainable-scorecards-with-catboost-activity-7320341844326797319-2NcG,,Denis Burakov,linkedin_activity_post_second_ingest,External article/GitHub,public_permalink_captured,complete_public_post_text_read_no_media,Closed in data/second_ingest_execution_backlog.csv; use source-status labels before public claims.,linkedin_member_post_second_ingest_discovered_publicly
7155476795474030592,https://www.linkedin.com/posts/denisburakov_credit-risk-modeling-with-naive-bayes-activity-7155476795474030592-8HtC,,Denis Burakov,linkedin_activity_post_second_ingest,Image/link/article,public_permalink_captured,complete_public_post_text_read_no_media,Closed in data/second_ingest_execution_backlog.csv; use source-status labels before public claims.,linkedin_member_post_second_ingest_discovered_publicly
7366001503611924480,https://www.linkedin.com/posts/denisburakov_creditriskmodeling-datascience-machinelearning-activity-7366001503611924480-tg_i,,Denis Burakov,linkedin_activity_post_second_ingest,LinkedIn document/deck/link,public_permalink_captured,complete_public_document_and_post_read,Closed in data/second_ingest_execution_backlog.csv; use source-status labels before public claims.,linkedin_member_post_second_ingest_discovered_publicly
7372524468570689537,https://www.linkedin.com/posts/denisburakov_information-theoretic-framework-for-credit-activity-7372524468570689537-eQlT,,Denis Burakov,linkedin_activity_post_second_ingest,Image/link/preprint,public_permalink_captured,complete_public_post_text_read_no_media,Closed in data/second_ingest_execution_backlog.csv; use source-status labels before public claims.,linkedin_member_post_second_ingest_discovered_publicly
7181176150688223232,https://www.linkedin.com/posts/denisburakov_python-logisticregression-logisticregression-activity-7181176150688223232-b8mn,,Denis Burakov,linkedin_activity_post_second_ingest,Image/carousel/links,public_permalink_captured,complete_public_document_and_post_read,Closed in data/second_ingest_execution_backlog.csv; use source-status labels before public claims.,linkedin_member_post_second_ingest_discovered_publicly
7173943545752383488,https://www.linkedin.com/posts/denisburakov_additive-logistic-regression-activity-7173943545752383488-mnVZ,,Denis Burakov,linkedin_activity_post_second_ingest,Image/carousel/links,public_permalink_captured,complete_public_document_and_post_read,Closed in data/second_ingest_execution_backlog.csv; use source-status labels before public claims.,linkedin_member_post_second_ingest_discovered_publicly
7368538277517156352,https://www.linkedin.com/posts/denisburakov_hidden-tricks-in-catboost-you-should-know-activity-7368538277517156352-udoZ,,Denis Burakov,linkedin_activity_post_second_ingest,External article/image,public_permalink_captured,complete_public_post_text_read_no_media,Closed in data/second_ingest_execution_backlog.csv; use source-status labels before public claims.,linkedin_member_post_second_ingest_discovered_publicly
7152948849597132801,https://www.linkedin.com/posts/denisburakov_logistic-regression-the-two-cultures-activity-7152948849597132801-P7P_?utm_source=share&utm_medium=member_desktop,,Denis Burakov,linkedin_activity_child_post_second_ingest,LinkedIn child post,public_permalink_captured,complete_public_document_and_post_read,Closed in data/second_ingest_execution_backlog.csv; use source-status labels before public claims.,linkedin_child_post_discovered_from_second_ingest_external_link
7168870006380740608,https://www.linkedin.com/posts/denisburakov_log-loss-activity-7168870006380740608-Qgbq?utm_source=share&utm_medium=member_desktop,,Denis Burakov,linkedin_activity_child_post_second_ingest,LinkedIn child post,public_permalink_captured,complete_public_document_and_post_read,Closed in data/second_ingest_execution_backlog.csv; use source-status labels before public claims.,linkedin_child_post_discovered_from_second_ingest_external_link
