n,activity_id,post_url,capture_status,post_text_path,html_path,document_count,image_count,error
1,7447901245949792256,https://www.linkedin.com/posts/denisburakov_datascience-machinelearning-nlp-activity-7447901245949792256-Fxkf,captured_http_200_text/html,attachments/raw/7447901245949792256/post_text.txt,attachments/raw/7447901245949792256/post.html,0,0,
2,7376148352284901376,https://www.linkedin.com/posts/denisburakov_explainable-credit-risk-models-activity-7376148352284901376-Mj2m,captured_http_200_text/html,attachments/raw/7376148352284901376/post_text.txt,attachments/raw/7376148352284901376/post.html,1,1,
3,7211748798618824704,https://www.linkedin.com/posts/denisburakov_creditriskmodeling-lending-modelriskmanagement-activity-7211748798618824704-BeWw,captured_http_200_text/html,attachments/raw/7211748798618824704/post_text.txt,attachments/raw/7211748798618824704/post.html,0,3,
4,7328316894258577408,https://www.linkedin.com/posts/denisburakov_poisson-models-activity-7328316894258577408-5klk,captured_http_200_text/html,attachments/raw/7328316894258577408/post_text.txt,attachments/raw/7328316894258577408/post.html,1,1,
5,7381584253375025152,https://www.linkedin.com/posts/denisburakov_enhancing-explainability-in-credit-scoring-activity-7381584253375025152-ilAM,captured_http_200_text/html,attachments/raw/7381584253375025152/post_text.txt,attachments/raw/7381584253375025152/post.html,1,1,
6,7346062624972754944,https://www.linkedin.com/posts/denisburakov_woe-log-odds-and-standard-errors-activity-7346062624972754944-3yJB,captured_http_200_text/html,attachments/raw/7346062624972754944/post_text.txt,attachments/raw/7346062624972754944/post.html,1,1,
7,7320341844326797319,https://www.linkedin.com/posts/denisburakov_build-explainable-scorecards-with-catboost-activity-7320341844326797319-2NcG,captured_http_200_text/html,attachments/raw/7320341844326797319/post_text.txt,attachments/raw/7320341844326797319/post.html,0,0,
8,7155476795474030592,https://www.linkedin.com/posts/denisburakov_credit-risk-modeling-with-naive-bayes-activity-7155476795474030592-8HtC,captured_http_200_text/html,attachments/raw/7155476795474030592/post_text.txt,attachments/raw/7155476795474030592/post.html,1,1,
9,7366001503611924480,https://www.linkedin.com/posts/denisburakov_creditriskmodeling-datascience-machinelearning-activity-7366001503611924480-tg_i,captured_http_200_text/html,attachments/raw/7366001503611924480/post_text.txt,attachments/raw/7366001503611924480/post.html,1,1,
10,7372524468570689537,https://www.linkedin.com/posts/denisburakov_information-theoretic-framework-for-credit-activity-7372524468570689537-eQlT,captured_http_200_text/html,attachments/raw/7372524468570689537/post_text.txt,attachments/raw/7372524468570689537/post.html,1,1,
11,7181176150688223232,https://www.linkedin.com/posts/denisburakov_python-logisticregression-logisticregression-activity-7181176150688223232-b8mn,captured_http_200_text/html,attachments/raw/7181176150688223232/post_text.txt,attachments/raw/7181176150688223232/post.html,0,0,
12,7173943545752383488,https://www.linkedin.com/posts/denisburakov_additive-logistic-regression-activity-7173943545752383488-mnVZ,captured_http_200_text/html,attachments/raw/7173943545752383488/post_text.txt,attachments/raw/7173943545752383488/post.html,1,1,
13,7368538277517156352,https://www.linkedin.com/posts/denisburakov_hidden-tricks-in-catboost-you-should-know-activity-7368538277517156352-udoZ,captured_http_200_text/html,attachments/raw/7368538277517156352/post_text.txt,attachments/raw/7368538277517156352/post.html,0,0,
14,7152948849597132801,https://www.linkedin.com/posts/denisburakov_logistic-regression-the-two-cultures-activity-7152948849597132801-P7P_?utm_source=share&utm_medium=member_desktop,captured_http_200_text/html,attachments/raw/7152948849597132801/post_text.txt,attachments/raw/7152948849597132801/post.html,1,1,
15,7168870006380740608,https://www.linkedin.com/posts/denisburakov_log-loss-activity-7168870006380740608-Qgbq?utm_source=share&utm_medium=member_desktop,captured_http_200_text/html,attachments/raw/7168870006380740608/post_text.txt,attachments/raw/7168870006380740608/post.html,1,1,
