candidate_rank,risk_tolerance,policy_mode,gamma,uncertainty_aversion,realized_total_return,n_funded,gamma_cp,weighted_miscoverage_V,violation,empirical_coverage_funded,all_bounds_hold,shortlist_bucket,parent_decision
7,0.165,blended_uncertainty,0.425,0.1,75602.19252648296,210,0.20665,0.09875,0.0,0.9143,True,forced_incumbent_neighbors,directional_pass_only
8,0.165,capped_blended_uncertainty,0.425,0.1,75602.19252648296,210,0.20665,0.09875,0.0,0.9143,True,forced_incumbent_neighbors,directional_pass_only
13,0.165,tail_blended_uncertainty,0.425,0.1,154971.27878193746,225,0.408747,0.11595,0.0,0.8711,False,forced_incumbent_neighbors,fails_alpha01_gate
14,0.165,tail_blended_uncertainty,0.45,0.1,154971.27878193746,225,0.408747,0.11595,0.0,0.8711,False,forced_incumbent_neighbors,fails_alpha01_gate
15,0.165,tail_blended_uncertainty,0.5,0.1,154971.27878193746,225,0.408747,0.11595,0.0,0.8711,False,forced_incumbent_neighbors,fails_alpha01_gate
16,0.165,tail_blended_uncertainty,0.55,0.1,154971.27878193746,225,0.408747,0.11595,0.0,0.8711,False,forced_incumbent_neighbors,fails_alpha01_gate
17,0.165,segment_tail_blended_uncertainty,0.425,0.1,154971.27878193746,225,0.408747,0.11595,0.0,0.8711,False,forced_incumbent_neighbors,fails_alpha01_gate
18,0.165,segment_tail_blended_uncertainty,0.45,0.1,154971.27878193746,225,0.408747,0.11595,0.0,0.8711,False,forced_incumbent_neighbors,fails_alpha01_gate
19,0.165,segment_tail_blended_uncertainty,0.5,0.1,154971.27878193746,225,0.408747,0.11595,0.0,0.8711,False,forced_incumbent_neighbors,fails_alpha01_gate
20,0.165,segment_tail_blended_uncertainty,0.55,0.1,154971.27878193746,225,0.408747,0.11595,0.0,0.8711,False,forced_incumbent_neighbors,fails_alpha01_gate
12,0.165,segment_relative_tail_blended_uncertainty,0.45,0.1,153661.1022466334,225,0.407616,0.11595,0.0,0.8711,False,forced_incumbent_neighbors,fails_alpha01_gate
11,0.165,segment_relative_tail_blended_uncertainty,0.425,0.1,153633.9844862073,225,0.407678,0.11595,0.0,0.8711,False,forced_incumbent_neighbors,fails_alpha01_gate
9,0.165,segment_relative_tail_blended_uncertainty,0.5,0.1,153517.7338515995,225,0.407492,0.11595,0.0,0.8711,False,forced_incumbent_neighbors,fails_alpha01_gate
10,0.165,segment_relative_tail_blended_uncertainty,0.55,0.1,153504.0839315729,225,0.407368,0.11595,0.0,0.8711,False,forced_incumbent_neighbors,fails_alpha01_gate
3,0.165,blended_uncertainty,0.5,0.1,80885.28937134052,200,0.188135,0.101271,0.0,0.905,False,forced_incumbent_neighbors,fails_alpha01_gate
4,0.165,capped_blended_uncertainty,0.5,0.1,80885.28937134052,200,0.188135,0.101271,0.0,0.905,False,forced_incumbent_neighbors,fails_alpha01_gate
1,0.165,blended_uncertainty,0.55,0.1,79207.28874407888,195,0.177764,0.10145,0.0,0.9128,False,forced_incumbent_neighbors,fails_alpha01_gate
2,0.165,capped_blended_uncertainty,0.55,0.1,79207.28874407888,195,0.177764,0.10145,0.0,0.9128,False,forced_incumbent_neighbors,fails_alpha01_gate
5,0.165,blended_uncertainty,0.45,0.1,70303.22649119215,209,0.199765,0.100924,0.0,0.9091,False,forced_incumbent_neighbors,fails_alpha01_gate
6,0.165,capped_blended_uncertainty,0.45,0.1,70303.22649119215,209,0.199765,0.100924,0.0,0.9091,False,forced_incumbent_neighbors,fails_alpha01_gate
