run_label,return_rank,realized_total_return,beats_official_champion,policy_mode,risk_tolerance,gamma,delta_cap_quantile,tail_focus_quantile,uncertainty_aversion,min_budget_utilization,pd_cap_slack_penalty,in_shortlist,shortlist_bucket,candidate_rank,exact_evaluated,alpha01_exact_pass,alpha01_weighted_miscoverage_V,alpha01_gamma_cp,alpha01_violation,alpha01_empirical_coverage_funded
paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,1,170611.34163424745,True,capped_blended_uncertainty,0.19,0.325,0.75,1.0,0.15,0.0,0.0,False,,,False,,,,,
paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,2,167551.91376347217,False,capped_blended_uncertainty,0.19,0.325,0.9,1.0,0.15,0.0,0.0,False,,,False,,,,,
paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,3,167481.12021210513,False,capped_blended_uncertainty,0.19,0.325,1.0,1.0,0.15,0.0,0.0,False,,,False,,,,,
paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,4,167481.12021210513,False,blended_uncertainty,0.19,0.325,1.0,1.0,0.15,0.0,0.0,False,,,False,,,,,
paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,5,167481.0840575228,False,capped_blended_uncertainty,0.19,0.325,0.95,1.0,0.15,0.0,0.0,False,,,False,,,,,
paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,6,165577.04320219762,False,capped_blended_uncertainty,0.185,0.325,0.75,1.0,0.15,0.0,0.0,False,,,False,,,,,
paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,7,165109.8500223593,False,capped_blended_uncertainty,0.18,0.325,0.75,1.0,0.0,0.0,0.0,False,,,False,,,,,
paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,8,164993.96429047038,False,blended_uncertainty,0.19,0.325,1.0,1.0,0.1,0.0,0.0,False,,,False,,,,,
paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,9,164993.96429047038,False,capped_blended_uncertainty,0.19,0.325,1.0,1.0,0.1,0.0,0.0,False,,,False,,,,,
paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,10,164895.37904887556,False,capped_blended_uncertainty,0.19,0.325,0.95,1.0,0.1,0.0,0.0,False,,,False,,,,,
paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,11,164626.4438320008,False,capped_blended_uncertainty,0.18,0.325,0.9,1.0,0.0,0.0,0.0,False,,,False,,,,,
paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,12,164537.97976539787,False,capped_blended_uncertainty,0.19,0.375,0.75,1.0,0.05,0.0,0.0,False,,,False,,,,,
