policy,policy_mode,gamma,risk_tolerance,uncertainty_aversion,min_budget_utilization,pd_cap_slack_penalty,price_of_robustness,price_of_robustness_pct,realized_total_return,ab_diff_total_return,ab_pass,solver_status,solver_backend,delta_cap_quantile,tail_focus_quantile,objective_value,n_funded,total_allocated,expected_return_gross,expected_loss_point,expected_return_net_point,worst_case_loss,uncertainty_penalty_cost,pd_cap_slack,worst_case_pd,point_pd,funded_ratio_vs_control,worst_case_pd_reduction_bps,allocation_similarity,eligible_for_canonical_selection,selected_for_champion,selected_for_robustness_aware,selected_for_balanced_robustness,selected_for_guardrail_robustness
nonrobust,hard_worst_case,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Optimal,cuopt,1.0,1.0,1.7786027530565398e-07,0,2.1014400488953828e-06,2.072523555673678e-07,2.9392080261713773e-08,1.77860275305654e-07,2.6778170349829e-07,0.0,0.0,0.19186908108391912,0.021059808632503643,,,,,False,False,False,False
robust,hard_worst_case,1.0,0.05,0.0,0.05,1.5,-3612.565418039098,-306705769247.68427,3814.300000000049,3814.300000000049,True,Optimal,cuopt,1.0,1.0,-12216.729420195565,13,50000.00000000065,3814.300000000049,201.7345817830905,3612.5654182169583,5873.788451744507,0.0,10552.86322560835,0.26105726451675354,0.008965981412402364,13.0,-691.8818343283442,0.0,False,False,False,False,False
robust,hard_worst_case,1.0,0.05,0.1,0.05,1.5,-3612.565418039056,-306705769247.6808,3814.3000000000047,3814.3000000000047,True,Optimal,cuopt,1.0,1.0,-12783.934807890644,14,50000.000000000065,3814.3000000000047,201.73458178308812,3612.5654182169164,5873.78845174444,567.2053869961351,10552.863226074283,0.26105726451675354,0.008965981412402362,14.0,-691.8818343283442,0.0,False,False,False,False,False
robust,hard_worst_case,1.0,0.05,0.25,0.05,1.5,-3612.565418039026,-306705769247.67816,3814.2999999999724,3814.2999999999724,True,Optimal,cuopt,1.0,1.0,-13634.742887766773,14,49999.99999999964,3814.299999999973,201.73458178308624,3612.5654182168864,5873.788451744389,1418.0134674903259,10552.863225662222,0.2610572645167536,0.008965981412402355,14.0,-691.8818343283448,0.0,False,False,False,False,False
robust,hard_worst_case,1.0,0.05,0.5,0.05,1.5,-3612.5654180390693,-306705769247.6819,397.89999999980034,397.89999999980034,True,Optimal,cuopt,1.0,1.0,-15052.75635597319,12,50000.000000000255,3814.3000000000184,201.7345817830888,3612.5654182169296,5873.788451744462,2836.026934980686,10552.863226139623,0.2610572645167536,0.008965981412402358,12.0,-691.8818343283448,0.0,False,False,False,False,False
robust,hard_worst_case,1.0,0.05,0.75,0.05,1.5,-3612.5654180390047,-306705769247.6764,3814.29999999995,3814.29999999995,True,Optimal,cuopt,1.0,1.0,-16470.769823403687,13,49999.99999999935,3814.29999999995,201.73458178308513,3612.565418216865,5873.7884517443545,4254.040402470952,10552.863226099733,0.26105726451675354,0.008965981412402358,13.0,-691.8818343283442,0.0,False,False,False,False,False
robust,hard_worst_case,1.0,0.05,1.0,0.05,1.5,-3612.5654180390306,-306705769247.6786,3814.299999999977,3814.299999999977,True,Optimal,cuopt,1.0,1.0,-17888.783290892512,14,49999.999999999694,3814.2999999999774,201.73458178308655,3612.565418216891,5873.788451744396,5672.05386996131,10552.863226098729,0.2610572645167536,0.008965981412402358,14.0,-691.8818343283448,0.0,False,False,False,False,False
robust,hard_worst_case,1.0,0.05,1.5,0.05,1.5,-3612.5654180390306,-306705769247.6786,3814.299999999977,3814.299999999977,True,Optimal,cuopt,1.0,1.0,-20724.810225873167,14,49999.999999999694,3814.2999999999774,201.73458178308655,3612.565418216891,5873.788451744396,8508.080804941965,10552.863226098729,0.2610572645167536,0.008965981412402358,14.0,-691.8818343283448,0.0,False,False,False,False,False
robust,hard_worst_case,1.0,0.05,2.0,0.05,1.5,-3612.5654180390306,-306705769247.6786,3814.299999999977,3814.299999999977,True,Optimal,cuopt,1.0,1.0,-23560.837160853822,14,49999.999999999694,3814.2999999999774,201.73458178308655,3612.565418216891,5873.788451744396,11344.10773992262,10552.863226098729,0.2610572645167536,0.008965981412402358,14.0,-691.8818343283448,0.0,False,False,False,False,False
robust,hard_worst_case,1.0,0.05,2.5,0.05,1.5,-3612.5654180390306,-306705769247.6786,3814.299999999977,3814.299999999977,True,Optimal,cuopt,1.0,1.0,-26396.864095834473,14,49999.999999999694,3814.2999999999774,201.73458178308655,3612.565418216891,5873.788451744396,14180.134674903275,10552.863226098729,0.2610572645167536,0.008965981412402358,14.0,-691.8818343283448,0.0,False,False,False,False,False
robust,hard_worst_case,1.0,0.05,3.0,0.05,1.5,-3612.5654180390297,-306705769247.6785,3814.299999999976,3814.299999999976,True,Optimal,cuopt,1.0,1.0,-29232.891030815124,14,49999.999999999694,3814.2999999999765,201.73458178308653,3612.56541821689,5873.7884517443945,17016.161609883926,10552.863226098727,0.2610572645167536,0.008965981412402358,14.0,-691.8818343283448,0.0,False,False,False,False,False
robust,blended_uncertainty,0.0,0.05,0.0,0.05,1.5,-130281.4336759307,-11060856402693.67,105651.50367604083,105651.50367604083,True,Optimal,cuopt,1.0,1.0,130281.43367610859,225,1000000.0,152781.43367604082,22499.99999993226,130281.43367610856,259025.36226895516,0.0,0.0,0.5756119161526582,0.04999999999979947,225.0,-3837.428350687391,0.0586396283460405,True,False,False,False,False
robust,blended_uncertainty,0.0,0.05,0.1,0.05,1.5,-128824.13155857942,-10937131870344.27,102958.59155870354,102958.59155870354,True,Optimal,cuopt,1.0,1.0,108350.71197716038,204,1000000.0,151324.13155870352,22499.99999994624,128824.13155875728,227234.195815915,20473.419581596878,0.0,0.5049648795904172,0.049999999999830534,204.0,-3130.9579850649816,0.061607840141574464,True,False,False,False,False
robust,blended_uncertainty,0.0,0.05,0.25,0.05,1.5,-127278.58814861217,-10805915677526.645,102113.84814877911,102113.84814877911,True,Optimal,cuopt,1.0,1.0,78315.29959802091,203,1000000.0000000005,149778.58814877915,22499.999999989133,127278.58814879002,218353.15420306555,48963.288550769095,0.0,0.48522923156188247,0.04999999999992582,203.0,-2933.6015047796336,0.0862353720733908,True,False,False,False,False
robust,blended_uncertainty,0.0,0.05,0.5,0.05,1.5,-121120.38068003868,-10283085627334.535,79308.70068021689,79308.70068021689,True,Optimal,cuopt,1.0,1.0,30979.534069684807,207,1000000.0,143620.38068021688,22500.000000000353,121120.38068021653,202781.69322106388,90140.84661053175,0.0,0.4506259849352468,0.049999999999950785,207.0,-2587.5690385132766,0.11654112286975188,True,False,False,False,False
