scenario,grade,n,stage2_share,stage3_share,total_ecl,avg_ecl,total_ecl_low,total_ecl_high,total_ecl_range,temporal_source,temporal_pd_baseline_mult,temporal_point_model,temporal_interval_model,temporal_status,temporal_official_status
baseline,A,72388,0.42906282809305407,0.08926893960324915,91796859.13919644,1268.122605116821,164109.55540502735,103192229.74988593,103028120.19448091,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
baseline,B,75311,0.5511279892711556,0.18401030393966353,215052243.67113155,2855.5223496053904,0.0,464876040.6551122,464876040.6551122,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
baseline,C,70568,0.4705815667157919,0.28246514000680195,281782261.2240604,3993.060044553628,0.0,453887186.86708236,453887186.86708236,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
baseline,D,45637,0.41764357867519775,0.35376996735105287,213583936.02934855,4680.060828480149,2062.9601070886624,298725627.1350362,298723564.1749291,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
baseline,E,10828,0.2936830439601034,0.4365533801256003,53762596.31895106,4965.145578033899,109759.98979431362,69844588.86210723,69734828.87231292,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
baseline,F,1731,0.3304448295782785,0.5251299826689775,11694455.895421902,6755.895953449972,112633.00632560426,14095577.33134357,13982944.325017966,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
baseline,G,406,0.17980295566502463,0.5344827586206896,2675025.4373536804,6588.73260431941,13639.933064357541,3331841.1810612027,3318201.2479968453,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
mild_stress,A,72388,0.517074653257446,0.08926893960324915,110217839.43054008,1522.5982128327912,202125.53391460195,127096709.771447,126894584.2375324,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
mild_stress,B,75311,0.7005616709378444,0.18401030393966353,264465598.12305528,3511.646348117211,0.0,515518186.29872465,515518186.29872465,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
mild_stress,C,70568,0.5699750595170615,0.28246514000680195,335643498.46070725,4756.313037930893,0.0,497929259.01419115,497929259.01419115,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
mild_stress,D,45637,0.4693998290860486,0.35376996735105287,247284323.39376247,5418.5052346508855,2540.844815895751,325281686.30540377,325279145.46058786,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
mild_stress,E,10828,0.3638714444033986,0.4365533801256003,61005283.101169504,5634.0305782387795,135185.89143016638,75957260.68043339,75822074.78900322,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
mild_stress,F,1731,0.389948006932409,0.5251299826689775,12895639.270760644,7449.820491485063,138724.44224093048,15136704.478671204,14997980.036430273,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
mild_stress,G,406,0.270935960591133,0.5344827586206896,2975819.6873465376,7329.60514124763,16799.623558715964,3583694.0895749936,3566894.4660162777,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
adverse,A,72388,0.5385008564955518,0.08926893960324915,130389071.63722557,1801.2525782895725,250890.6883032059,157760280.84162566,157509390.15332246,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
adverse,B,75311,0.7522539868013969,0.18401030393966353,317847502.8011956,4220.46583900354,0.0,573132817.789322,573132817.789322,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
adverse,C,70568,0.5896582020179117,0.28246514000680195,394394335.6560752,5588.85522695946,0.0,550013895.2396061,550013895.2396061,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
adverse,D,45637,0.5421697307009663,0.35376996735105287,285435145.61807954,6254.467769969094,3153.8534117171475,358535855.5028703,358532701.6494586,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
adverse,E,10828,0.4191909863317325,0.4365533801256003,68033126.18316345,6283.074084148822,167801.07239754673,83722542.23701,83554741.16461246,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
adverse,F,1731,0.42634315424610053,0.5251299826689775,14206246.771092635,8206.959428707472,172193.34007058386,16632707.496695342,16460514.156624757,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
adverse,G,406,0.33251231527093594,0.5344827586206896,3313311.4285002146,8160.865587438952,20852.729668789816,3937683.0566713624,3916830.3270025724,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
severe,A,72388,0.6081394706304912,0.08926893960324915,169702872.5781713,2344.3508948744447,335768.15035868605,211123293.79154125,210787525.64118257,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
severe,B,75311,0.7815856913332714,0.18401030393966353,402061229.43730354,5338.678671605789,0.0,646665381.3942287,646665381.3942287,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
severe,C,70568,0.685636549144088,0.28246514000680195,485981627.4226285,6886.713913142338,0.0,618279342.69217,618279342.69217,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
severe,D,45637,0.5971470517343384,0.35376996735105287,324130222.4890778,7102.356037624686,4220.816379103404,402872635.540138,402868414.7237589,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
severe,E,10828,0.47709641669745106,0.4365533801256003,77334792.61285076,7142.112358039412,224568.9391191657,94112088.560848,93887519.62172884,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
severe,F,1731,0.43558636626227615,0.5251299826689775,15855962.160554046,9160.001248153694,230447.13094218634,18673490.15763667,18443043.026694484,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
severe,G,406,0.3916256157635468,0.5344827586206896,3757418.5446517835,9254.72547943789,27907.303049675535,4420210.938051615,4392303.63500194,ts_ifrs9_scenarios_mean_vs_recent_actual,1.0171538398530624,AutoARIMA,AutoARIMA,warn,diagnostic
