policy_id,reference_policy_id,n_months,paired_monthly_diff,bootstrap_p05,bootstrap_p50,bootstrap_p95,prob_diff_positive,bootstrap_scope
paper4_v4_local_rt0p1700_g0p425_u0p050,paper1_economic_champion,33,4718.439191406262,434.3951179558985,4546.327660705303,10064.275770099515,0.976,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p425_u0p025,paper1_economic_champion,33,3965.76658415488,-23.34091647985004,3534.471120920737,8467.601438380252,0.948,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p450_u0p050,paper1_economic_champion,33,3771.5875014227063,-231.22980032156934,3545.139282373115,8540.872398607287,0.938,common observed issue-month resampling
paper4_v4_local_rt0p1775_g0p475_u0p100,paper1_economic_champion,33,3767.908768519184,-251.9316834679448,3259.4087685191844,8642.113108074083,0.936,common observed issue-month resampling
paper4_v4_local_rt0p1775_g0p475_u0p000,paper1_economic_champion,33,3766.546319263112,-1294.5150670871446,3826.4964322587216,10570.476933147198,0.874,common observed issue-month resampling
paper4_v4_local_rt0p1775_g0p475_u0p075,paper1_economic_champion,33,3732.12766165324,-28.832927783095936,3436.8775167228723,8733.566946491916,0.944,common observed issue-month resampling
paper4_v4_local_rt0p1775_g0p475_u0p050,paper1_economic_champion,33,3699.0712233684358,333.7215970283589,3602.751572805828,9082.852393742865,0.996,common observed issue-month resampling
paper4_v4_local_rt0p1775_g0p475_u0p025,paper1_economic_champion,33,3563.6191396216295,-1195.7429843390146,3215.250892837309,9323.151516844142,0.886,common observed issue-month resampling
paper4_v4_local_rt0p1725_g0p450_u0p100,paper1_economic_champion,33,3562.817553533376,-555.3985350207982,3533.14735308347,9333.88184383244,0.916,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p450_u0p025,paper1_economic_champion,33,3509.7659787348534,-546.1007097353283,3629.5025793907325,7409.916449001012,0.928,common observed issue-month resampling
paper4_v4_local_rt0p1725_g0p450_u0p075,paper1_economic_champion,33,3492.3420149593426,-180.0420388802411,3186.6937368277004,8990.311719316604,0.93,common observed issue-month resampling
paper4_v4_local_rt0p1725_g0p450_u0p050,paper1_economic_champion,33,3372.92766948924,-1631.4493965892707,2771.6940418906256,9476.37915869317,0.842,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p425_u0p050,paper1_economic_champion,33,3090.509827157429,-1995.268151023605,3255.3931928713414,8393.304504660877,0.87,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p425_u0p100,paper1_economic_champion,33,3090.509827157429,-1676.2038608204828,3163.0578842550817,8595.37645011527,0.864,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p425_u0p000,paper1_economic_champion,33,3090.509827157429,-1985.3459785754276,2906.7193778237206,8748.897749785934,0.816,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p425_u0p025,paper1_economic_champion,33,3090.509827157429,-1846.0803106374126,2890.5331229729645,8926.977140221858,0.83,common observed issue-month resampling
paper4_v4_local_rt0p1750_g0p425_u0p075,paper1_economic_champion,33,3090.509827157429,-1843.2179788856672,2826.6173379088823,9098.482502622981,0.83,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p400_u0p075,paper1_economic_champion,33,2980.1042257304025,-1351.9673657064245,2806.6908577093936,7700.6850738043495,0.882,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p400_u0p000,paper1_economic_champion,33,2980.1042257304025,-1163.8589941094763,2448.1773564133364,7712.9040045404,0.864,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p400_u0p025,paper1_economic_champion,33,2980.1042257304025,-1244.1986672992493,2823.6682363592045,7303.034097996652,0.85,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p400_u0p100,paper1_economic_champion,33,2980.1042257304025,-1104.1185056060906,2826.082738288829,8555.607417965311,0.9,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p400_u0p050,paper1_economic_champion,33,2980.1042257304025,-1321.4768754408915,2768.4807442421634,7649.680969598332,0.868,common observed issue-month resampling
paper4_v4_local_rt0p1725_g0p450_u0p025,paper1_economic_champion,33,2951.090875140399,-3236.095716820624,2680.0649918849713,8974.648162325657,0.768,common observed issue-month resampling
paper4_v4_local_rt0p1725_g0p450_u0p000,paper1_economic_champion,33,2835.0354825200243,-2510.876545992368,2776.850816674907,9567.336845533378,0.78,common observed issue-month resampling
paper4_v4_local_rt0p1700_g0p450_u0p100,paper1_economic_champion,33,2749.3934751722613,-2163.4293661303714,2500.4572051311206,9108.325861056157,0.79,common observed issue-month resampling
