policy_id,risk_tolerance,gamma,policy_mode,uncertainty_aversion,solver_status,solve_scope,candidate_pool_n,min_budget_utilization_used,solve_seconds,n_funded,funded_exposure,realized_return_proxy_lgd45,ecl_baseline_lgd45,weighted_pd_point,weighted_pd_high,weighted_effective_pd,coverage_alpha01,default_rate_observed,delta_vs_paper1_frozen_full_exact,delta_vs_v3_gross_challenger_full_exact,paper4_local_rank_return,grid_family
paper4_v4_local_rt0p1700_g0p425_u0p050,0.17,0.425,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.8993243989989423,338,1000000.0,178048.10260725138,124748.80852260345,0.09075074928684072,0.2772195744946743,0.17000000000017,0.9467455621301775,0.05325443786982249,4718.439191406273,4275.14802916639,1,uncertainty_aversion_local_search
paper4_v4_local_rt0p1700_g0p425_u0p025,0.17,0.425,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.500401368999519,338,1000000.0,177295.43,124813.30973383927,0.09064480526838578,0.27736291051964274,0.17000000000017,0.9437869822485208,0.05621301775147929,3965.766584154888,3522.4754219150054,2,uncertainty_aversion_local_search
paper4_v4_local_rt0p1750_g0p450_u0p050,0.175,0.45,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.037141889999475,339,1000000.0,177101.2509172678,124993.23236448948,0.09092139570124638,0.2777627385877544,0.175000000000175,0.943952802359882,0.05604719764011799,3771.587501422706,3328.2963391828234,3,uncertainty_aversion_local_search
paper4_v4_local_rt0p1775_g0p475_u0p100,0.1775,0.475,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.8381273459999647,337,1000000.0,177097.5721843643,122986.11611598669,0.09082156548142305,0.2733024802577482,0.17750000000017754,0.9465875370919882,0.05341246290801187,3767.908768519206,3324.617606279324,4,uncertainty_aversion_local_search
paper4_v4_local_rt0p1775_g0p475_u0p000,0.1775,0.475,blended_uncertainty,0.0,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.041279156999735,339,1000000.0,177096.20973510822,123316.38370328466,0.09015753541172346,0.27403640822952147,0.17750000000017752,0.9469026548672567,0.05309734513274336,3766.546319263114,3323.2551570232317,5,uncertainty_aversion_local_search
paper4_v4_local_rt0p1775_g0p475_u0p075,0.1775,0.475,blended_uncertainty,0.075,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.9413710049993824,337,1000000.0,177061.79107749835,123033.41173252417,0.09072647376563345,0.2734075816278315,0.17750000000017752,0.9465875370919882,0.05341246290801187,3732.1276616532414,3288.836499413359,6,uncertainty_aversion_local_search
paper4_v4_local_rt0p1775_g0p475_u0p050,0.1775,0.475,blended_uncertainty,0.05,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,3.9083359539999947,336,1000000.0,177028.73463921354,123076.01849501951,0.09064080937543117,0.27350226332226557,0.17750000000017752,0.9464285714285714,0.05357142857142857,3699.0712233684317,3255.7800611285493,7,uncertainty_aversion_local_search
paper4_v4_local_rt0p1775_g0p475_u0p025,0.1775,0.475,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.1026475520011445,338,1000000.0,176893.28255546675,123240.03411835192,0.0903110425137046,0.27386674248522647,0.17750000000017752,0.9467455621301775,0.05325443786982249,3563.6191396216454,3120.327977381763,8,uncertainty_aversion_local_search
paper4_v4_local_rt0p1725_g0p450_u0p100,0.1725,0.45,blended_uncertainty,0.1,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.323500435999449,337,1000000.0,176892.4809693785,122611.8074978932,0.09070580454959869,0.2724706833286516,0.17250000000017246,0.9465875370919882,0.05341246290801187,3562.8175535333867,3119.5263912935043,9,uncertainty_aversion_local_search
paper4_v4_local_rt0p1750_g0p450_u0p025,0.175,0.45,blended_uncertainty,0.025,TerminationCondition.optimal,paper4_v4_local_candidate_pool_exact_lp,12000,0.95,4.573503153000274,337,1000000.0,176839.42939457996,125081.81583688637,0.09076033484234297,0.27795959074863635,0.17500000000017496,0.9465875370919882,0.05341246290801187,3509.765978734853,3066.4748164949706,10,uncertainty_aversion_local_search
