variable,source,dtype,present_in_cleaned,present_in_raw,row_count,non_null_count,missing_rate,distinct_count,lane_flags,dictionary_description
Unnamed: 0,cleaned_parquet,int64,True,True,,,,,,
id,cleaned_parquet,string,True,True,1860764,1860764,0.0,1860764,ifrs9_sicr:cleaned,A unique LC assigned ID for the loan listing.
loan_amnt,cleaned_parquet,double,True,True,1860764,1860764,0.0,1568,ifrs9_sicr:cleaned;spo_dfl:cleaned;dla_adp:cleaned;cvar_oce:cleaned,"The listed amount of the loan applied for by the borrower. If at some point in time, the credit department reduces the loan amount, then it will be reflected in this value."
term,cleaned_parquet,string,True,True,1860764,1860764,0.0,2,ifrs9_sicr:cleaned;cate_policy_value:cleaned;dla_adp:cleaned,The number of payments on the loan. Values are in months and can be either 36 or 60.
int_rate,cleaned_parquet,string,True,True,1860764,1860764,0.0,684,ifrs9_sicr:cleaned;cate_policy_value:cleaned;spo_dfl:cleaned;cvar_oce:cleaned,Interest Rate on the loan
installment,cleaned_parquet,double,True,True,1860764,1860764,0.0,90813,ifrs9_sicr:cleaned;spo_dfl:cleaned;cvar_oce:cleaned,The monthly payment owed by the borrower if the loan originates.
grade,cleaned_parquet,string,True,True,1860764,1860764,0.0,7,fair_lending_proxy:cleaned;cate_policy_value:cleaned;online_conformal:cleaned;spo_dfl:cleaned;dla_adp:cleaned;cvar_oce:cleaned,LC assigned loan grade
sub_grade,cleaned_parquet,string,True,True,1860764,1860764,0.0,35,fair_lending_proxy:cleaned;cate_policy_value:cleaned;online_conformal:cleaned;spo_dfl:cleaned;dla_adp:cleaned;cvar_oce:cleaned,LC assigned loan subgrade
emp_title,cleaned_parquet,string,True,True,1860764,1729236,0.0706849444636719,456736,fair_lending_proxy:cleaned,The job title supplied by the Borrower when applying for the loan.*
emp_length,cleaned_parquet,string,True,True,,,,,,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years.
home_ownership,cleaned_parquet,string,True,True,1860764,1860764,0.0,6,fair_lending_proxy:cleaned,"The home ownership status provided by the borrower during registration or obtained from the credit report. Our values are: RENT, OWN, MORTGAGE, OTHER"
annual_inc,cleaned_parquet,double,True,True,1860764,1860764,0.0,79183,fair_lending_proxy:cleaned;cate_policy_value:cleaned;online_conformal:cleaned;spo_dfl:cleaned,The self-reported annual income provided by the borrower during registration.
verification_status,cleaned_parquet,string,True,True,1860764,1860764,0.0,3,fair_lending_proxy:cleaned;cate_policy_value:cleaned,"Indicates if income was verified by LC, not verified, or if the income source was verified"
issue_d,cleaned_parquet,string,True,True,1860764,1860764,0.0,160,ifrs9_sicr:cleaned;online_conformal:cleaned;dla_adp:cleaned,The month which the loan was funded
loan_status,cleaned_parquet,string,True,True,1860764,1860764,0.0,3,ifrs9_sicr:cleaned;cate_policy_value:cleaned,Current status of the loan
pymnt_plan,cleaned_parquet,string,True,True,,,,,,Indicates if a payment plan has been put in place for the loan
url,cleaned_parquet,string,True,True,,,,,,URL for the LC page with listing data.
purpose,cleaned_parquet,string,True,True,1860764,1860764,0.0,14,fair_lending_proxy:cleaned;online_conformal:cleaned,A category provided by the borrower for the loan request.
title,cleaned_parquet,string,True,True,,,,,,The loan title provided by the borrower
zip_code,cleaned_parquet,string,True,True,1860764,1860763,5.374136644947989e-07,949,fair_lending_proxy:cleaned;fair_lending_proxy:raw;online_conformal:cleaned,The first 3 numbers of the zip code provided by the borrower in the loan application.
addr_state,cleaned_parquet,string,True,True,1860764,1860764,0.0,51,fair_lending_proxy:cleaned;fair_lending_proxy:raw;online_conformal:cleaned;dla_adp:cleaned,The state provided by the borrower in the loan application
dti,cleaned_parquet,double,True,True,1860764,1859655,0.000595991753924732,9346,fair_lending_proxy:cleaned;cate_policy_value:cleaned;online_conformal:cleaned;spo_dfl:cleaned,"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income."
delinq_2yrs,cleaned_parquet,double,True,True,,,,,,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years
earliest_cr_line,cleaned_parquet,string,True,True,,,,,,The month the borrower's earliest reported credit line was opened
fico_range_low,cleaned_parquet,double,True,True,1860764,1860764,0.0,40,ifrs9_sicr:cleaned;cate_policy_value:cleaned,The lower boundary range the borrower’s FICO at loan origination belongs to.
fico_range_high,cleaned_parquet,double,True,True,1860764,1860764,0.0,40,ifrs9_sicr:cleaned;cate_policy_value:cleaned,The upper boundary range the borrower’s FICO at loan origination belongs to.
inq_last_6mths,cleaned_parquet,double,True,True,,,,,,The number of inquiries in past 6 months (excluding auto and mortgage inquiries)
mths_since_last_delinq,cleaned_parquet,double,True,True,,,,,,The number of months since the borrower's last delinquency.
mths_since_last_record,cleaned_parquet,double,True,True,,,,,,The number of months since the last public record.
open_acc,cleaned_parquet,double,True,True,,,,,,The number of open credit lines in the borrower's credit file.
pub_rec,cleaned_parquet,double,True,True,,,,,,Number of derogatory public records
revol_bal,cleaned_parquet,double,True,True,,,,,,Total credit revolving balance
revol_util,cleaned_parquet,string,True,True,,,,,,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit."
total_acc,cleaned_parquet,double,True,True,,,,,,The total number of credit lines currently in the borrower's credit file
initial_list_status,cleaned_parquet,string,True,True,,,,,,"The initial listing status of the loan. Possible values are – W, F"
next_pymnt_d,cleaned_parquet,string,True,True,,,,,,Next scheduled payment date
last_fico_range_high,cleaned_parquet,double,True,True,1860764,1860764,0.0,72,ifrs9_sicr:cleaned,The upper boundary range the borrower’s last FICO pulled belongs to.
last_fico_range_low,cleaned_parquet,double,True,True,1860764,1860764,0.0,71,ifrs9_sicr:cleaned,The lower boundary range the borrower’s last FICO pulled belongs to.
collections_12_mths_ex_med,cleaned_parquet,double,True,True,,,,,,Number of collections in 12 months excluding medical collections
mths_since_last_major_derog,cleaned_parquet,double,True,True,,,,,,Months since most recent 90-day or worse rating
policy_code,cleaned_parquet,double,True,True,,,,,,"publicly available policy_code=1
new products not publicly available policy_code=2"
application_type,cleaned_parquet,string,True,True,,,,,,Indicates whether the loan is an individual application or a joint application with two co-borrowers
annual_inc_joint,cleaned_parquet,double,True,True,,,,,,The combined self-reported annual income provided by the co-borrowers during registration
dti_joint,cleaned_parquet,double,True,True,,,,,,"A ratio calculated using the co-borrowers' total monthly payments on the total debt obligations, excluding mortgages and the requested LC loan, divided by the co-borrowers' combined self-reported monthly income"
verification_status_joint,cleaned_parquet,string,True,True,,,,,,
acc_now_delinq,cleaned_parquet,double,True,True,,,,,,The number of accounts on which the borrower is now delinquent.
tot_coll_amt,cleaned_parquet,double,True,True,,,,,,Total collection amounts ever owed
tot_cur_bal,cleaned_parquet,double,True,True,,,,,,Total current balance of all accounts
open_acc_6m,cleaned_parquet,double,True,True,,,,,,Number of open trades in last 6 months
open_act_il,cleaned_parquet,double,True,True,,,,,,Number of currently active installment trades
open_il_12m,cleaned_parquet,double,True,True,,,,,,Number of installment accounts opened in past 12 months
open_il_24m,cleaned_parquet,double,True,True,,,,,,Number of installment accounts opened in past 24 months
mths_since_rcnt_il,cleaned_parquet,double,True,True,,,,,,Months since most recent installment accounts opened
open_rv_12m,cleaned_parquet,double,True,True,,,,,,Number of revolving trades opened in past 12 months
open_rv_24m,cleaned_parquet,double,True,True,,,,,,Number of revolving trades opened in past 24 months
inq_fi,cleaned_parquet,double,True,True,,,,,,Number of personal finance inquiries
total_cu_tl,cleaned_parquet,double,True,True,,,,,,Number of finance trades
inq_last_12m,cleaned_parquet,double,True,True,,,,,,Number of credit inquiries in past 12 months
acc_open_past_24mths,cleaned_parquet,double,True,True,,,,,,Number of trades opened in past 24 months.
avg_cur_bal,cleaned_parquet,double,True,True,,,,,,Average current balance of all accounts
bc_open_to_buy,cleaned_parquet,double,True,True,,,,,,Total open to buy on revolving bankcards.
bc_util,cleaned_parquet,double,True,True,,,,,,Ratio of total current balance to high credit/credit limit for all bankcard accounts.
chargeoff_within_12_mths,cleaned_parquet,double,True,True,,,,,,Number of charge-offs within 12 months
delinq_amnt,cleaned_parquet,double,True,True,,,,,,The past-due amount owed for the accounts on which the borrower is now delinquent.
mo_sin_old_il_acct,cleaned_parquet,double,True,True,,,,,,Months since oldest bank installment account opened
mo_sin_old_rev_tl_op,cleaned_parquet,double,True,True,,,,,,Months since oldest revolving account opened
mo_sin_rcnt_rev_tl_op,cleaned_parquet,double,True,True,,,,,,Months since most recent revolving account opened
mo_sin_rcnt_tl,cleaned_parquet,double,True,True,,,,,,Months since most recent account opened
mort_acc,cleaned_parquet,double,True,True,,,,,,Number of mortgage accounts.
mths_since_recent_bc,cleaned_parquet,double,True,True,,,,,,Months since most recent bankcard account opened.
mths_since_recent_bc_dlq,cleaned_parquet,double,True,True,,,,,,Months since most recent bankcard delinquency
mths_since_recent_inq,cleaned_parquet,double,True,True,,,,,,Months since most recent inquiry.
mths_since_recent_revol_delinq,cleaned_parquet,double,True,True,,,,,,Months since most recent revolving delinquency.
num_accts_ever_120_pd,cleaned_parquet,double,True,True,,,,,,Number of accounts ever 120 or more days past due
num_actv_bc_tl,cleaned_parquet,double,True,True,,,,,,Number of currently active bankcard accounts
num_actv_rev_tl,cleaned_parquet,double,True,True,,,,,,Number of currently active revolving trades
num_bc_sats,cleaned_parquet,double,True,True,,,,,,Number of satisfactory bankcard accounts
num_bc_tl,cleaned_parquet,double,True,True,,,,,,Number of bankcard accounts
num_il_tl,cleaned_parquet,double,True,True,,,,,,Number of installment accounts
num_op_rev_tl,cleaned_parquet,double,True,True,,,,,,Number of open revolving accounts
num_rev_accts,cleaned_parquet,double,True,True,,,,,,Number of revolving accounts
num_rev_tl_bal_gt_0,cleaned_parquet,double,True,True,,,,,,Number of revolving trades with balance >0
num_sats,cleaned_parquet,double,True,True,,,,,,Number of satisfactory accounts
num_tl_120dpd_2m,cleaned_parquet,double,True,True,,,,,,Number of accounts currently 120 days past due (updated in past 2 months)
num_tl_30dpd,cleaned_parquet,double,True,True,,,,,,Number of accounts currently 30 days past due (updated in past 2 months)
num_tl_90g_dpd_24m,cleaned_parquet,double,True,True,,,,,,Number of accounts 90 or more days past due in last 24 months
num_tl_op_past_12m,cleaned_parquet,double,True,True,,,,,,Number of accounts opened in past 12 months
pct_tl_nvr_dlq,cleaned_parquet,double,True,True,,,,,,Percent of trades never delinquent
percent_bc_gt_75,cleaned_parquet,double,True,True,,,,,,Percentage of all bankcard accounts > 75% of limit.
pub_rec_bankruptcies,cleaned_parquet,double,True,True,,,,,,Number of public record bankruptcies
tax_liens,cleaned_parquet,double,True,True,,,,,,Number of tax liens
tot_hi_cred_lim,cleaned_parquet,double,True,True,,,,,,Total high credit/credit limit
total_bal_ex_mort,cleaned_parquet,double,True,True,,,,,,Total credit balance excluding mortgage
total_bc_limit,cleaned_parquet,double,True,True,,,,,,Total bankcard high credit/credit limit
total_il_high_credit_limit,cleaned_parquet,double,True,True,,,,,,Total installment high credit/credit limit
revol_bal_joint,cleaned_parquet,double,True,True,,,,,,"Sum of revolving credit balance of the co-borrowers, net of duplicate balances"
sec_app_fico_range_low,cleaned_parquet,double,True,True,,,,,,FICO range (high) for the secondary applicant
sec_app_fico_range_high,cleaned_parquet,double,True,True,,,,,,FICO range (low) for the secondary applicant
sec_app_earliest_cr_line,cleaned_parquet,string,True,True,,,,,,Earliest credit line at time of application for the secondary applicant
sec_app_inq_last_6mths,cleaned_parquet,double,True,True,,,,,,Credit inquiries in the last 6 months at time of application for the secondary applicant
