policy_id,max_abs_representation_gap,stressed_groups,total_groups,fairness_proxy_pass,status
crpto_rt0p160_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.25385239470593696,3,6,False,fairness_proxy_screen_grade_distribution
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.253893983501229,3,6,False,fairness_proxy_screen_grade_distribution
crpto_rt0p165_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.2545421393264616,3,6,False,fairness_proxy_screen_grade_distribution
crpto_rt0p160_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.2550256650186832,3,6,False,fairness_proxy_screen_grade_distribution
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.2550708954949552,3,6,False,fairness_proxy_screen_grade_distribution
crpto_rt0p170_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.25507754060789745,3,6,False,fairness_proxy_screen_grade_distribution
crpto_rt0p160_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.2551054876199206,3,6,False,fairness_proxy_screen_grade_distribution
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.25514652911984304,3,6,False,fairness_proxy_screen_grade_distribution
crpto_rt0p165_g0p50_u0p05_alpha0p01_incumbent_region_rs42,0.25514652911984304,3,6,False,fairness_proxy_screen_grade_distribution
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.255179406106537,3,6,False,fairness_proxy_screen_grade_distribution
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.25521588924616,3,6,False,fairness_proxy_screen_grade_distribution
crpto_rt0p165_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.25522195434265404,3,6,False,fairness_proxy_screen_grade_distribution
crpto_rt0p175_g0p50_u0p10_alpha0p01_conservative_proxy_rs42,0.255353364852726,3,6,False,fairness_proxy_screen_grade_distribution
crpto_rt0p170_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.25548724506171805,3,6,False,fairness_proxy_screen_grade_distribution
