policy_id,max_abs_gap,mean_abs_gap,source_id,fairness_proxy_pass_25
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.24640029966698218,0.1054860958646022,grade,True
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.24640029966698218,0.10344293048174762,grade,True
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.24640029966698218,0.11468621150003877,grade,True
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.24640029966698218,0.11389840933027591,grade,True
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.24640029966698218,0.11978578762460476,grade,True
paper1_economic_champion,0.287976161100321,0.12166038574902316,grade,False
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.29531513241855256,0.13386646537064012,period,False
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.29181513241855256,0.1319980285405447,period,False
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.29831513241855256,0.13206646537064012,period,False
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.29831513241855256,0.1347987949827005,period,False
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.29831513241855256,0.13094988170137403,period,False
paper1_economic_champion,0.306251225854017,0.1398609027448259,period,False
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.1089530273819786,0.03288047796692027,grade_period,True
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.10728461517405632,0.03249122029398372,grade_period,True
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.11001109873807532,0.03338047796692027,grade_period,True
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.1089530273819786,0.03338047796692027,grade_period,True
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.11228461517405633,0.03406033842704686,grade_period,True
paper1_economic_champion,0.15824570860952075,0.03616944967530052,grade_period,True
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.28391917904586983,0.28391917904586983,term,False
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.28391917904586983,0.28391917904586983,term,False
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.29379566260988876,0.29379566260988876,term,False
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.29103835501571884,0.29103835501571884,term,False
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.2960941790458699,0.2960941790458698,term,False
paper1_economic_champion,0.2740191790458698,0.2740191790458698,term,False
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.41849454565386784,0.08580766393396394,purpose,False
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.4224156377291064,0.08646117927983703,purpose,False
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.43864602921788687,0.08871183060063059,purpose,False
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.43588872162371683,0.08804002659560543,purpose,False
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.44094454565386787,0.08974107122533796,purpose,False
paper1_economic_champion,1.0,1.0,purpose,False
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.35817653759428947,0.23803184433537258,home_ownership,False
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.36057761643428043,0.23963256356203325,home_ownership,False
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.3576526164342805,0.23768256356203324,home_ownership,False
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.3576526164342805,0.23768256356203324,home_ownership,False
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.36005261643428044,0.23928256356203326,home_ownership,False
paper1_economic_champion,1.0,1.0,home_ownership,False
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.06552834409111064,0.018256643426045736,state_top20,True
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.07019943616634922,0.01885875494178189,state_top20,True
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.054726860527091636,0.017530414404709743,state_top20,True
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.057484168121261614,0.017142460458425837,state_top20,True
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.055028344091110626,0.01763769855368774,state_top20,True
paper1_economic_champion,1.0,1.0,state_top20,False
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.4067587783616347,0.16270351134465388,income_band,False
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.40448876512638715,0.16179550605055487,income_band,False
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.40783485720162566,0.16313394288065028,income_band,False
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.40286568123177674,0.16114627249271068,income_band,False
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.3976098572013756,0.15904394288055027,income_band,False
