capture_packet_id,priority,outcome_template_id,review_domain,asset_id,target_file,target_block,outcome_decision,revision_required,claim_boundary_ok,caption_final_allowed,patch_scope_ok,review_completed,patch_allowed,accepted_scope,reviewer_id,review_timestamp_utc,reviewer_notes
manual_capture_01,1,layout_outcome_review_01,layout_surface,T1;F1,book/chapters/19-paper-mega-extension/19bv-v33-cvar-certificate.qmd,results_evidence_cvar,accept,False,True,True,True,True,True,owner_closure_accept_for_four_chapter_patch,owner_closure_2026_05_17,2026-05-18T01:20:37Z,"Accepted to close the procedural loop and apply the bounded four-chapter Paper 4 patch; this is not external peer review, final promotion, or Paper Estrella replacement evidence."
manual_capture_02,2,layout_outcome_review_02,layout_surface,T2;F2;T4;F3,book/chapters/19-paper-mega-extension/19bx-v35-online-macro-validation.qmd,results_evidence_governance_online,accept,False,True,True,True,True,True,owner_closure_accept_for_four_chapter_patch,owner_closure_2026_05_17,2026-05-18T01:20:37Z,"Accepted to close the procedural loop and apply the bounded four-chapter Paper 4 patch; this is not external peer review, final promotion, or Paper Estrella replacement evidence."
manual_capture_03,3,layout_outcome_review_03,layout_surface,T3;T6,book/chapters/19-paper-mega-extension/19ca-v38-final-synthesis.qmd,discussion_limitations,accept,False,True,True,True,True,True,owner_closure_accept_for_four_chapter_patch,owner_closure_2026_05_17,2026-05-18T01:20:37Z,"Accepted to close the procedural loop and apply the bounded four-chapter Paper 4 patch; this is not external peer review, final promotion, or Paper Estrella replacement evidence."
manual_capture_04,4,layout_outcome_review_04,layout_surface,T5;F4,book/chapters/19-paper-mega-extension/19f-sequential-decision-framework.qmd,methods_protocol,accept,False,True,True,True,True,True,owner_closure_accept_for_four_chapter_patch,owner_closure_2026_05_17,2026-05-18T01:20:37Z,"Accepted to close the procedural loop and apply the bounded four-chapter Paper 4 patch; this is not external peer review, final promotion, or Paper Estrella replacement evidence."
manual_capture_05,5,caption_outcome_caption_review_01,caption_claim_safety,T5,book/chapters/19-paper-mega-extension/19f-sequential-decision-framework.qmd,methods_protocol,accept,False,True,True,True,True,True,owner_closure_accept_for_four_chapter_patch,owner_closure_2026_05_17,2026-05-18T01:20:37Z,"Accepted to close the procedural loop and apply the bounded four-chapter Paper 4 patch; this is not external peer review, final promotion, or Paper Estrella replacement evidence."
manual_capture_06,6,caption_outcome_caption_review_02,caption_claim_safety,F4,book/chapters/19-paper-mega-extension/19f-sequential-decision-framework.qmd,methods_protocol,accept,False,True,True,True,True,True,owner_closure_accept_for_four_chapter_patch,owner_closure_2026_05_17,2026-05-18T01:20:37Z,"Accepted to close the procedural loop and apply the bounded four-chapter Paper 4 patch; this is not external peer review, final promotion, or Paper Estrella replacement evidence."
manual_capture_07,7,caption_outcome_caption_review_03,caption_claim_safety,T1,book/chapters/19-paper-mega-extension/19bv-v33-cvar-certificate.qmd,results_evidence_cvar,accept,False,True,True,True,True,True,owner_closure_accept_for_four_chapter_patch,owner_closure_2026_05_17,2026-05-18T01:20:37Z,"Accepted to close the procedural loop and apply the bounded four-chapter Paper 4 patch; this is not external peer review, final promotion, or Paper Estrella replacement evidence."
manual_capture_08,8,caption_outcome_caption_review_04,caption_claim_safety,F1,book/chapters/19-paper-mega-extension/19bv-v33-cvar-certificate.qmd,results_evidence_cvar,accept,False,True,True,True,True,True,owner_closure_accept_for_four_chapter_patch,owner_closure_2026_05_17,2026-05-18T01:20:37Z,"Accepted to close the procedural loop and apply the bounded four-chapter Paper 4 patch; this is not external peer review, final promotion, or Paper Estrella replacement evidence."
manual_capture_09,9,caption_outcome_caption_review_05,caption_claim_safety,T2,book/chapters/19-paper-mega-extension/19bx-v35-online-macro-validation.qmd,results_evidence_governance_online,accept,False,True,True,True,True,True,owner_closure_accept_for_four_chapter_patch,owner_closure_2026_05_17,2026-05-18T01:20:37Z,"Accepted to close the procedural loop and apply the bounded four-chapter Paper 4 patch; this is not external peer review, final promotion, or Paper Estrella replacement evidence."
manual_capture_10,10,caption_outcome_caption_review_06,caption_claim_safety,F2,book/chapters/19-paper-mega-extension/19bx-v35-online-macro-validation.qmd,results_evidence_governance_online,accept,False,True,True,True,True,True,owner_closure_accept_for_four_chapter_patch,owner_closure_2026_05_17,2026-05-18T01:20:37Z,"Accepted to close the procedural loop and apply the bounded four-chapter Paper 4 patch; this is not external peer review, final promotion, or Paper Estrella replacement evidence."
manual_capture_11,11,caption_outcome_caption_review_07,caption_claim_safety,T4,book/chapters/19-paper-mega-extension/19bx-v35-online-macro-validation.qmd,results_evidence_governance_online,accept,False,True,True,True,True,True,owner_closure_accept_for_four_chapter_patch,owner_closure_2026_05_17,2026-05-18T01:20:37Z,"Accepted to close the procedural loop and apply the bounded four-chapter Paper 4 patch; this is not external peer review, final promotion, or Paper Estrella replacement evidence."
manual_capture_12,12,caption_outcome_caption_review_08,caption_claim_safety,F3,book/chapters/19-paper-mega-extension/19bx-v35-online-macro-validation.qmd,results_evidence_governance_online,accept,False,True,True,True,True,True,owner_closure_accept_for_four_chapter_patch,owner_closure_2026_05_17,2026-05-18T01:20:37Z,"Accepted to close the procedural loop and apply the bounded four-chapter Paper 4 patch; this is not external peer review, final promotion, or Paper Estrella replacement evidence."
manual_capture_13,13,caption_outcome_caption_review_09,caption_claim_safety,T3,book/chapters/19-paper-mega-extension/19ca-v38-final-synthesis.qmd,discussion_limitations,accept,False,True,True,True,True,True,owner_closure_accept_for_four_chapter_patch,owner_closure_2026_05_17,2026-05-18T01:20:37Z,"Accepted to close the procedural loop and apply the bounded four-chapter Paper 4 patch; this is not external peer review, final promotion, or Paper Estrella replacement evidence."
manual_capture_14,14,caption_outcome_caption_review_10,caption_claim_safety,T6,book/chapters/19-paper-mega-extension/19ca-v38-final-synthesis.qmd,discussion_limitations,accept,False,True,True,True,True,True,owner_closure_accept_for_four_chapter_patch,owner_closure_2026_05_17,2026-05-18T01:20:37Z,"Accepted to close the procedural loop and apply the bounded four-chapter Paper 4 patch; this is not external peer review, final promotion, or Paper Estrella replacement evidence."
