path,artifact_type,decision,reason,replacement_artifact
reports/paper_material/paper4/notes/paper4_v490_layout_review_decision.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v491_patch_readiness_preflight.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v492_manual_layout_review_packet.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v493_caption_signoff_gap_packet.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v494_patch_approval_gap_packet.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v495_no_patch_release_synthesis.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v496_review_gate_prioritization.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v497_review_gate_execution_packet.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v498_review_gate_completion_gap_audit.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v499_review_outcome_capture_template.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v500_review_outcome_template_consistency_audit.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v501_review_outcome_capture_dry_run.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v502_review_outcome_manual_capture_packet.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v503_manual_capture_assignment_gap_audit.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v504_reviewer_assignment_packet.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v505_reviewer_eligibility_checklist.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v506_reviewer_candidate_nomination_packet.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v507_candidate_nomination_gap_audit.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v508_candidate_nomination_resolution_packet.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v509_candidate_resolution_gap_audit.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v510_candidate_resolution_manual_entry_packet.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v511_post_entry_candidate_resolution_audit.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v512_candidate_input_request_packet.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v513_candidate_input_receipt_audit.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v514_candidate_input_collection_reminder_packet.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v515_collection_reminder_followup_audit.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v516_candidate_input_second_reminder_packet.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v517_second_reminder_followup_audit.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v518_candidate_input_escalation_decision_packet.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v519_manual_owner_escalation_request_packet.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v520_manual_owner_escalation_followup_audit.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v521_manual_owner_request_dispatch_packet.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v522_manual_owner_dispatch_followup_audit.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v523_dispatch_evidence_request_packet.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v524_dispatch_evidence_followup_audit.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v525_dispatch_evidence_escalation_packet.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/notes/paper4_v526_dispatch_evidence_escalation_followup_audit.md,note,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/status/paper4_v490_status.json,status_json,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/status/paper4_v491_status.json,status_json,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/status/paper4_v492_status.json,status_json,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
reports/paper_material/paper4/status/paper4_v493_status.json,status_json,delete,retired procedural review/dispatch loop; no additional scientific evidence beyond accepted closure patch,reports/paper_material/paper4/tables/paper4_loop_closure_accept_outcomes_2026-05-17.csv
