policy_id,source_id,pooling_rule,small_cell_share,reason
paper4_v4_local_rt0p1700_g0p400_u0p000,original_grade,native_min8,0.16666666666666666,minimum-cell pooling prevents single-loan cells from controlling MDCP claims
paper4_v4_local_rt0p1700_g0p400_u0p000,period,native_min8,0.0,minimum-cell pooling prevents single-loan cells from controlling MDCP claims
paper4_v4_local_rt0p1700_g0p400_u0p000,term,native_min8,0.5,minimum-cell pooling prevents single-loan cells from controlling MDCP claims
paper4_v4_local_rt0p1700_g0p400_u0p000,state_top20,native_min8,0.3333333333333333,minimum-cell pooling prevents single-loan cells from controlling MDCP claims
paper4_v4_local_rt0p1700_g0p400_u0p000,income_band,native_min8,0.0,minimum-cell pooling prevents single-loan cells from controlling MDCP claims
paper4_v4_local_rt0p1700_g0p400_u0p000,dti_band,native_min8,0.0,minimum-cell pooling prevents single-loan cells from controlling MDCP claims
paper4_v4_local_rt0p1700_g0p400_u0p000,score_decile,native_min8,0.0,minimum-cell pooling prevents single-loan cells from controlling MDCP claims
paper4_v4_local_rt0p1700_g0p400_u0p000,grade_period,native_min8,0.5,minimum-cell pooling prevents single-loan cells from controlling MDCP claims
paper4_v4_local_rt0p1700_g0p400_u0p000,grade_score,native_min8,0.5789473684210527,minimum-cell pooling prevents single-loan cells from controlling MDCP claims
paper4_v4_local_rt0p1700_g0p400_u0p025,original_grade,native_min8,0.16666666666666666,minimum-cell pooling prevents single-loan cells from controlling MDCP claims
paper4_v4_local_rt0p1700_g0p400_u0p025,period,native_min8,0.0,minimum-cell pooling prevents single-loan cells from controlling MDCP claims
paper4_v4_local_rt0p1700_g0p400_u0p025,term,native_min8,0.5,minimum-cell pooling prevents single-loan cells from controlling MDCP claims
paper4_v4_local_rt0p1700_g0p400_u0p025,state_top20,native_min8,0.3333333333333333,minimum-cell pooling prevents single-loan cells from controlling MDCP claims
paper4_v4_local_rt0p1700_g0p400_u0p025,income_band,native_min8,0.0,minimum-cell pooling prevents single-loan cells from controlling MDCP claims
