policy_id,month,period,n_funded,coverage_online_90,coverage_online_95,funded_exposure,online_sources,coverage_regret_90,coverage_regret_95,coverage_regret_90_cum,coverage_regret_95_cum
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018-01-01,2018H1,9,1.0,1.0,17025.0,first_month_offline_fallback,0.0,0.0,0.0,0.0
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018-02-01,2018H1,8,0.75,0.75,15300.0,rolling_grade,0.15000000000000002,0.19999999999999996,0.15000000000000002,0.19999999999999996
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018-03-01,2018H1,4,1.0,1.0,11200.0,rolling_grade,0.0,0.0,0.15000000000000002,0.19999999999999996
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018-04-01,2018H1,2,1.0,1.0,3000.0,rolling_grade,0.0,0.0,0.15000000000000002,0.19999999999999996
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018-05-01,2018H1,8,1.0,1.0,14025.0,rolling_grade,0.0,0.0,0.15000000000000002,0.19999999999999996
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018-06-01,2018H1,16,0.9375,0.9375,41000.0,rolling_grade,0.0,0.012499999999999956,0.15000000000000002,0.2124999999999999
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018-07-01,2018H2,18,1.0,1.0,31525.0,rolling_grade,0.0,0.0,0.15000000000000002,0.2124999999999999
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018-08-01,2018H2,22,0.9090909090909091,0.9090909090909091,40525.0,rolling_grade,0.0,0.040909090909090895,0.15000000000000002,0.2534090909090908
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018-09-01,2018H2,17,1.0,1.0,46900.0,rolling_grade,0.0,0.0,0.15000000000000002,0.2534090909090908
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018-10-01,2018H2,18,0.9444444444444444,0.9444444444444444,68725.0,rolling_grade,0.0,0.005555555555555536,0.15000000000000002,0.25896464646464634
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018-11-01,2018H2,24,0.875,0.875,59700.0,rolling_grade,0.025000000000000022,0.07499999999999996,0.17500000000000004,0.3339646464646463
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2018-12-01,2018H2,20,0.95,0.95,54900.0,rolling_grade,0.0,0.0,0.17500000000000004,0.3339646464646463
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019-01-01,2019H1,18,1.0,1.0,49125.0,rolling_grade,0.0,0.0,0.17500000000000004,0.3339646464646463
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019-02-01,2019H1,12,0.9166666666666666,0.9166666666666666,47775.0,rolling_grade,0.0,0.033333333333333326,0.17500000000000004,0.3672979797979796
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019-03-01,2019H1,11,1.0,1.0,26800.0,rolling_grade,0.0,0.0,0.17500000000000004,0.3672979797979796
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019-04-01,2019H1,19,0.7894736842105263,0.7894736842105263,44350.0,rolling_grade,0.1105263157894737,0.16052631578947363,0.28552631578947374,0.5278242955874533
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019-05-01,2019H1,11,1.0,1.0,20900.0,rolling_grade,0.0,0.0,0.28552631578947374,0.5278242955874533
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019-06-01,2019H1,14,0.9285714285714286,0.9285714285714286,40075.0,rolling_grade,0.0,0.021428571428571352,0.28552631578947374,0.5492528670160246
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019-07-01,2019H2,21,0.8571428571428571,0.8571428571428571,76550.0,rolling_grade,0.04285714285714293,0.09285714285714286,0.32838345864661667,0.6421100098731675
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019-08-01,2019H2,14,1.0,1.0,48825.0,rolling_grade,0.0,0.0,0.32838345864661667,0.6421100098731675
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019-09-01,2019H2,8,1.0,1.0,20650.0,rolling_grade,0.0,0.0,0.32838345864661667,0.6421100098731675
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019-10-01,2019H2,8,1.0,1.0,26325.0,rolling_grade,0.0,0.0,0.32838345864661667,0.6421100098731675
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019-11-01,2019H2,7,0.8571428571428571,0.8571428571428571,8400.0,rolling_grade,0.04285714285714293,0.09285714285714286,0.3712406015037596,0.7349671527303103
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2019-12-01,2019H2,9,1.0,1.0,20225.0,rolling_grade,0.0,0.0,0.3712406015037596,0.7349671527303103
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2020-01-01,2020,5,1.0,1.0,8850.0,rolling_grade,0.0,0.0,0.3712406015037596,0.7349671527303103
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,2020-02-01,2020,5,1.0,1.0,6200.0,rolling_grade,0.0,0.0,0.3712406015037596,0.7349671527303103
