variant,source_family,source_value,n,defended_cell,coverage,avg_width
source_aware_guarded_v4_context,original_grade,A,22796,True,0.9368310229864889,0.9268777917844953
source_aware_guarded_v4_context,original_grade,B,21573,True,0.9671348444815279,0.98446547577463
source_aware_guarded_v4_context,original_grade,C,19375,True,0.9944774193548387,0.9981752098118496
source_aware_guarded_v4_context,original_grade,D,14681,True,0.9980246577208637,0.9991925920758483
source_aware_guarded_v4_context,original_grade,E,1243,True,0.995172968624296,0.9991343108179971
source_aware_guarded_v4_context,original_grade,F,16,False,1.0,0.9958974154520858
source_aware_guarded_v4_context,original_grade,G,7,False,1.0,1.0
source_aware_guarded_v4_context,term,36,58759,True,0.9629333378716451,0.9662928440366547
source_aware_guarded_v4_context,term,60,20932,True,0.9946015669787884,0.996666733662324
source_aware_guarded_v4_context,score_decile,0,6606,True,0.9498940357250983,0.879283607968551
source_aware_guarded_v4_context,score_decile,1,8449,True,0.937625754527163,0.9163005254255145
source_aware_guarded_v4_context,score_decile,2,7523,True,0.9231689485577562,0.947292996175528
source_aware_guarded_v4_context,score_decile,3,8659,True,0.9012588058667282,0.9828729950265358
source_aware_guarded_v4_context,score_decile,4,8507,True,1.0,0.9998954126068812
source_aware_guarded_v4_context,score_decile,5,8125,True,1.0,1.0
source_aware_guarded_v4_context,score_decile,6,9012,True,1.0,1.0
source_aware_guarded_v4_context,score_decile,7,8408,True,1.0,1.0
source_aware_guarded_v4_context,score_decile,8,7641,True,1.0,1.0
source_aware_guarded_v4_context,score_decile,9,6761,True,1.0,0.9999949547402953
source_aware_guarded_v4_context,income_band,inc_q1,13754,True,0.978042751199651,0.9833572300244068
source_aware_guarded_v4_context,income_band,inc_q2,14302,True,0.9749685358691093,0.9775308782331312
source_aware_guarded_v4_context,income_band,inc_q3,16556,True,0.9731215269388741,0.9757505196846021
source_aware_guarded_v4_context,income_band,inc_q4,16457,True,0.9718053108099897,0.9720755380374593
source_aware_guarded_v4_context,income_band,inc_q5,18622,True,0.961228654279884,0.9656811618592465
source_aware_guarded_v4_context,dti_band,dti_q1,15054,True,0.9554271290022586,0.9593162771647528
source_aware_guarded_v4_context,dti_band,dti_q2,15799,True,0.9687954933856573,0.967552304397857
source_aware_guarded_v4_context,dti_band,dti_q3,16014,True,0.9744598476333208,0.9750591951395623
source_aware_guarded_v4_context,dti_band,dti_q4,16180,True,0.9775030902348578,0.9813161937617636
source_aware_guarded_v4_context,dti_band,dti_q5,16436,True,0.9785835969822341,0.986635217336758
source_aware_guarded_v4_context,dti_band,nan,208,True,0.9903846153846154,0.9812153844826439
source_aware_guarded_v4_context,state_top20,AZ,2260,True,0.9743362831858408,0.9755470697154635
source_aware_guarded_v4_context,state_top20,CA,11409,True,0.9703742659304058,0.9747023495203172
source_aware_guarded_v4_context,state_top20,CO,1754,True,0.9800456100342075,0.9658058731138615
source_aware_guarded_v4_context,state_top20,FL,6078,True,0.9740046067785456,0.978022488946313
source_aware_guarded_v4_context,state_top20,GA,2636,True,0.9768588770864947,0.9760457130206719
source_aware_guarded_v4_context,state_top20,IL,2675,True,0.9633644859813084,0.9744852076629944
source_aware_guarded_v4_context,state_top20,IN,1328,True,0.9646084337349398,0.9740568602591073
source_aware_guarded_v4_context,state_top20,MA,1856,True,0.9714439655172413,0.9725852617503787
