policy_id,risk_tolerance,gamma,alpha,confidence,policy_mode,uncertainty_aversion,shortlist_bucket,n_funded,total_allocated,realized_total_return,price_of_robustness_pct,weighted_miscoverage_V,gamma_cp,violation,weighted_pd_true,weighted_pd_high,weighted_pd_point,all_bounds_hold,ab_pass_all,is_paper1_champion,source_artifact,paper4_status
paper1_economic_champion,0.175,0.45,0.01,0.99,blended_uncertainty,0.1,conservative_proxy,335,1000000.0,170464.5429284627,-10.557772959426375,0.03645,0.18591,0.0,0.03645,0.27725,0.091341,True,True,True,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.17,0.45,0.01,0.99,blended_uncertainty,0.1,incumbent_region,335,1000000.0,169389.5810115051,-10.484017592046209,0.03545,0.177578,0.0,0.03545,0.267668,0.09009,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.17,0.45,0.01,0.99,blended_uncertainty,0.05,incumbent_region,336,1000000.0,169337.1631898248,-10.492118479499933,0.03545,0.179102,0.0,0.03545,0.268506,0.089404,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.17,0.45,0.01,0.99,blended_uncertainty,0.0,forced_incumbent_neighbors,332,1000000.0,169262.37545367464,-10.4965827080401,0.04425,0.180169,0.0,0.04425,0.269093,0.088924,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,0.175,0.5,0.01,0.99,blended_uncertainty,0.05,conservative_proxy,335,1000000.0,168801.31532762162,-8.995325359539232,0.038067,0.172713,0.0,0.038067,0.261356,0.088644,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p175_g0p50_u0p00_alpha0p01_conservative_proxy_rs42,0.175,0.5,0.01,0.99,blended_uncertainty,0.0,conservative_proxy,336,1000000.0,168669.5041537059,-9.00000906329222,0.042149,0.173656,0.0,0.042149,0.261828,0.088172,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.165,0.45,0.01,0.99,blended_uncertainty,0.1,incumbent_region,337,1000000.0,168365.23091736945,-10.535167420586996,0.040431,0.17018,0.0,0.040431,0.258599,0.088419,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.165,0.45,0.01,0.99,blended_uncertainty,0.05,incumbent_region,337,1000000.0,168244.12224854622,-10.553240027711439,0.04545,0.171708,0.0,0.04545,0.259439,0.087732,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p175_g0p50_u0p10_alpha0p01_conservative_proxy_rs42,0.175,0.5,0.01,0.99,blended_uncertainty,0.1,conservative_proxy,338,1000000.0,168128.1097153701,-8.98427284549303,0.03545,0.171845,0.0,0.03545,0.260922,0.089078,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.165,0.5,0.01,0.99,blended_uncertainty,0.1,incumbent_region,343,1000000.0,167692.389704731,-9.00921229353414,0.03905,0.157538,0.0,0.03905,0.243769,0.086231,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe
