page,rendered_in_quarto,role,target_surface,archive_reason,path,path_exists
19a-proposal-and-scope.qmd,True,official_curated,quarto_official_chapter,,book/chapters/19-paper-mega-extension/19a-proposal-and-scope.qmd,True
19aa-v3-full-exact-and-ifrs9-realistic.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19aa-v3-full-exact-and-ifrs9-realistic.qmd,True
19ab-v3-online-cvar-governance.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19ab-v3-online-cvar-governance.qmd,True
19ac-v3-causal-fairness-multiperiod.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19ac-v3-causal-fairness-multiperiod.qmd,True
19ad-v4-challenger-online-mdcp.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19ad-v4-challenger-online-mdcp.qmd,True
19ae-v4-ifrs9-cvar-selector.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19ae-v4-ifrs9-cvar-selector.qmd,True
19af-v4-sdam-causal-fairness-regret.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19af-v4-sdam-causal-fairness-regret.qmd,True
19ag-v4-sample-paths-working-champion.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19ag-v4-sample-paths-working-champion.qmd,True
19ah-v5-online-ifrs9-sicr.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19ah-v5-online-ifrs9-sicr.qmd,True
19ai-v5-tail-mdcp-selector-sdam.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19ai-v5-tail-mdcp-selector-sdam.qmd,True
19aj-v5-causal-fairness-paths-hybrids.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19aj-v5-causal-fairness-paths-hybrids.qmd,True
19ak-v6-online-ifrs9-efficient.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19ak-v6-online-ifrs9-efficient.qmd,True
19al-v6-solvers-dla-sample-paths.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19al-v6-solvers-dla-sample-paths.qmd,True
19am-v6-causal-fairness-hybrids.qmd,False,historical_archive,living_lab_notebook_reference,"implementation wave, roadmap, blocker, or intermediate result moved out of main render",book/chapters/19-paper-mega-extension/19am-v6-causal-fairness-hybrids.qmd,True
