period,method,mean_regret,std_regret,coverage_90,min_grade_coverage_90,formal_conformal_guarantee,auditability_score,status
2018H1,two_stage,0.14996305118766032,0.003330794527969035,,,False,0.15,current_comparator
2018H1,spo_plus,0.08738833400318981,0.003713797083301926,,,False,0.3,current_comparator
2018H1,crpto_conformal_robust,0.3325640573383134,0.005809337331172574,0.920659695594511,0.9087832756805535,True,1.0,current_comparator
2018H2,two_stage,0.16211159645048612,0.007958586599002266,,,False,0.15,current_comparator
2018H2,spo_plus,0.07993888749391773,0.005881733928392261,,,False,0.3,current_comparator
2018H2,crpto_conformal_robust,0.44112715440736794,0.0125639362714247,0.9206963249516441,0.8730385164051355,True,0.8,current_comparator
2019H1,two_stage,0.15870570656785277,0.005540636003301866,,,False,0.15,current_comparator
2019H1,spo_plus,0.08154962910222821,0.005295829559047252,,,False,0.3,current_comparator
2019H1,crpto_conformal_robust,0.4883260064521163,0.021498368597241326,0.9241317544034232,0.8125,True,0.8,current_comparator
2019H2,two_stage,0.1722783261423319,0.008026414327296207,,,False,0.15,current_comparator
2019H2,spo_plus,0.08183772040720214,0.007772229752520999,,,False,0.3,current_comparator
2019H2,crpto_conformal_robust,0.5394262228178559,0.009454155761216004,0.9523052464228935,0.9281480410582622,True,1.0,current_comparator
2020,two_stage,0.17516053411120083,0.00734173389583781,,,False,0.15,current_comparator
2020,spo_plus,0.07433421491761691,0.003568827592148434,,,False,0.3,current_comparator
2020,crpto_conformal_robust,0.6207936510344735,0.01490839207164672,0.9857676154923005,0.9700598802395209,True,1.0,current_comparator
planned,spo_plus_conformal_hybrid,,,,,True,,planned_experiment
