online_floor,mdcp_floor,fairness_gap,n_pass,best_pass_policy_id
0.75,0.75,0.3,100,paper4_v4_local_rt0p1775_g0p500_u0p100
0.75,0.75,0.35,100,paper4_v4_local_rt0p1775_g0p500_u0p100
0.75,0.75,0.4,100,paper4_v4_local_rt0p1775_g0p500_u0p100
0.75,0.8,0.3,44,paper4_v4_local_rt0p1725_g0p475_u0p075
0.75,0.8,0.35,44,paper4_v4_local_rt0p1725_g0p475_u0p075
0.75,0.8,0.4,44,paper4_v4_local_rt0p1725_g0p475_u0p075
0.75,0.85,0.3,0,
0.75,0.85,0.35,0,
0.75,0.85,0.4,0,
0.75,0.9,0.3,0,
0.75,0.9,0.35,0,
0.75,0.9,0.4,0,
0.8,0.75,0.3,100,paper4_v4_local_rt0p1775_g0p500_u0p100
0.8,0.75,0.35,100,paper4_v4_local_rt0p1775_g0p500_u0p100
0.8,0.75,0.4,100,paper4_v4_local_rt0p1775_g0p500_u0p100
0.8,0.8,0.3,44,paper4_v4_local_rt0p1725_g0p475_u0p075
0.8,0.8,0.35,44,paper4_v4_local_rt0p1725_g0p475_u0p075
0.8,0.8,0.4,44,paper4_v4_local_rt0p1725_g0p475_u0p075
0.8,0.85,0.3,0,
0.8,0.85,0.35,0,
0.8,0.85,0.4,0,
0.8,0.9,0.3,0,
0.8,0.9,0.35,0,
0.8,0.9,0.4,0,
0.85,0.75,0.3,100,paper4_v4_local_rt0p1775_g0p500_u0p100
0.85,0.75,0.35,100,paper4_v4_local_rt0p1775_g0p500_u0p100
0.85,0.75,0.4,100,paper4_v4_local_rt0p1775_g0p500_u0p100
0.85,0.8,0.3,44,paper4_v4_local_rt0p1725_g0p475_u0p075
0.85,0.8,0.35,44,paper4_v4_local_rt0p1725_g0p475_u0p075
0.85,0.8,0.4,44,paper4_v4_local_rt0p1725_g0p475_u0p075
0.85,0.85,0.3,0,
0.85,0.85,0.35,0,
0.85,0.85,0.4,0,
0.85,0.9,0.3,0,
0.85,0.9,0.35,0,
0.85,0.9,0.4,0,
0.9,0.75,0.3,81,paper4_v4_local_rt0p1775_g0p500_u0p100
0.9,0.75,0.35,81,paper4_v4_local_rt0p1775_g0p500_u0p100
0.9,0.75,0.4,81,paper4_v4_local_rt0p1775_g0p500_u0p100
0.9,0.8,0.3,34,paper4_v4_local_rt0p1725_g0p475_u0p075
0.9,0.8,0.35,34,paper4_v4_local_rt0p1725_g0p475_u0p075
0.9,0.8,0.4,34,paper4_v4_local_rt0p1725_g0p475_u0p075
0.9,0.85,0.3,0,
0.9,0.85,0.35,0,
0.9,0.85,0.4,0,
0.9,0.9,0.3,0,
0.9,0.9,0.35,0,
0.9,0.9,0.4,0,
