policy_id,source_family,source_value,n_funded,funded_exposure,coverage_alpha01,ecl_baseline_lgd45
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,B,4,15000.0,1.0,1151.2173741285014
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,C,147,420250.0,0.9455782312925171,34521.40289782153
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,D,120,344425.0,0.925,32823.06637216161
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,E,54,101000.0,0.962962962962963,19748.826743714897
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,F,12,12700.0,0.9166666666666666,3904.2513479417407
crpto_rt0p155_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,G,3,3000.0,1.0,1017.5257469884185
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,B,4,15000.0,1.0,1151.2173741285014
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,C,144,415100.0,0.9444444444444444,34112.77770097267
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,D,125,352125.0,0.928,35133.68440204132
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,E,50,95300.0,0.96,17861.724869049092
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,F,11,11900.0,0.7272727272727273,3589.3299422725568
crpto_rt0p155_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,G,5,5000.0,1.0,1689.1487590854404
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,B,5,16500.0,1.0,1220.8138309770902
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,C,152,433550.0,0.9473684210526316,35409.52420685456
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,D,127,355550.0,0.9291338582677166,36188.77421186433
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,E,39,84225.0,0.9743589743589743,14711.896692447903
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,F,14,19000.0,0.8571428571428572,5726.171279757349
crpto_rt0p155_g0p45_u0p10_alpha0p01_incumbent_region_rs42,grade,G,5,5000.0,0.8,1705.7643024773956
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,B,4,15000.0,1.0,1151.2173741285014
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,C,169,526750.0,0.9526627218934911,43289.60395754355
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,D,112,321200.0,0.9285714285714286,30617.72624522551
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,E,39,79200.0,0.9743589743589743,13212.039658094303
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,F,10,12000.0,0.7,3710.7022018556067
crpto_rt0p155_g0p50_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,G,7,7000.0,1.0,2386.3743141534437
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,B,5,16500.0,1.0,1220.8138309770902
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,C,166,518150.0,0.9518072289156626,42429.53999132416
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,D,119,342150.0,0.9327731092436975,35511.49348254978
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,E,40,75450.0,1.0,11770.767745069094
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,F,7,8000.0,0.7142857142857143,2304.846339535929
crpto_rt0p155_g0p50_u0p05_alpha0p01_incumbent_region_rs42,grade,G,6,6000.0,0.8333333333333334,2034.5360657611566
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,B,5,16500.0,1.0,1220.8138309770902
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,C,163,505925.0,0.9570552147239264,41172.46469002684
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,D,127,362225.0,0.9212598425196851,38433.52055871459
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,E,38,80650.0,1.0,13284.381287175933
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,F,8,8500.0,0.75,2401.646902823017
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,grade,G,2,2000.0,1.0,656.6603216610063
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,B,5,16500.0,1.0,1220.8138309770902
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,C,176,540475.0,0.9488636363636364,44056.20554369838
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,D,114,332525.0,0.9298245614035088,31653.198437187402
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,E,31,59500.0,0.967741935483871,9560.887016270408
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,F,10,10200.0,0.8,3204.5668525984697
crpto_rt0p155_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,G,3,3000.0,1.0,1008.5186587313428
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,B,5,16500.0,1.0,1220.8138309770902
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,C,187,555300.0,0.9518716577540107,45282.57406701917
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,D,103,296925.0,0.941747572815534,28038.92095519901
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,E,39,69300.0,0.9743589743589743,12297.96009757653
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,F,7,9000.0,0.7142857142857143,2687.879254623168
crpto_rt0p155_g0p55_u0p05_alpha0p01_incumbent_region_rs42,grade,G,1,1000.0,1.0,332.2785976671428
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,B,6,17500.0,1.0,1267.2114688761494
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,C,180,550000.0,0.95,44871.48044769675
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,D,114,319125.0,0.9210526315789473,31602.62126900789
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,E,32,59000.0,1.0,9028.45648195942
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,F,10,10500.0,0.8,3009.4886359385714
crpto_rt0p155_g0p55_u0p10_alpha0p01_incumbent_region_rs42,grade,G,2,2000.0,1.0,656.6603216610063
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,B,3,12000.0,1.0,976.2591929109874
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,C,136,396400.0,0.9411764705882353,32594.27918427149
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,D,123,349825.0,0.926829268292683,34518.33355814198
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,E,52,92650.0,0.9807692307692307,17542.63015094044
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,F,17,19275.0,0.7647058823529411,6144.886853966896
crpto_rt0p160_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,grade,G,8,8550.0,0.75,2929.886396308219
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,B,4,15000.0,1.0,1151.2173741285014
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,C,136,396400.0,0.9411764705882353,32594.27918427149
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,D,129,364475.0,0.9224806201550387,38716.11481913907
crpto_rt0p160_g0p45_u0p05_alpha0p01_incumbent_region_rs42,grade,E,51,94900.0,0.9803921568627451,17968.008022810463
