policy_id,risk_tolerance,gamma,alpha,confidence,policy_mode,uncertainty_aversion,shortlist_bucket,n_funded_declared,total_allocated,realized_total_return,price_of_robustness_pct,weighted_miscoverage_V,gamma_cp,violation,weighted_pd_true,weighted_pd_high,weighted_pd_point,all_bounds_hold,ab_pass_all,is_paper1_champion,source_artifact,paper4_status,scenario,n_funded_reconstructed,funded_exposure,realized_return_proxy_lgd45,ecl,provision,mean_pd_scenario,weighted_pd_scenario,stage2_or_3_share,observed_default_rate,net_return_after_ecl_full,status,satisficing_pass_rate,min_satisficing_margin,mean_loss_rate,cvar_95_loss_rate_full,max_loan_loss_amount,score_return,score_net_ecl,score_ecl,score_tail,score_satisficing,score_auditability,diagnostic_selector_score,hard_gate_pass,diagnostic_selector_rank,diagnostic_decision
crpto_rt0p160_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.16,0.55,0.01,0.99,blended_uncertainty,0.05,incumbent_region,343,1000000.0,164273.35080211036,-8.028853465888645,0.041975,0.140719,0.0,0.041975,0.223324,0.082604,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,343,973625.0,156561.93,94225.01283093481,94225.01283093481,0.2516986069770416,0.21506115537509546,1.0,0.052478134110787174,62336.917169065186,diagnostic_selector_no_promotion,0.8,-1996.47151715972,0.015656695339581462,0.44999999999999996,1361.25,0.3473709882091054,0.9033147828550897,0.8749481010815603,1.0,0.8,0.6043526815971496,0.7357672601766744,True,1,promote_candidate_for_future_run
crpto_rt0p170_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.17,0.55,0.01,0.99,blended_uncertainty,0.1,incumbent_region,342,1000000.0,167069.47757462133,-7.542091912347866,0.03905,0.1533,0.0,0.03905,0.238985,0.085685,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,342,921125.0,151328.01,97331.621583814,97331.621583814,0.2702919539105435,0.23481339927640174,1.0,0.06140350877192982,53996.388416186004,diagnostic_selector_no_promotion,1.0,-0.0,0.01801465599131497,0.4499999999999999,1361.25,0.6421176888677118,0.587662732066827,0.7859391272033345,1.0,1.0,0.5685558837153953,0.7222777429288489,True,2,promote_candidate_for_future_run
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.165,0.5,0.01,0.99,blended_uncertainty,0.1,incumbent_region,343,1000000.0,167692.389704731,-9.00921229353414,0.03905,0.157538,0.0,0.03905,0.243769,0.086231,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,343,917475.0,151285.9975,98250.51508055994,98250.51508055994,0.280223335860043,0.23797321775176425,1.0,0.061224489795918366,53035.48241944006,diagnostic_selector_no_promotion,1.0,-0.0,0.018086323878034823,0.4499999999999999,1361.25,0.7077804109427823,0.5512966985125523,0.7596114581098486,1.0,1.0,0.5293405603138961,0.7212293141318357,True,3,promote_candidate_for_future_run
crpto_rt0p155_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.155,0.5,0.01,0.99,blended_uncertainty,0.1,incumbent_region,343,1000000.0,164689.02196237698,-9.760069067479478,0.042926,0.143365,0.0,0.042926,0.226683,0.083317,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,343,975800.0,158332.48,97169.48759137848,97169.48759137848,0.25386721100835125,0.22128734848074166,1.0,0.05539358600583091,61162.99240862153,diagnostic_selector_no_promotion,0.8,-1580.8003568931017,0.01561026849764296,0.44999999999999996,1575.0,0.39118792249549245,0.8588869331246702,0.790584507888653,1.0,0.8,0.5536572064727622,0.7198872319974157,True,4,promote_candidate_for_future_run
crpto_rt0p175_g0p55_u0p10_alpha0p01_conservative_proxy_rs42,0.175,0.55,0.01,0.99,blended_uncertainty,0.1,conservative_proxy,345,1000000.0,166269.82231927008,-7.585036793039396,0.030034,0.159714,0.0,0.030034,0.246871,0.087157,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,345,929700.0,155639.47,100938.42121270776,100938.42121270776,0.27827837631589936,0.24126879928461453,1.0,0.05507246376811594,54701.04878729224,diagnostic_selector_no_promotion,1.0,0.0,0.016880445304937076,0.44999999999999996,1361.25,0.5578240329089599,0.6143310042878319,0.6825989387567971,1.0,1.0,0.7577033404275009,0.7177855374320193,True,5,promote_candidate_for_future_run
crpto_rt0p160_g0p55_u0p10_alpha0p01_incumbent_region_rs42,0.16,0.55,0.01,0.99,blended_uncertainty,0.1,incumbent_region,344,1000000.0,162351.17715355012,-8.015977935424146,0.041975,0.139696,0.0,0.041975,0.222863,0.083167,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,344,985225.0,159937.31,95045.66260959872,95045.66260959872,0.24503722502364755,0.21438004879787464,1.0,0.05232558139534884,64891.64739040128,diagnostic_selector_no_promotion,0.8,-3918.645165719965,0.014787231343094218,0.44999999999999996,1361.25,0.14474986724423813,1.0,0.8514352610290209,1.0,0.8,0.6138187683927454,0.7127128697532362,True,6,keep
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.165,0.45,0.01,0.99,blended_uncertainty,0.1,incumbent_region,337,1000000.0,168365.23091736945,-10.535167420586996,0.040431,0.17018,0.0,0.040431,0.258599,0.088419,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,337,888675.0,152725.515,100404.24944349844,100404.24944349844,0.3022010767574708,0.2510710375771631,1.0,0.05637982195845697,52321.265556501574,diagnostic_selector_no_promotion,1.0,-0.0,0.015634230736771036,0.44999999999999996,1361.25,0.7787062822022698,0.5242667554269573,0.6979037565932796,1.0,1.0,0.3742978736314568,0.7091767602011283,True,7,keep
crpto_rt0p170_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.17,0.55,0.01,0.99,blended_uncertainty,0.05,incumbent_region,340,1000000.0,166969.46159398026,-7.556090578185354,0.042975,0.154754,0.0,0.042975,0.239639,0.084885,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,340,911150.0,149076.425,95587.40429795219,95587.40429795219,0.2729721495687606,0.23313005980952567,1.0,0.052941176470588235,53489.0207020478,diagnostic_selector_no_promotion,1.0,-0.0,0.017964934423530702,0.44999999999999996,1575.0,0.6315747547644,0.5684611125752338,0.8359135537194955,1.0,1.0,0.44692127617562794,0.7067155054531824,True,8,keep
crpto_rt0p165_g0p55_u0p05_alpha0p01_incumbent_region_rs42,0.165,0.55,0.01,0.99,blended_uncertainty,0.05,incumbent_region,343,1000000.0,165547.8905382124,-7.677837147956425,0.042975,0.147556,0.0,0.042975,0.2314,0.083844,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,343,922350.0,151054.22,93607.91904858642,93607.91904858642,0.2682940140698736,0.22553000258659683,1.0,0.052478134110787174,57446.30095141358,diagnostic_selector_no_promotion,0.8,-721.9317810576758,0.0165270775735892,0.44999999999999996,1361.25,0.48172340232980504,0.7182266326359368,0.8926287582620169,1.0,0.8,0.5135262544304628,0.7065143416424802,True,9,keep
crpto_rt0p160_g0p55_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.16,0.55,0.01,0.99,blended_uncertainty,0.0,forced_incumbent_neighbors,340,1000000.0,163847.98926196393,-8.037690915078946,0.041975,0.141562,0.0,0.041975,0.223703,0.082141,True,True,False,data/processed/portfolio_bound_aware/rank1_alpha01_bound_aware_276k_full_2026-04-05-1734/portfolio_bound_aware_bound_eval.parquet,frozen_policy_universe,baseline,340,944425.0,151529.88,91428.58804603512,91428.58804603512,0.2515177429760853,0.2151305186778201,1.0,0.052941176470588235,60101.29195396489,diagnostic_selector_no_promotion,0.8,-2421.833057306154,0.015783413187918576,0.44999999999999996,1361.25,0.3025325667978197,0.8187062760266999,0.9550698416775956,1.0,0.8,0.596552181921014,0.7064072268673257,True,10,keep
