policy_id,scenario,alpha_proxy,ecl,provision,stage2_share,adverse_cost,n_funded,source_artifact,status
paper1_economic_champion,baseline,0.1,68542.3487183883,68542.3487183883,0.31719332969743813,0.0,335,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
paper1_economic_champion,adverse,0.1,85677.93589798537,85677.93589798537,0.31719332969743813,17135.587179597074,335,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
paper1_economic_champion,severe,0.1,109667.75794942128,109667.75794942128,0.31719332969743813,41125.40923103299,335,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,baseline,0.1,68542.3487183883,68542.3487183883,0.31719332969743813,0.0,335,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,adverse,0.1,85677.93589798537,85677.93589798537,0.31719332969743813,17135.587179597074,335,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,severe,0.1,109667.75794942128,109667.75794942128,0.31719332969743813,41125.40923103299,335,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,baseline,0.1,68746.95274441334,68746.95274441334,0.31719332969743813,0.0,336,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,adverse,0.1,85933.69093051668,85933.69093051668,0.31719332969743813,17186.738186103335,336,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,severe,0.1,109995.12439106136,109995.12439106136,0.31719332969743813,41248.171646648014,336,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,baseline,0.1,67928.53664031318,67928.53664031318,0.31719332969743813,0.0,332,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,adverse,0.1,84910.67080039147,84910.67080039147,0.31719332969743813,16982.13416007829,332,data/processed/ecl_alpha_sensitivity.parquet,diagnostic_scaled_proxy_not_policy_level_ifrs9
