policy_id,risk_tolerance,gamma,uncertainty_aversion,shortlist_bucket,n_funded,robust_return,ecl,provision,net_return_after_ecl,robust_return_rank,net_return_rank,ranking_delta,stage2_share,is_paper1_champion,status
paper1_economic_champion,0.175,0.45,0.1,conservative_proxy,335,170464.5429284627,68542.3487183883,68542.3487183883,101922.1942100744,1,1,0,0.31719332969743813,True,diagnostic_scaled_proxy
crpto_rt0p170_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.17,0.45,0.1,incumbent_region,335,169389.5810115051,68542.3487183883,68542.3487183883,100847.2322931168,2,3,1,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p170_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.17,0.45,0.05,incumbent_region,336,169337.1631898248,68746.95274441334,68746.95274441334,100590.21044541145,3,4,1,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p170_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.17,0.45,0.0,forced_incumbent_neighbors,332,169262.37545367464,67928.53664031318,67928.53664031318,101333.83881336146,4,2,-2,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p175_g0p50_u0p05_alpha0p01_conservative_proxy_rs42,0.175,0.5,0.05,conservative_proxy,335,168801.31532762162,68542.3487183883,68542.3487183883,100258.96660923332,5,5,0,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p175_g0p50_u0p00_alpha0p01_conservative_proxy_rs42,0.175,0.5,0.0,conservative_proxy,336,168669.5041537059,68746.95274441334,68746.95274441334,99922.55140929256,6,6,0,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p165_g0p45_u0p10_alpha0p01_incumbent_region_rs42,0.165,0.45,0.1,incumbent_region,337,168365.23091736945,68951.55677043839,68951.55677043839,99413.67414693107,7,8,1,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p165_g0p45_u0p05_alpha0p01_incumbent_region_rs42,0.165,0.45,0.05,incumbent_region,337,168244.12224854622,68951.55677043839,68951.55677043839,99292.56547810783,8,9,1,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p175_g0p50_u0p10_alpha0p01_conservative_proxy_rs42,0.175,0.5,0.1,conservative_proxy,338,168128.1097153701,69156.16079646343,69156.16079646343,98971.94891890668,9,10,1,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p165_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.165,0.5,0.1,incumbent_region,343,167692.389704731,70179.18092658863,70179.18092658863,97513.20877814238,10,13,3,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p165_g0p45_u0p00_alpha0p01_forced_incumbent_neighbors_rs42,0.165,0.45,0.0,forced_incumbent_neighbors,331,167494.8582103625,67723.93261428815,67723.93261428815,99770.92559607435,11,7,-4,0.31719332969743813,False,diagnostic_scaled_proxy
crpto_rt0p170_g0p50_u0p10_alpha0p01_incumbent_region_rs42,0.17,0.5,0.1,incumbent_region,344,167226.8353415202,70383.78495261366,70383.78495261366,96843.05038890654,12,23,11,0.31719332969743813,False,diagnostic_scaled_proxy
