policy_id,scenario,pd_multiplier,lgd,portfolio_loss,cvar_excess_u,floor_v10,tested_cvar_cap_v10
v10_cvar_decomp_floor80000_r1_i1_cap225000,baseline_mid,1.0,0.45,71666.96948002631,0.0,80000.0,225000.0
v10_cvar_decomp_floor80000_r1_i1_cap225000,baseline_high,1.12,0.48,85618.13953880475,0.0,80000.0,225000.0
v10_cvar_decomp_floor80000_r1_i1_cap225000,adverse_mid,1.4,0.55,122441.33080619115,0.0,80000.0,225000.0
v10_cvar_decomp_floor80000_r1_i1_cap225000,adverse_high,1.65,0.58,147756.7168742983,0.0,80000.0,225000.0
v10_cvar_decomp_floor80000_r1_i1_cap225000,severe_mid,1.9,0.65,185331.03896103872,0.0,80000.0,225000.0
v10_cvar_decomp_floor80000_r1_i1_cap225000,severe_high,2.2,0.7,224999.99999999974,0.0,80000.0,225000.0
v10_cvar_decomp_floor80000_r1_i2_cap157500,baseline_mid,1.0,0.45,47680.44657796771,0.0,80000.0,157500.0
v10_cvar_decomp_floor80000_r1_i2_cap157500,baseline_high,1.12,0.48,56962.240178478794,0.0,80000.0,157500.0
v10_cvar_decomp_floor80000_r1_i2_cap157500,adverse_mid,1.4,0.55,81540.74044672804,0.0,80000.0,157500.0
v10_cvar_decomp_floor80000_r1_i2_cap157500,adverse_high,1.65,0.58,100032.82207571753,0.0,80000.0,157500.0
v10_cvar_decomp_floor80000_r1_i2_cap157500,severe_mid,1.9,0.65,127636.36363636368,0.0,80000.0,157500.0
v10_cvar_decomp_floor80000_r1_i2_cap157500,severe_high,2.2,0.7,157500.00000000006,0.0,80000.0,157500.0
v10_cvar_decomp_floor80000_r1_i3_cap123750,baseline_mid,1.0,0.45,36376.33803157608,0.0,80000.0,123750.0
v10_cvar_decomp_floor80000_r1_i3_cap123750,baseline_high,1.12,0.48,43457.59850172288,0.0,80000.0,123750.0
v10_cvar_decomp_floor80000_r1_i3_cap123750,adverse_mid,1.4,0.55,62242.445492436585,0.0,80000.0,123750.0
v10_cvar_decomp_floor80000_r1_i3_cap123750,adverse_high,1.65,0.58,77191.78571428568,0.0,80000.0,123750.0
v10_cvar_decomp_floor80000_r1_i3_cap123750,severe_mid,1.9,0.65,99418.3441558441,0.0,80000.0,123750.0
v10_cvar_decomp_floor80000_r1_i3_cap123750,severe_high,2.2,0.7,123749.99999999994,0.0,80000.0,123750.0
v10_cvar_decomp_floor80000_r1_i4_cap106875,baseline_mid,1.0,0.45,31229.707792207788,0.0,80000.0,106875.0
v10_cvar_decomp_floor80000_r1_i4_cap106875,baseline_high,1.12,0.48,37309.09090909091,0.0,80000.0,106875.0
v10_cvar_decomp_floor80000_r1_i4_cap106875,adverse_mid,1.4,0.55,53437.499999999985,0.0,80000.0,106875.0
v10_cvar_decomp_floor80000_r1_i4_cap106875,adverse_high,1.65,0.58,66415.17857142858,0.0,80000.0,106875.0
v10_cvar_decomp_floor80000_r1_i4_cap106875,severe_mid,1.9,0.65,85708.19805194804,0.0,80000.0,106875.0
v10_cvar_decomp_floor80000_r1_i4_cap106875,severe_high,2.2,0.7,106874.99999999997,0.0,80000.0,106875.0
v10_cvar_decomp_floor80000_r2_i1_cap300000,baseline_mid,1.0,0.45,78750.00000007874,0.0,80000.0,300000.0
