left_out_policy_id,min_support,policy_month_defended_min,source_month_defended_min,avg_width_loan,policy_month_cells,source_month_cells,defended_policy_month_cells,defended_source_month_cells
paper4_v4_local_rt0p1700_g0p400_u0p000,5,0.9,0.8,0.9342013584252006,3188,65147,2305,13717
paper4_v4_local_rt0p1700_g0p400_u0p025,5,0.9,0.8,0.9342013584252006,3188,65147,2305,13717
paper4_v4_local_rt0p1700_g0p400_u0p050,5,0.9,0.8,0.9342013584252006,3188,65147,2305,13717
paper4_v4_local_rt0p1700_g0p400_u0p075,5,0.9,0.8,0.9342013584252006,3188,65147,2305,13717
paper4_v4_local_rt0p1700_g0p400_u0p100,5,0.9,0.8,0.9342013584252006,3188,65147,2305,13717
paper4_v4_local_rt0p1700_g0p425_u0p000,5,0.9,0.8,0.9342505922119414,3188,65130,2305,13723
paper4_v4_local_rt0p1700_g0p425_u0p025,5,0.9,0.8,0.9342479436224943,3188,65130,2305,13723
paper4_v4_local_rt0p1700_g0p425_u0p050,5,0.9,0.8,0.934245381703036,3188,65131,2305,13719
paper4_v4_local_rt0p1700_g0p425_u0p075,5,0.9,0.8,0.9342457235160485,3188,65129,2305,13721
paper4_v4_local_rt0p1700_g0p425_u0p100,5,0.9,0.8,0.9342405844740622,3188,65131,2305,13719
paper4_v4_local_rt0p1700_g0p450_u0p000,5,0.9,0.8,0.9342765118549865,3188,65132,2305,13715
paper4_v4_local_rt0p1700_g0p450_u0p025,5,0.9,0.8,0.9342713256696591,3188,65133,2305,13716
paper4_v4_local_rt0p1700_g0p450_u0p050,5,0.9,0.8,0.9342646298784297,3188,65130,2305,13717
paper4_v4_local_rt0p1700_g0p450_u0p075,5,0.9,0.8,0.9342589342571814,3188,65129,2305,13716
paper4_v4_local_rt0p1700_g0p450_u0p100,5,0.9,0.8,0.9342594368344308,3188,65131,2305,13716
paper4_v4_local_rt0p1700_g0p475_u0p000,5,0.9,0.8,0.9342851608823899,3188,65131,2305,13712
paper4_v4_local_rt0p1700_g0p475_u0p025,5,0.9,0.8,0.9342824576491484,3188,65128,2305,13713
paper4_v4_local_rt0p1700_g0p475_u0p050,5,0.9,0.8,0.9342823337330582,3188,65129,2305,13715
paper4_v4_local_rt0p1700_g0p475_u0p075,5,0.9,0.8,0.9342783434589498,3188,65128,2305,13714
paper4_v4_local_rt0p1700_g0p475_u0p100,5,0.9,0.8,0.9342795319647086,3188,65128,2304,13712
paper4_v4_local_rt0p1700_g0p500_u0p000,5,0.9,0.8,0.9342893287259508,3188,65127,2305,13712
paper4_v4_local_rt0p1700_g0p500_u0p025,5,0.9,0.8,0.9342901292271482,3188,65128,2305,13713
paper4_v4_local_rt0p1700_g0p500_u0p050,5,0.9,0.8,0.934283631527126,3188,65125,2305,13711
paper4_v4_local_rt0p1700_g0p500_u0p075,5,0.9,0.8,0.9342872585648854,3188,65125,2305,13711
paper4_v4_local_rt0p1700_g0p500_u0p100,5,0.9,0.8,0.9342953805246911,3188,65123,2304,13706
paper4_v4_local_rt0p1725_g0p400_u0p000,5,0.9,0.8,0.9342185850419149,3187,65136,2304,13708
paper4_v4_local_rt0p1725_g0p400_u0p025,5,0.9,0.8,0.9342185850419149,3187,65136,2304,13708
paper4_v4_local_rt0p1725_g0p400_u0p050,5,0.9,0.8,0.9342185850419149,3187,65136,2304,13708
paper4_v4_local_rt0p1725_g0p400_u0p075,5,0.9,0.8,0.9342185850419149,3187,65136,2304,13708
paper4_v4_local_rt0p1725_g0p400_u0p100,5,0.9,0.8,0.9342185850419149,3187,65136,2304,13708
paper4_v4_local_rt0p1725_g0p425_u0p000,5,0.9,0.8,0.9342321662552012,3188,65132,2305,13720
paper4_v4_local_rt0p1725_g0p425_u0p025,5,0.9,0.8,0.9342321662552012,3188,65132,2305,13720
paper4_v4_local_rt0p1725_g0p425_u0p050,5,0.9,0.8,0.9342321662552012,3188,65132,2305,13720
paper4_v4_local_rt0p1725_g0p425_u0p075,5,0.9,0.8,0.9342321662552012,3188,65132,2305,13720
paper4_v4_local_rt0p1725_g0p425_u0p100,5,0.9,0.8,0.9342321662552012,3188,65132,2305,13720
paper4_v4_local_rt0p1725_g0p450_u0p000,5,0.9,0.8,0.9342587787069806,3188,65129,2305,13722
paper4_v4_local_rt0p1725_g0p450_u0p025,5,0.9,0.8,0.93425851335191,3188,65132,2305,13719
paper4_v4_local_rt0p1725_g0p450_u0p050,5,0.9,0.8,0.9342490606615531,3188,65130,2305,13720
paper4_v4_local_rt0p1725_g0p450_u0p075,5,0.9,0.8,0.9342504476525806,3188,65129,2305,13719
paper4_v4_local_rt0p1725_g0p450_u0p100,5,0.9,0.8,0.9342456512418865,3188,65130,2305,13717
paper4_v4_local_rt0p1725_g0p475_u0p000,5,0.9,0.8,0.9342821892426404,3188,65133,2305,13713
paper4_v4_local_rt0p1725_g0p475_u0p025,5,0.9,0.8,0.9342735429704799,3188,65129,2305,13715
paper4_v4_local_rt0p1725_g0p475_u0p050,5,0.9,0.8,0.9342734201231306,3188,65130,2305,13717
paper4_v4_local_rt0p1725_g0p475_u0p075,5,0.9,0.8,0.9342694299397085,3188,65129,2305,13716
paper4_v4_local_rt0p1725_g0p475_u0p100,5,0.9,0.8,0.9342689609847198,3188,65131,2305,13714
paper4_v4_local_rt0p1725_g0p500_u0p000,5,0.9,0.8,0.9342884016499245,3188,65126,2305,13711
