bootstrap_id,min_support,policy_month_defended_min,source_month_defended_min,avg_width_loan,policy_month_cells,source_month_cells,defended_policy_month_cells,defended_source_month_cells
0,5,0.9,0.8,0.940957083975668,2000,42280,1428,9662
1,5,0.9,0.8,0.9185007129735536,2320,46692,1628,9267
2,5,0.9,0.8,0.931363901560348,2020,37937,1318,7885
3,5,0.9,0.8,0.9427936332627042,1820,31480,1110,5742
4,5,0.9230769230769231,0.8,0.9364561082802526,2000,37840,1328,7436
5,5,0.9,0.8,0.9392796494786935,2100,39267,1228,8041
6,5,0.9285714285714286,0.8,0.9443879790154174,2120,47158,1710,10755
7,5,0.9230769230769231,0.8,0.9402774819806988,2020,40916,1418,9375
8,5,0.9,0.8,0.941694083731993,2100,44015,1518,9314
9,5,0.9,0.8,0.9242406301016428,1800,39411,1310,7941
10,5,0.9,0.8,0.9189132431680275,1920,39877,1328,7347
11,5,0.9230769230769231,0.8,0.9265600900076242,2000,40213,1428,8418
12,5,0.9,0.8,0.9302098919168124,2200,46835,1528,9713
13,5,0.9,0.8,0.9368478518440095,1900,35879,1228,6828
14,5,0.9285714285714286,0.8,0.9356875449060308,2100,45114,1518,10761
15,5,0.9,0.8,0.9276985251377661,1820,34523,1310,5865
16,5,0.9,0.8,0.9323964213470063,1920,40231,1428,8559
17,5,0.9,0.8,0.9394100793929918,2120,43078,1528,8832
18,5,0.9,0.8,0.94747184082738,1900,34898,1210,6634
19,5,0.9,0.8,0.9310948198170493,2200,45983,1610,9610
20,5,0.9,0.8,0.9319573006182945,1920,44561,1710,10720
21,5,0.9,0.8,0.9323095417320606,2120,44307,1518,9546
22,5,0.9,0.8,0.947133181184264,2120,40799,1428,7927
23,5,0.9,0.8,0.9349623143614529,2120,42878,1528,8005
24,5,0.9230769230769231,0.8,0.9372885379386096,2320,49753,1818,10869
25,5,0.9,0.8,0.9261244557235618,2220,47749,1628,9499
26,5,0.9,0.8,0.9315560308255073,2020,43521,1610,9453
27,5,0.9,0.8,0.927412395225706,2020,39375,1428,6625
28,5,0.9,0.8,0.9377493735282106,1820,38105,1228,8590
29,5,0.9,0.8,0.933484102824731,1920,37105,1228,6057
30,5,0.9,0.8,0.9433316213652796,1820,39449,1500,8719
31,5,0.9,0.8,0.9353018814853913,1920,36218,1210,6204
32,5,0.9,0.8,0.9344682089546811,1800,39842,1500,9463
33,5,0.9285714285714286,0.8,0.9324113992794536,1920,40688,1310,8740
34,5,0.9,0.8,0.9322257563358568,1820,32768,1128,5191
35,5,0.9,0.8,0.9344665715125425,1900,41263,1600,9190
36,5,0.9230769230769231,0.8,0.9454370795225827,2020,40163,1418,8332
37,5,0.9,0.8,0.9362171571001858,1820,35787,1118,7067
38,5,0.9,0.8,0.9395278124404285,1920,40117,1410,7982
39,5,0.9,0.8,0.941195146106629,1900,42315,1428,9519
40,5,0.9285714285714286,0.8,0.9368549679671779,1900,37044,1228,7561
41,5,0.9,0.8,0.9219399917237657,2300,50800,1928,10951
42,5,0.9285714285714286,0.8,0.9300075870351069,2120,41705,1328,7853
43,5,0.9230769230769231,0.8,0.9347655417658766,2200,45369,1510,9489
44,5,0.9285714285714286,0.8,0.9347703448302301,1920,37286,1300,8281
45,5,0.9,0.8,0.9285723604403283,2120,40269,1428,7282
46,5,0.9,0.8,0.929781526872098,2120,39787,1410,6898
47,5,0.9230769230769231,0.8,0.9403252678240167,1920,41258,1328,9349
48,5,0.9,0.8,0.93871015720108,1920,38032,1310,7953
49,5,0.9230769230769231,0.8,0.9219491780571907,1820,40621,1518,9508
50,5,0.9,0.8,0.9229919037175159,2120,46027,1728,10417
51,5,0.9,0.8,0.9351646351345325,2400,49139,1828,10323
52,5,0.9,0.8,0.9338812384990142,1920,41159,1500,8531
53,5,0.9230769230769231,0.8,0.9278339372120671,2020,39468,1418,7499
54,5,0.9,0.8,0.9395217949232487,2220,44790,1610,9219
