policy_id,n_paths,mean_loss,p05_loss,p50_loss,p95_loss,mean_default_count,funded_exposure
v10_dfl_constrained_p0p175_w0p03_s0p16_e0p50,160,4388.543219426764,0.0,2180.742921097971,16025.060153585855,3.3,141325.0
v10_dfl_constrained_p0p175_w0p03_s0p12_e1p10,160,5407.515187824113,0.0,1480.383003194859,21126.23795280406,8.2,518100.0
v10_dfl_constrained_p0p175_w0p03_s0p04_e1p10,160,6673.778823281753,0.0,1389.9373713018363,30636.086672439324,2.125,980500.0
v10_dfl_constrained_p0p175_w0p03_s0p08_e1p10,160,7285.318814207038,0.0,2813.424095137583,27971.493721244795,8.28125,966200.0
v10_dfl_constrained_p0p175_w0p03_s0p08_e0p80,160,9217.690704646771,0.0,3273.1640670638153,36462.41030672785,5.2875,982775.0
v10_dfl_constrained_p0p175_w0p03_s0p12_e0p80,160,9315.961587916838,0.0,3527.2214613766346,38451.31129320896,10.7625,672650.0
v10_cvar_decomp_floor80000_r1_i4_cap106875,160,9343.234673638293,0.0,3712.5,31989.867672228822,7.7,850000.0
v10_cvar_decomp_floor80000_r1_i3_cap123750,160,12288.5161896821,0.0,6097.5,40192.7485481632,11.51875,850000.0
v10_dfl_constrained_p0p175_w0p03_s0p04_e0p80,160,13286.63223343069,0.0,3611.25,54731.44384522839,2.2,990650.0
v10_dfl_constrained_p0p175_w0p03_s0p08_e0p50,160,13324.868558675564,0.0,1911.7888049918522,62330.65289722708,3.6375,995450.0
v10_dfl_constrained_p0p175_w0p03_s0p04_e0p50,160,16693.282468674846,0.0,0.0,73117.68153173749,1.45,994200.0
v10_dfl_constrained_p0p175_w0p03_s0p12_e0p50,160,21616.103173856696,1350.0,9274.471574042454,83592.29358445182,14.95,980800.0
v10_cvar_decomp_floor80000_r2_i3_cap165000,160,21995.531129911407,3787.73259957132,14335.814793797375,65221.69149815922,22.51875,568942.3235255575
v10_cvar_decomp_floor80000_r1_i2_cap157500,160,22277.0918766748,3127.5,14931.792499670639,64333.4388267861,21.11875,850000.0
v10_dfl_constrained_p0p175_w0p03_s0p04_e0p25,160,27524.68334941977,0.0,5892.174756145532,100704.43480986712,2.3625,991900.0
v10_dfl_constrained_p0p175_w0p03_s0p08_e0p25,160,36564.375747885104,3600.0,15810.034324042717,101258.25789639405,5.03125,999325.0
v10_cvar_decomp_floor80000_r2_i2_cap210000,160,37038.078962931344,10573.390085103289,25815.811542516836,91236.85317971498,40.26875,967354.9067854991
v10_cvar_decomp_floor80000_r1_i1_cap225000,160,40297.08784989605,12975.75,26463.91543351767,100349.78540339162,42.8875,1000000.0
v10_cvar_decomp_floor80000_r2_i1_cap300000,160,41393.49704542504,8367.850111414045,27972.67894396427,105507.35536047429,41.76875,1000000.0
v10_dfl_constrained_p0p175_w0p03_s0p12_e0p25,160,45074.23466093741,9974.25,34765.19528740781,111839.51413526255,18.9,985225.0
v10_dfl_constrained_p0p175_w0p03_s0p16_e0p25,160,46691.69853950337,8496.0,37038.898936341415,106392.43080562675,34.425,980100.0
v10_mdcp_empirical_committee,160,52831.40118138865,22066.8261399948,48276.30548464064,94246.88600391334,42.1875,850000.0
v10_mdcp_empirical_relaxed,160,53813.25603812947,17270.202093311214,45371.24999979188,115966.38743428636,48.925,1000000.0
v10_mdcp_empirical_strict,160,58380.39619722535,35560.51292519515,57025.69765534057,85588.82477088994,41.39375,850000.0
