policy_id,reference_policy_id,mean_loss_diff_vs_champion,p05_loss_diff_vs_champion,p95_loss_diff_vs_champion,prob_lower_loss_than_champion,n_common_paths
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,v13_fvi_return_recovery,17133.422707592814,-19762.60351486728,90987.64777877335,0.12666666666666668,300
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,v13_fvi_return_recovery,15497.267733004257,-18407.769187817983,81731.72615594593,0.13,300
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,v13_fvi_return_recovery,27383.344895504997,-10037.560591388674,102277.55678405387,0.1,300
v13_fvi_bellman_rollout,v13_fvi_return_recovery,-645.9935725111463,-27725.920284932556,20551.613842067327,0.24666666666666667,300
v13_fvi_capital_guarded,v13_fvi_return_recovery,-647.4967026213122,-27729.933480896463,26793.14625844891,0.25333333333333335,300
v13_fvi_return_recovery,v13_fvi_return_recovery,0.0,0.0,0.0,0.0,300
v13_mdcp_empirical_base,v13_fvi_return_recovery,36504.53669191908,-2288.576011053566,123314.67235192104,0.07,300
v13_mdcp_empirical_return_recovery,v13_fvi_return_recovery,31006.59395398095,-10061.789398924913,111410.96289483222,0.09333333333333334,300
v13_mdcp_empirical_tight,v13_fvi_return_recovery,36380.128251048205,-1712.785356529292,110905.65767015085,0.07,300
v13_spo_regret_audit_guarded,v13_fvi_return_recovery,9801.56079177236,-24088.410731098607,62572.781727912356,0.17333333333333334,300
v13_spo_regret_balanced,v13_fvi_return_recovery,7690.142182512037,-24615.7946569803,59633.83803376769,0.2,300
v13_spo_regret_return_recovery,v13_fvi_return_recovery,11843.107461775224,-26670.77749895381,82364.6295893775,0.16333333333333333,300
v13_static_reference,v13_fvi_return_recovery,311400.7931666176,17976.58840263675,676038.6121515532,0.0,300
