feature,coefficient,feature_mean,feature_std,model_scope_v12,version_v13
return_per_dollar,1.5597762949152496,0.08552479114553944,0.037031689008854674,spo_style_structured_regret_perceptron,v13_longer_temporal_regret_training
pd_high,-0.3166823475878804,0.4088700200182221,0.35311400484038746,spo_style_structured_regret_perceptron,v13_longer_temporal_regret_training
qhat,-0.060675425806949145,0.7943417463864482,0.11016843427665206,spo_style_structured_regret_perceptron,v13_longer_temporal_regret_training
weak_source,-0.032127900942448426,0.32971153846153844,0.1688138864442503,spo_style_structured_regret_perceptron,v13_longer_temporal_regret_training
ecl_rate,-0.016682347587880435,0.1839915090081999,0.15890130217817433,spo_style_structured_regret_perceptron,v13_longer_temporal_regret_training
amount_10k,-0.2424328155965625,0.9110722115384615,0.7680871607331102,spo_style_structured_regret_perceptron,v13_longer_temporal_regret_training
grade_dplus,0.8814366813211524,0.3491153846153846,0.4766996674418768,spo_style_structured_regret_perceptron,v13_longer_temporal_regret_training
dti_high,-0.13691702814888007,0.365,0.4814394196219837,spo_style_structured_regret_perceptron,v13_longer_temporal_regret_training
score_low,-0.23113512078806397,0.5674615384615385,0.4954375657289065,spo_style_structured_regret_perceptron,v13_longer_temporal_regret_training
income_q5,-0.253359203765494,0.21123076923076922,0.40818958802744465,spo_style_structured_regret_perceptron,v13_longer_temporal_regret_training
