path_id,macro_regime_v15,base_default_multiplier,base_lgd_multiplier,base_prepay_multiplier,vintage_amplitude,calibration_scope
0,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
1,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
2,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
3,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
4,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
5,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
6,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
7,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
8,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
9,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
10,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
11,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
12,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
13,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
14,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
15,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
16,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
17,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
18,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
19,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
20,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
21,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
22,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
23,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
24,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
25,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
26,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
27,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
28,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
29,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
30,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
31,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
