policy_id,macro_regime_v15,n_paths,final_wealth_mean,final_wealth_p05,cumulative_losses_mean,cumulative_losses_p95,defaults_mean,claim_scope
paper1_economic_champion,baseline_internal,16,1199479.3001879288,1166217.9755510194,70366.03072994006,96065.30689318008,100.25,path_family_sensitivity_internal_not_forecast
paper1_economic_champion,macro_stress_internal,16,1130608.6566464023,1084264.5666502602,125249.82847097545,162364.10449064418,135.1875,path_family_sensitivity_internal_not_forecast
paper1_economic_champion,mild_stress_internal,16,1179542.1299103268,1131630.319941656,84085.86874936573,114371.19124520126,105.5,path_family_sensitivity_internal_not_forecast
paper1_economic_champion,vintage_stress_internal,16,1162993.8502162946,1125027.003198569,99563.45788459243,131759.02563576994,115.5625,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,baseline_internal,16,1187941.8172182282,1166488.707245559,51189.82209967112,66469.62085048227,81.6875,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,macro_stress_internal,16,1139053.399170797,1099157.0971703718,92405.2295089386,126416.98324919489,111.4375,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,mild_stress_internal,16,1178221.1120217296,1147644.4765212242,58720.20376514734,80201.57594334052,85.125,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,vintage_stress_internal,16,1164923.982527214,1124114.3434141916,70386.26121369084,101076.92590324323,91.8125,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,baseline_internal,16,1187941.8172182282,1166488.707245559,51189.82209967112,66469.62085048227,81.6875,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,macro_stress_internal,16,1139053.399170797,1099157.0971703718,92405.2295089386,126416.98324919489,111.4375,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,mild_stress_internal,16,1178221.1120217296,1147644.4765212242,58720.20376514734,80201.57594334052,85.125,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,vintage_stress_internal,16,1164923.982527214,1124114.3434141916,70386.26121369084,101076.92590324323,91.8125,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,baseline_internal,16,1163815.3954441121,1140915.9424631468,52151.922948832755,67160.50555015376,81.6875,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,macro_stress_internal,16,1125008.4951045346,1087694.6641981653,85107.04162205227,110712.62872126978,112.1875,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,mild_stress_internal,16,1154084.8215602755,1127939.618221745,59593.329090834544,77265.29716215425,88.6875,path_family_sensitivity_internal_not_forecast
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,vintage_stress_internal,16,1144919.9526888325,1117926.3809038214,68831.74390025104,88460.64752672322,96.8125,path_family_sensitivity_internal_not_forecast
