wave_version_v247,wave_type_v247,phase_v247,selected_rows_v247,candidate_pair_rows_v247,one_swap_improving_rows_v247,best_one_swap_return_delta_v247,best_one_swap_cvar90_after_v247,objective_return_v247,scenario_loss_cvar90_v247,added_loan_id_v247,dropped_loan_id_v247,budget_feasible_v247,source_feasible_v247,cvar_feasible_v247,one_swap_local_optimality_cleared_v247,paper1_promotion_allowed_v247,full_universe_integer_optimality_allowed_v247,claim_boundary_v247
82,pricing,v82_one_swap_integer_pricing_probe,171,8126.0,8126.0,201.74349922313803,91625.73939095305,,,not_applicable,not_applicable,,,,False,False,False,v82 finds one-swap repair signals only; global integer optimality and promotion remain prohibited
83,repair,v83_best_one_swap_repair,171,,,,,-3854.1520292167534,91625.73939095305,154722969,127135245,True,True,True,,False,False,v83 creates a repaired candidate only; post-repair pricing and global integer claims remain blocked
84,pricing,v84_post_repair_one_swap_reprice,171,8000.0,8000.0,198.2450405042807,91667.73069994824,,,not_applicable,not_applicable,,,,False,False,False,v84 is post-repair one-swap pricing only; global integer and promotion claims remain blocked
85,repair,v85_next_one_swap_repair,171,,,,,-3655.9069887124715,91667.73069994825,143293919,127392383,True,True,True,,False,False,v85 creates a second repaired candidate only; post-repair pricing and global integer claims remain blocked
86,pricing,v86_post_v85_one_swap_reprice,171,7847.0,7847.0,186.46858045165027,91778.02003085389,,,not_applicable,not_applicable,,,,False,False,False,v86 is post-v85 one-swap pricing only; global integer and promotion claims remain blocked
87,repair,v87_next_one_swap_repair,171,,,,,-3469.4384082608176,91778.02003085389,129036264,127726917,True,True,True,,False,False,v87 creates a third repaired candidate only; post-repair pricing and global integer claims remain blocked
88,pricing,v88_post_v87_one_swap_reprice,171,9044.0,9044.0,193.93226645730118,91851.98990775931,,,not_applicable,not_applicable,,,,False,False,False,v88 is post-v87 one-swap pricing only; global integer and promotion claims remain blocked
89,repair,v89_next_one_swap_repair,171,,,,,-3275.50614180352,91851.98990775933,165964183,126916681,True,True,True,,False,False,v89 creates a fourth repaired candidate only; post-repair pricing and global integer claims remain blocked
90,pricing,v90_post_v89_one_swap_reprice,171,7594.0,7594.0,164.41628375317225,91931.29075279877,,,not_applicable,not_applicable,,,,False,False,False,v90 is post-v89 one-swap pricing only; global integer and promotion claims remain blocked
91,repair,v91_next_one_swap_repair,171,,,,,-3111.089858050349,91931.29075279877,135930178,126739229,True,True,True,,False,False,v91 creates a fifth repaired candidate only; post-repair pricing and global integer claims remain blocked
92,pricing,v92_post_v91_one_swap_reprice,171,7563.0,7563.0,159.45366133732136,91819.71312940198,,,not_applicable,not_applicable,,,,False,False,False,v92 is post-v91 one-swap pricing only; global integer and promotion claims remain blocked
93,repair,v93_next_one_swap_repair,171,,,,,-2951.636196713027,91819.71312940196,145248195,126782976,True,True,True,,False,False,v93 creates a sixth repaired candidate only; post-repair pricing and global integer claims remain blocked
94,pricing,v94_post_v93_one_swap_reprice,171,7334.0,7334.0,157.0655454317594,92095.88635549336,,,not_applicable,not_applicable,,,,False,False,False,v94 is post-v93 one-swap pricing only; global integer and promotion claims remain blocked
95,repair,v95_next_one_swap_repair,171,,,,,-2794.570651281263,92095.88635549332,152314563,127844421,True,True,True,,False,False,v95 creates a seventh repaired candidate only; post-repair pricing and global integer claims remain blocked
96,pricing,v96_post_v95_one_swap_reprice,171,7239.0,7239.0,152.74243610682214,92221.79683903579,,,not_applicable,not_applicable,,,,False,False,False,v96 is post-v95 one-swap pricing only; global integer and promotion claims remain blocked
97,repair,v97_next_one_swap_repair,171,,,,,-2641.8282151744443,92221.79683903579,142037168,126777878,True,True,True,,False,False,v97 creates an eighth repaired candidate only; post-repair pricing and global integer claims remain blocked
98,pricing,v98_post_v97_one_swap_reprice,171,6783.0,6783.0,146.68859776698605,92333.23436577116,,,not_applicable,not_applicable,,,,False,False,False,v98 is post-v97 one-swap pricing only; global integer and promotion claims remain blocked
99,repair,v99_next_one_swap_repair,171,,,,,-2495.13961740746,92333.23436577116,128253688,127051964,True,True,True,,False,False,v99 creates a ninth repaired candidate only; post-repair pricing and global integer claims remain blocked
100,pricing,v100_post_v99_one_swap_reprice,171,10946.0,10946.0,191.1881191206193,92311.43781816204,,,not_applicable,not_applicable,,,,False,False,False,v100 is post-v99 one-swap pricing only; global integer and promotion claims remain blocked
101,repair,v101_next_one_swap_repair,171,,,,,-2303.9514982868386,92311.43781816206,142000768,127061180,True,True,True,,False,False,v101 creates a tenth repaired candidate only; post-repair pricing and global integer claims remain blocked
102,pricing,v102_post_v101_one_swap_reprice,171,6481.0,6481.0,146.6809005878472,92438.43605767138,,,not_applicable,not_applicable,,,,False,False,False,v102 is post-v101 one-swap pricing only; global integer and promotion claims remain blocked
103,repair,v103_next_one_swap_repair,171,,,,,-2157.2705976989946,92438.43605767141,159720541,128000272,True,True,True,,False,False,v103 creates an eleventh repaired candidate only; post-repair pricing and global integer claims remain blocked
104,pricing,v104_post_v103_one_swap_reprice,171,6398.0,6398.0,145.24803479210811,92582.02702682154,,,not_applicable,not_applicable,,,,False,False,False,v104 is post-v103 one-swap pricing only; global integer and promotion claims remain blocked
