policy_id,n_paths,final_wealth_mean,final_wealth_p05,final_wealth_p95,final_cash_mean,outstanding_principal_mean,cumulative_funded_exposure_mean,cumulative_losses_mean,cumulative_losses_p95,cumulative_defaults_mean,cumulative_recoveries_mean,cumulative_realized_return_mean,ECL_final_mean,stage2_share_proxy_final_mean,source_exposure_weak_share_final_mean,no_temporal_leakage_rate,dynamic_value_score_v15,dynamic_governance_gate_pass_v15,paper4_champion_score_v15,online_gate_pass_v15,paper4_working_only,registry_decision_v15,version_v23,claim_scope_v23,version_v24
paper1_economic_champion,128,1170569.18924002,1101128.379191626,1226157.4968593835,1162341.420636894,9378.945312500007,1000000.0,93182.58496341929,140410.55435149773,114.171875,87179.99269009089,264902.9509128082,1151.1767093738329,0.4835968985720636,0.322265625,1.0,0.4607142857142857,True,0.4607142857142857,True,True,paper4_dynamic_challenger,dynamic_scale_up_128,"larger internal replay, not forecast",
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,128,1170273.4955465363,1114651.2876789847,1212967.915829133,1162711.4714238225,8332.682291666675,1000000.0,66023.45091671665,111806.64317826425,91.578125,58252.84589031841,237067.6046322032,770.6581689527328,0.4225470653403914,0.5900117663350978,1.0,0.4339285714285714,True,0.4339285714285714,True,True,paper4_dynamic_challenger,dynamic_scale_up_128,"larger internal replay, not forecast",
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,128,1170273.4955465363,1114651.2876789847,1212967.915829133,1162711.4714238225,8332.682291666675,1000000.0,66023.45091671665,111806.64317826425,91.578125,58252.84589031841,237067.6046322032,770.6581689527328,0.4225470653403914,0.5900117663350978,1.0,0.4339285714285714,True,0.4339285714285714,True,True,paper4_dynamic_challenger,dynamic_scale_up_128,"larger internal replay, not forecast",
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,128,1148018.0921288268,1105101.4895671362,1182671.68336811,1140456.068006113,8332.682291666675,1000000.0,65651.2059506827,99960.38057079572,94.3515625,58052.15024927925,214439.95624845792,770.6581689527328,0.4225470653403914,0.5900117663350978,1.0,0.4821428571428571,True,0.4821428571428571,True,True,paper4_dynamic_challenger,dynamic_scale_up_128,"larger internal replay, not forecast",
v13_fvi_bellman_rollout,128,1091609.9566779889,1073628.2777604174,1105662.1975434944,1091609.9566779889,0.0,998650.0,31599.941586219706,48544.76844126722,87.515625,29523.46336169693,123209.8982642042,0.0,0.0,0.0,1.0,0.5553571428571429,True,0.5553571428571429,True,True,paper4_dynamic_challenger,dynamic_scale_up_128,"larger internal replay, not forecast",
v13_fvi_capital_guarded,128,1089808.5820246264,1071353.0444136446,1104187.5379290383,1089808.5820246264,0.0,999425.0,31799.64874690679,48998.18538927638,88.375,29710.507503093173,121608.23077152832,0.0,0.0,0.0,1.0,0.6232142857142857,True,0.6232142857142857,True,True,paper4_working_champion_candidate,dynamic_scale_up_128,"larger internal replay, not forecast",
v13_fvi_return_recovery,128,1098242.4625846653,1078406.4815683523,1113036.4358523374,1098242.4625846653,0.0,998375.0,32705.95461590206,52023.44353001024,87.4921875,30636.184055972903,130948.41720056476,0.0,0.0,0.0,1.0,0.5267857142857143,True,0.5267857142857143,True,True,paper4_dynamic_challenger,dynamic_scale_up_128,"larger internal replay, not forecast",
v13_mdcp_empirical_base,128,1099794.2194613586,1069484.3854517748,1129737.219107936,1099794.2194613586,0.0,1000000.0,56534.121620272505,80492.71962943752,77.734375,50403.88722380202,156328.34108162744,0.0,0.0,0.0,1.0,0.5625000000000001,True,0.5625000000000001,True,True,paper4_dynamic_challenger,dynamic_scale_up_128,"larger internal replay, not forecast",
v13_mdcp_empirical_return_recovery,128,1126985.638462636,1088800.0189508274,1160112.4931410088,1123430.8854255318,4010.416666666672,1000000.0,59548.80991903562,87848.4334089355,78.4296875,53999.06235492484,186990.11201122747,455.6636295625312,0.6875,0.5156249999999999,1.0,0.4678571428571428,True,0.4678571428571428,True,True,paper4_dynamic_challenger,dynamic_scale_up_128,"larger internal replay, not forecast",
v13_mdcp_empirical_tight,128,1063734.4711272153,1034625.7683223784,1089430.0624909548,1063734.4711272153,0.0,850000.0,47217.78313129015,67379.08919928402,69.765625,40979.955702604144,110952.25425850751,0.0,0.0,0.0,1.0,0.6660714285714285,False,-1.0,True,True,paper4_dynamic_challenger,dynamic_scale_up_128,"larger internal replay, not forecast",
v13_spo_regret_audit_guarded,128,1120845.3158714666,1076676.2364918531,1151540.6462382053,1120845.3158714666,0.0,980625.0,57153.78673894264,95770.90740824076,83.9375,53312.283139529536,177999.10261040574,0.0,0.0,0.0,1.0,0.5482142857142858,True,0.5482142857142858,True,True,paper4_dynamic_challenger,dynamic_scale_up_128,"larger internal replay, not forecast",
v13_spo_regret_balanced,128,1129788.8295962424,1085836.0042242862,1162790.5434547295,1129788.8295962424,0.0,982650.0,57732.49583990858,96626.23260980642,83.3046875,53694.84791009137,187521.3254361531,0.0,0.0,0.0,1.0,0.4732142857142857,True,0.4732142857142857,True,True,paper4_dynamic_challenger,dynamic_scale_up_128,"larger internal replay, not forecast",
v13_spo_regret_return_recovery,128,1131388.9490357896,1089419.8060568438,1160846.5528737428,1131388.9490357896,0.0,980650.0,60921.59981032471,97777.1263354624,90.3046875,56759.91603168912,192310.54884611876,0.0,0.0,0.0,1.0,0.4696428571428572,True,0.4696428571428572,True,True,paper4_dynamic_challenger,dynamic_scale_up_128,"larger internal replay, not forecast",
v13_static_reference,128,1051812.225135927,921199.465395938,1178459.6081347098,1051608.0197680788,369.1080729166668,976825.0,274851.73210447206,350089.6060895317,28.1328125,265844.99315594457,326828.8599454664,164.90270506808193,0.359375,0.1467282065317553,1.0,0.7964285714285714,False,-1.0,True,True,paper4_dynamic_challenger,dynamic_scale_up_128,"larger internal replay, not forecast",
v24_adp_rollout_reinvestment_value,128,1145898.4379186877,1061685.01725623,1233794.7196544837,1145898.4379186877,0.0,2384591.7067053444,214636.63272321198,291499.06441511266,680.1796875,198093.02537510538,360535.0706418909,0.0,0.0,0.0,1.0,0.53125,False,-1.0,True,True,paper4_dynamic_challenger,,,adp_rollout_upgrade
v24_adp_rollout_return_value,128,1159084.9721162585,1072722.2534609113,1244528.138195741,1159084.9721162585,0.0,2383713.712639715,218237.41405602152,297957.1252081771,662.578125,200583.13868814698,377322.38617227215,0.0,0.0,0.0,1.0,0.39375000000000004,False,-1.0,True,True,paper4_dynamic_challenger,,,adp_rollout_upgrade
v24_adp_rollout_source_ecl_value,128,1062195.4827250908,954272.627704633,1171259.242346082,1062195.4827250908,0.0,2386029.252258006,301303.50534921227,398083.002297449,944.03125,263514.3873971967,363498.98807429103,0.0,0.0,0.0,1.0,0.93125,False,-1.0,True,True,paper4_dynamic_challenger,,,adp_rollout_upgrade
v24_adp_rollout_tail_value,128,1134741.4523250277,1054137.1688408705,1216231.9056957865,1134741.4523250277,0.0,2383420.302681953,212279.4682249711,285848.0756829581,692.3203125,197027.9405554625,347020.92054999137,0.0,0.0,0.0,1.0,0.64375,False,-1.0,True,True,paper4_dynamic_challenger,,,adp_rollout_upgrade
