policy_id,regime_v259,added_loan_id_v259,dropped_loan_id_v259,added_loan_amount_v259,dropped_loan_amount_v259,added_mean_return_v259,dropped_mean_return_v259,return_delta_v259,objective_return_after_swap_v259,exposure_after_swap_v259,budget_swap_feasible_v259,source_swap_feasible_v259,source_min_slack_after_swap_v259,max_source_share_after_swap_v259,source_cap_violations_after_swap_v259,first_source_block_family_v259,first_source_block_id_v259,loss_mean_after_swap_v259,cvar90_after_swap_v259,cvar_swap_feasible_v259,one_swap_improves_return_v259,integer_screen_scope_v259,claim_boundary_v259,added_grade_v259,dropped_grade_v259,added_score_decile_v259,dropped_score_decile_v259,added_income_band_v259,dropped_income_band_v259,added_dti_band_v259,dropped_dti_band_v259,added_period_v259,dropped_period_v259,added_state_top20_v259,dropped_state_top20_v259
v63_source_repair_return_guarded_repair,post_v258_bounded_two_swap_repair,157560196,140352540,1300.0,1500.0,-181.11178871668363,-225.35267892941064,44.24089021272701,2933.4365956796655,843125.0,True,True,2.8870482121190477e-05,0.8990363232023721,0,,,61655.81595804046,97875.45699152809,True,True,post_v258_bounded_two_swap_one_drop_one_add_whole_loan_swap,post-v258 bounded two-swap one-swap pricing only; not multi-swap or global proof,B,B,0,0,3,0,1,1,2019,2018,NY,NY
v63_source_repair_return_guarded_repair,post_v258_bounded_two_swap_repair,157560196,143278940,1300.0,1500.0,-181.11178871668363,-223.96024592785653,42.8484572111729,2932.044162678111,843125.0,True,True,2.8870482121190477e-05,0.8990363232023721,0,,,61662.44454044968,97876.28683320519,True,True,post_v258_bounded_two_swap_one_drop_one_add_whole_loan_swap,post-v258 bounded two-swap one-swap pricing only; not multi-swap or global proof,B,B,0,0,3,4,1,0,2019,2018,NY,MD
v63_source_repair_return_guarded_repair,post_v258_bounded_two_swap_repair,157560196,158316010,1300.0,1500.0,-181.11178871668363,-220.5649967146192,39.45320799793558,2928.6489134648737,843125.0,True,True,2.8870482121190477e-05,0.8990363232023721,0,,,61661.36082404206,97863.87859394435,True,True,post_v258_bounded_two_swap_one_drop_one_add_whole_loan_swap,post-v258 bounded two-swap one-swap pricing only; not multi-swap or global proof,B,B,0,0,3,3,1,1,2019,2019,NY,MD
v63_source_repair_return_guarded_repair,post_v258_bounded_two_swap_repair,142191288,140352540,1300.0,1500.0,-196.74476771496595,-225.35267892941064,28.607911214444698,2917.803616681383,843125.0,True,True,2.8870482121190477e-05,0.8990363232023721,0,,,61646.20668422023,97850.23357945072,True,True,post_v258_bounded_two_swap_one_drop_one_add_whole_loan_swap,post-v258 bounded two-swap one-swap pricing only; not multi-swap or global proof,B,B,0,0,2,0,1,1,2018,2018,IL,NY
v63_source_repair_return_guarded_repair,post_v258_bounded_two_swap_repair,142191288,143278940,1300.0,1500.0,-196.74476771496595,-223.96024592785653,27.215478212890588,2916.411183679829,843125.0,True,True,2.8870482121190477e-05,0.8990363232023721,0,,,61652.83526662947,97851.06342112784,True,True,post_v258_bounded_two_swap_one_drop_one_add_whole_loan_swap,post-v258 bounded two-swap one-swap pricing only; not multi-swap or global proof,B,B,0,0,2,4,1,0,2018,2018,IL,MD
v63_source_repair_return_guarded_repair,post_v258_bounded_two_swap_repair,158523975,139657464,2500.0,1200.0,59.61843314479034,32.614459804893464,27.003973339896874,2916.199678806835,844625.0,True,True,4.7876130037094455e-06,0.8992156282373834,0,,,61730.93066182232,97979.80077787605,True,True,post_v258_bounded_two_swap_one_drop_one_add_whole_loan_swap,post-v258 bounded two-swap one-swap pricing only; not multi-swap or global proof,A,A,0,0,4,4,1,0,2019,2018,TX,OH
v63_source_repair_return_guarded_repair,post_v258_bounded_two_swap_repair,158523975,160039313,2500.0,1200.0,59.61843314479034,33.84784116416046,25.77059198062988,2914.966297447568,844625.0,True,True,4.7876130037094455e-06,0.8992156282373834,0,,,61720.27252564246,97956.55586259069,True,True,post_v258_bounded_two_swap_one_drop_one_add_whole_loan_swap,post-v258 bounded two-swap one-swap pricing only; not multi-swap or global proof,A,A,0,0,4,2,1,0,2019,2019,TX,NV
v63_source_repair_return_guarded_repair,post_v258_bounded_two_swap_repair,131401335,139657464,2500.0,1200.0,57.982083467949245,32.614459804893464,25.36762366305578,2914.563329129994,844625.0,True,True,4.7876130037094455e-06,0.8992156282373834,0,,,61739.22047968013,97984.02492622114,True,True,post_v258_bounded_two_swap_one_drop_one_add_whole_loan_swap,post-v258 bounded two-swap one-swap pricing only; not multi-swap or global proof,A,A,0,0,3,4,0,0,2018,2018,NV,OH
v63_source_repair_return_guarded_repair,post_v258_bounded_two_swap_repair,130791260,129934914,2900.0,1650.0,69.4776485933445,44.68807959855301,24.789568994791487,2913.9852744617297,844575.0,True,True,1.3482513556262177e-05,0.8992096616641506,0,,,61761.65411379713,98020.27946304924,True,True,post_v258_bounded_two_swap_one_drop_one_add_whole_loan_swap,post-v258 bounded two-swap one-swap pricing only; not multi-swap or global proof,A,A,0,0,3,3,0,0,2018,2018,NY,PA
v63_source_repair_return_guarded_repair,post_v258_bounded_two_swap_repair,131401335,160039313,2500.0,1200.0,57.982083467949245,33.84784116416046,24.13424230378879,2913.329947770727,844625.0,True,True,4.7876130037094455e-06,0.8992156282373834,0,,,61728.56234350026,97960.78001093578,True,True,post_v258_bounded_two_swap_one_drop_one_add_whole_loan_swap,post-v258 bounded two-swap one-swap pricing only; not multi-swap or global proof,A,A,0,0,3,2,0,0,2018,2019,NV,NV
v63_source_repair_return_guarded_repair,post_v258_bounded_two_swap_repair,146255415,158296387,1250.0,1450.0,-204.78232472676117,-228.77217236072838,23.9898476339672,2913.1855531009055,843125.0,True,True,2.8870482121190477e-05,0.8992735359525574,0,,,61752.68996202604,97972.95716773602,True,True,post_v258_bounded_two_swap_one_drop_one_add_whole_loan_swap,post-v258 bounded two-swap one-swap pricing only; not multi-swap or global proof,E,D,2,1,4,3,0,3,2019,2019,other,other
v63_source_repair_return_guarded_repair,post_v258_bounded_two_swap_repair,142191288,158316010,1300.0,1500.0,-196.74476771496595,-220.5649967146192,23.820228999653267,2913.0159344665917,843125.0,True,True,2.8870482121190477e-05,0.8990363232023721,0,,,61651.75155022184,97838.655181867,True,True,post_v258_bounded_two_swap_one_drop_one_add_whole_loan_swap,post-v258 bounded two-swap one-swap pricing only; not multi-swap or global proof,B,B,0,0,2,3,1,1,2018,2019,IL,MD
