policy_id,scenario,ecl_proxy_total_v25,loss_cash_proxy_total,recovery_cash_proxy_total,stage2_share_proxy_v25,stage3_share_proxy_v25,ead_start_total,contractual_ifrs9_claim_allowed
paper1_economic_champion,baseline,2394574.0257913684,9968.125,10512.63888888889,0.4269485903814262,0.0015754560530679934,19200525.0,False
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,baseline,1677001.7538097794,14700.646833333332,2797.5271000000002,0.9957936507936508,0.0013492063492063493,19144000.0,False
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,baseline,1677001.7538097794,14700.646833333332,2797.5271000000002,0.9957936507936508,0.0013492063492063493,19144000.0,False
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,baseline,1683288.1381113753,9586.076927777776,2451.1294500000004,0.9719734660033168,0.0011608623548922056,19144000.0,False
v13_fvi_bellman_rollout,baseline,791492.1781607184,6417.500000000001,6538.88888888889,0.9567005321722303,0.0008063215610385422,18475025.0,False
v13_fvi_capital_guarded,baseline,792405.9058790386,6936.250000000001,7030.833333333334,0.9613665389527458,0.0008780332056194125,18489362.5,False
v13_fvi_return_recovery,baseline,820009.0626437741,6242.5,6416.666666666667,0.9514710716633794,0.0007807363576594346,18469937.5,False
v13_mdcp_empirical_base,baseline,1514617.0299026906,10821.874322222222,2916.241727777778,0.9424677486475239,0.0013524760715771952,18598000.0,False
v13_mdcp_empirical_return_recovery,baseline,1560830.8981741092,8865.495246015202,2472.185542808152,0.9476678043230944,0.0011376564277588168,18843000.0,False
v13_mdcp_empirical_tight,baseline,1282337.8815985355,7501.958788888889,1639.765366666667,0.9220521541950113,0.001417233560090703,15725000.0,False
v13_spo_regret_audit_guarded,baseline,1406839.1981236304,7753.75,7801.215277777778,0.6684203142536476,0.0013327721661054994,18141562.5,False
v13_spo_regret_balanced,baseline,1423115.838771083,8976.875,9275.138888888889,0.7088744588744589,0.001443001443001443,18179025.0,False
v13_spo_regret_return_recovery,baseline,1506053.323170806,11636.25,12020.173611111111,0.6915611814345991,0.0016174402250351617,18142025.0,False
v13_static_reference,baseline,8334623.275804845,51467.5,56689.722222222226,0.9947916666666666,0.005208333333333333,21936487.5,False
