primary_rank_v268,primary_added_loan_id_v268,primary_dropped_loan_id_v268,base_two_swap_pair_rows_v268,source_prefilter_two_swap_pair_rows_v268,source_exact_two_swap_pair_rows_v268,cvar_feasible_two_swap_pair_rows_v268,claim_boundary_v268
0,162604995,158940609,1540492,28495,0,0,bounded relief search from one post-v266 source-prefilter primary swap
1,162604995,156935428,1480452,20257,0,0,bounded relief search from one post-v266 source-prefilter primary swap
2,156192909,158940609,1477606,19936,0,0,bounded relief search from one post-v266 source-prefilter primary swap
3,162604995,159720541,1473293,19396,0,0,bounded relief search from one post-v266 source-prefilter primary swap
4,165985906,158940609,1472505,19343,0,0,bounded relief search from one post-v266 source-prefilter primary swap
5,146255415,158940609,1467263,18804,0,0,bounded relief search from one post-v266 source-prefilter primary swap
6,145085915,158940609,1464091,18335,0,0,bounded relief search from one post-v266 source-prefilter primary swap
7,142448559,127281432,1451966,20861,0,0,bounded relief search from one post-v266 source-prefilter primary swap
8,162604995,152314563,1447411,16488,0,0,bounded relief search from one post-v266 source-prefilter primary swap
9,160806330,158940609,1440948,15900,0,0,bounded relief search from one post-v266 source-prefilter primary swap
10,142369432,158940609,1428557,14634,0,0,bounded relief search from one post-v266 source-prefilter primary swap
11,156192909,156935428,1419540,13711,0,0,bounded relief search from one post-v266 source-prefilter primary swap
12,154756272,158701181,1414305,13593,0,0,bounded relief search from one post-v266 source-prefilter primary swap
13,165985906,156935428,1414565,13232,0,0,bounded relief search from one post-v266 source-prefilter primary swap
14,156192909,159720541,1412487,13051,0,0,bounded relief search from one post-v266 source-prefilter primary swap
15,148673813,158940609,1409299,12801,0,0,bounded relief search from one post-v266 source-prefilter primary swap
16,146255415,156935428,1409604,12856,0,0,bounded relief search from one post-v266 source-prefilter primary swap
17,137151950,127281432,1408787,16423,0,0,bounded relief search from one post-v266 source-prefilter primary swap
18,165985906,159720541,1407720,12658,0,0,bounded relief search from one post-v266 source-prefilter primary swap
19,156012439,127281432,1407568,16152,0,0,bounded relief search from one post-v266 source-prefilter primary swap
20,145085915,156935428,1406496,12552,0,0,bounded relief search from one post-v266 source-prefilter primary swap
21,146255415,159720541,1402939,12291,0,0,bounded relief search from one post-v266 source-prefilter primary swap
22,145085915,159720541,1399718,11990,0,0,bounded relief search from one post-v266 source-prefilter primary swap
23,141665611,158701181,1395789,11993,0,0,bounded relief search from one post-v266 source-prefilter primary swap
24,154704863,158940609,1393050,11484,0,0,bounded relief search from one post-v266 source-prefilter primary swap
