action_v273,loan_id,loan_amnt,mean_return_v273,grade,score_decile,income_band,dti_band,period,state_top20,claim_boundary_v273
added_by_restricted_pool_milp,127475839,7300.0,172.47562806835185,A,0,4,0,2018,MN,restricted-pool MILP repair action list; not full-universe proof
added_by_restricted_pool_milp,138253214,6000.0,147.1374520733008,A,0,4,0,2018,CO,restricted-pool MILP repair action list; not full-universe proof
added_by_restricted_pool_milp,145359336,8000.0,195.09105682974084,A,0,2,1,2018,other,restricted-pool MILP repair action list; not full-universe proof
added_by_restricted_pool_milp,145033022,5050.0,123.15122962377396,A,0,1,0,2018,NY,restricted-pool MILP repair action list; not full-universe proof
added_by_restricted_pool_milp,141665611,1600.0,-264.10266005877247,C,1,2,1,2018,other,restricted-pool MILP repair action list; not full-universe proof
added_by_restricted_pool_milp,151810745,4000.0,93.66283163478127,A,0,3,0,2019,CO,restricted-pool MILP repair action list; not full-universe proof
added_by_restricted_pool_milp,156192909,1200.0,-202.72802520962668,D,3,4,2,2019,other,restricted-pool MILP repair action list; not full-universe proof
dropped_by_restricted_pool_milp,134420497,1000.0,-145.73547946423722,C,0,4,2,2018,MD,restricted-pool MILP repair action list; not full-universe proof
dropped_by_restricted_pool_milp,162590887,1000.0,-7.297262801488124,A,1,1,0,2019,TX,restricted-pool MILP repair action list; not full-universe proof
dropped_by_restricted_pool_milp,138631135,1000.0,-168.68250574568688,E,2,3,0,2018,TX,restricted-pool MILP repair action list; not full-universe proof
dropped_by_restricted_pool_milp,140861718,1000.0,-168.7891671871381,D,1,3,4,2018,MD,restricted-pool MILP repair action list; not full-universe proof
dropped_by_restricted_pool_milp,144253758,9500.0,228.55277467398744,A,0,4,0,2018,NJ,restricted-pool MILP repair action list; not full-universe proof
dropped_by_restricted_pool_milp,144223623,10500.0,252.61096148177558,A,0,4,1,2018,MN,restricted-pool MILP repair action list; not full-universe proof
dropped_by_restricted_pool_milp,163050494,10525.0,252.1906376488806,A,0,4,0,2019,NY,restricted-pool MILP repair action list; not full-universe proof
