macro_regime_v15,macro_event_label_v23,n_paths,n_months,default_factor_mean,default_factor_p95,lgd_factor_mean,prepay_factor_mean,observed_default_anchor_v23,observed_lgd_anchor_v23,path_claim_boundary,version_v27
baseline_internal,crisis:Pandemia COVID-19,64,1,1.0543124663956496,1.3504366911122079,1.0025563232377248,1.0029241335747374,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v4_scaled_diagnostics
baseline_internal,market:Expansión fintech y competencia en lending,64,1,1.032262396613391,1.375490776197143,1.0149399779235047,0.9930949185245781,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v4_scaled_diagnostics
baseline_internal,none,64,66,1.021060563039373,1.2860309376253243,1.0081027095266497,0.9980429947740952,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v4_scaled_diagnostics
baseline_internal,regulation:IFRS 9 entra en vigor globalmente,64,1,1.0157647455137258,1.1546522004752575,1.0080089972943336,0.994907736405665,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v4_scaled_diagnostics
macro_stress_internal,crisis:Pandemia COVID-19,64,1,1.5636403498094535,1.9682250820771314,1.2407896338274658,0.7929823688356935,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v4_scaled_diagnostics
macro_stress_internal,market:Expansión fintech y competencia en lending,64,1,1.5330322442229736,1.957699732223277,1.2558039427582013,0.7857304634766248,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v4_scaled_diagnostics
macro_stress_internal,none,64,66,1.5324059454547017,1.9378495503970152,1.2556489323985387,0.7860425107653644,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v4_scaled_diagnostics
macro_stress_internal,regulation:IFRS 9 entra en vigor globalmente,64,1,1.476454996574642,1.667113358433433,1.231575120052922,0.7948326035941204,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v4_scaled_diagnostics
mild_stress_internal,crisis:Pandemia COVID-19,64,1,1.206691974823559,1.5277101540571696,1.0801776835793742,0.9254219235243042,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v4_scaled_diagnostics
mild_stress_internal,market:Expansión fintech y competencia en lending,64,1,1.1640095751729589,1.5330790299368446,1.084485109579539,0.9218672044470109,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v4_scaled_diagnostics
mild_stress_internal,none,64,66,1.178895745745123,1.5204481909586012,1.0912755985189104,0.918043316240069,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v4_scaled_diagnostics
mild_stress_internal,regulation:IFRS 9 entra en vigor globalmente,64,1,1.1555262958383419,1.300865786814465,1.0822627541000476,0.9193991033258421,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v4_scaled_diagnostics
vintage_stress_internal,crisis:Pandemia COVID-19,64,1,1.3390526238957934,1.6471860684433386,1.1652947019077096,0.856154056587198,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v4_scaled_diagnostics
vintage_stress_internal,market:Expansión fintech y competencia en lending,64,1,1.257408444866682,1.6128983377108261,1.1514377206952884,0.8639932209769717,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v4_scaled_diagnostics
vintage_stress_internal,none,64,66,1.2922797978497869,1.652728208688446,1.1697030410150275,0.8536158810799794,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v4_scaled_diagnostics
vintage_stress_internal,regulation:IFRS 9 entra en vigor globalmente,64,1,1.2592864879880747,1.4038862512156491,1.1538327407505533,0.8589324342500735,0.06544450497995333,0.26995062456296215,internal paths; macro labels are contextual,sample_path_v4_scaled_diagnostics
