candidate_rank_v288,added_loan_id_v288,added_loan_amount_v288,added_mean_return_v288,pricing_block_ids_v288,relief_milp_success_v288,relief_milp_status_v288,relief_milp_gap_v288,drop_count_v288,drop_exposure_v288,drop_mean_return_v288,return_delta_after_exact_relief_v288,objective_return_after_exact_relief_v288,exposure_after_exact_relief_v288,source_min_slack_after_exact_relief_v288,max_source_share_after_exact_relief_v288,source_cap_violations_after_exact_relief_v288,first_source_block_family_v288,first_source_block_id_v288,cvar90_after_exact_relief_v288,budget_source_cvar_feasible_exact_relief_v288,return_positive_exact_relief_v288,exact_relief_entering_column_v288,cardinality_preserved_v288,cardinality_after_exact_relief_v288,claim_boundary_v288
299,160508188,11200.0,278.0362403815413,grade=A|score_decile=0,True,0,0.0,4,11350.0,277.3334797651132,0.7027606164280655,3103.245175802254,843475.0,2.7195389862066932e-05,0.8999673967811731,0,,,98339.15073561847,True,True,True,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
363,144223623,10500.0,252.6109614817756,grade=A|score_decile=0,True,0,0.0,4,10500.0,256.42803361086465,-3.8170721290890413,3098.725343056737,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98072.5636788045,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
239,143359641,12750.0,308.18374619738734,grade=A|score_decile=0,True,0,0.0,4,12850.0,313.2556295965954,-5.071883399208048,3097.470531786618,843525.0,1.8488337880206984e-05,0.8999733262203254,0,,,98211.09763799026,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
278,158637420,12000.0,287.8125152627004,grade=A|score_decile=0,True,0,0.0,3,12000.0,293.01525216638277,-5.202736903682364,3097.3396782821437,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98332.72304938298,True,False,False,False,169,rank 201-400 exact joint source-relief diagnostic only; not global pricing
367,163050494,10525.0,252.1906376488806,grade=A|score_decile=0,True,0,0.0,4,10550.0,260.49175563296745,-8.301117984086858,3094.241297201739,843600.0,5.429695151937253e-06,0.8999822190611664,0,,,98332.11500683137,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
308,145915953,12000.0,273.50264831754043,grade=A|score_decile=0,True,0,0.0,3,12000.0,293.01525216638277,-19.512603848842332,3083.0298113369836,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98432.97453860335,True,False,False,False,169,rank 201-400 exact joint source-relief diagnostic only; not global pricing
322,136789913,12000.0,268.4370266345864,grade=A|score_decile=0,True,0,0.0,3,12000.0,293.01525216638277,-24.578225531796363,3077.9641896540297,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98596.70207182731,True,False,False,False,169,rank 201-400 exact joint source-relief diagnostic only; not global pricing
392,153752087,11000.0,242.44544304435664,grade=A|score_decile=0,True,0,0.0,3,11050.0,269.0290297168559,-26.58358667249928,3075.958828513327,843575.0,9.782318059370354e-06,0.8999792549565836,0,,,98336.90638174303,True,False,False,False,169,rank 201-400 exact joint source-relief diagnostic only; not global pricing
327,126842205,12000.0,266.3687655592596,grade=A|score_decile=0,True,0,0.0,3,12000.0,293.01525216638277,-26.646486607123165,3075.8959285787028,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98289.20947696407,True,False,False,False,169,rank 201-400 exact joint source-relief diagnostic only; not global pricing
336,147100062,12000.0,264.3267031050702,grade=A|score_decile=0,True,0,0.0,3,12000.0,293.01525216638277,-28.688549061312585,3073.8538661245134,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98434.54382588845,True,False,False,False,169,rank 201-400 exact joint source-relief diagnostic only; not global pricing
304,145802224,12325.0,275.68522513275747,grade=A|score_decile=0,True,0,0.0,5,12350.0,304.7183555127069,-29.033130379949455,3073.5092848058766,843600.0,5.429695151937253e-06,0.8999822190611664,0,,,98151.05446247903,True,False,False,False,167,rank 201-400 exact joint source-relief diagnostic only; not global pricing
235,154658687,14000.0,310.25533686954464,grade=A|score_decile=0,True,0,0.0,4,14050.0,342.3422667549679,-32.086929885423274,3070.455485300403,843575.0,9.782318059370354e-06,0.8999792549565836,0,,,98079.30521446919,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
348,143067174,12000.0,258.713363672505,grade=A|score_decile=0,True,0,0.0,3,12000.0,293.01525216638277,-34.301888493877755,3068.240526691948,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98382.1012185128,True,False,False,False,169,rank 201-400 exact joint source-relief diagnostic only; not global pricing
352,163870472,12000.0,258.03735691749245,grade=A|score_decile=0,True,0,0.0,3,12000.0,293.01525216638277,-34.97789524889032,3067.5645199369355,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98480.30608442493,True,False,False,False,169,rank 201-400 exact joint source-relief diagnostic only; not global pricing
251,142507185,14000.0,303.1360643650191,grade=A|score_decile=0,True,0,0.0,4,14050.0,342.3422667549679,-39.20620238994883,3063.336212795877,843575.0,9.782318059370354e-06,0.8999792549565836,0,,,98258.03158440194,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
372,139607076,12000.0,250.5445980489347,grade=A|score_decile=0,True,0,0.0,3,12000.0,293.01525216638277,-42.47065411744808,3060.071761068378,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98388.05268698448,True,False,False,False,169,rank 201-400 exact joint source-relief diagnostic only; not global pricing
380,142320670,12000.0,247.600449297274,grade=A|score_decile=0,True,0,0.0,3,12000.0,293.01525216638277,-45.41480286910877,3057.127612316717,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98184.79846013164,True,False,False,False,169,rank 201-400 exact joint source-relief diagnostic only; not global pricing
382,151425705,12000.0,247.3291306022576,grade=A|score_decile=0,True,0,0.0,3,12000.0,293.01525216638277,-45.68612156412516,3056.856293621701,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98469.43333575745,True,False,False,False,169,rank 201-400 exact joint source-relief diagnostic only; not global pricing
383,151435580,12000.0,247.3291306022576,grade=A|score_decile=0,True,0,0.0,3,12000.0,293.01525216638277,-45.68612156412516,3056.856293621701,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98469.43333575745,True,False,False,False,169,rank 201-400 exact joint source-relief diagnostic only; not global pricing
337,140342691,12800.0,264.1071459170925,grade=A|score_decile=0,True,0,0.0,4,12850.0,313.2556295965954,-49.148483679502874,3053.393931506323,843575.0,9.782318059370354e-06,0.8999792549565836,0,,,98099.86919163332,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
370,139577568,12500.0,250.7711171842774,grade=A|score_decile=0,True,0,0.0,4,12550.0,306.2660261965267,-55.49490901224931,3047.047506173577,843575.0,9.782318059370354e-06,0.8999792549565836,0,,,98073.81362092613,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
238,141235872,15000.0,309.5005616215925,grade=A|score_decile=0,True,0,2.874341775627243e-09,4,15000.0,366.32848920449476,-56.82792758290225,3045.714487602924,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98105.86240224454,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
311,141201643,13500.0,272.5640111060945,grade=A|score_decile=0,True,0,0.0,4,13500.0,330.25224864605354,-57.68823753995906,3044.854177645867,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98164.36084059977,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
241,127039397,15000.0,307.75066353309546,grade=A|score_decile=0,True,0,2.874341775627243e-09,4,15000.0,366.32848920449476,-58.577825671399296,3043.9645895144267,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98136.29583179133,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
355,143207549,13000.0,255.572810645214,grade=A|score_decile=0,True,0,0.0,4,13000.0,320.40012791397646,-64.82731726876247,3037.7150979170638,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98395.49914129,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
333,135609853,13500.0,264.5711202855887,grade=A|score_decile=0,True,0,0.0,4,13500.0,330.25224864605354,-65.68112836046487,3036.8612868253613,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98310.69498123677,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
258,134388274,15000.0,299.82356569202545,grade=A|score_decile=0,True,0,2.874341775627243e-09,4,15000.0,366.32848920449476,-66.5049235124693,3036.0374916733567,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,97917.64164517353,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
303,126959205,14000.0,275.6978496215559,grade=A|score_decile=0,True,0,0.0,4,14050.0,342.3422667549679,-66.64441713341199,3035.897998052414,843575.0,9.782318059370354e-06,0.8999792549565836,0,,,97939.2246037776,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
369,137809728,13000.0,251.34036773651408,grade=A|score_decile=0,True,0,0.0,4,13000.0,320.40012791397646,-69.05976017746238,3033.4826550083635,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98398.25767697718,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
350,158276441,13325.0,258.22575787046827,grade=A|score_decile=0,True,0,0.0,4,13450.0,328.94674565687046,-70.72098778640219,3031.821427399424,843500.0,2.2841734839573746e-05,0.8999703615886189,0,,,98313.06785149722,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
269,147405633,15000.0,294.1742939135746,grade=A|score_decile=0,True,0,2.874341775627243e-09,4,15000.0,366.32848920449476,-72.15419529092014,3030.388219894906,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98205.36469441142,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
213,140019953,16000.0,320.9870299958751,grade=A|score_decile=0,True,0,0.0,3,16000.0,393.68184432694966,-72.69481433107455,3029.8476008547514,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,97817.56075153894,True,False,False,False,169,rank 201-400 exact joint source-relief diagnostic only; not global pricing
328,138159584,14000.0,265.05111916372533,grade=A|score_decile=0,True,0,0.0,4,14050.0,342.3422667549679,-77.29114759124258,3025.2512675945836,843575.0,9.782318059370354e-06,0.8999792549565836,0,,,98265.61172633454,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
329,137817522,14000.0,264.9207215043685,grade=A|score_decile=0,True,0,0.0,4,14050.0,342.3422667549679,-77.42154525059942,3025.1208699352264,843575.0,9.782318059370354e-06,0.8999792549565836,0,,,98022.599691008,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
335,132212695,14000.0,264.33804317400336,grade=A|score_decile=0,True,0,0.0,4,14050.0,342.3422667549679,-78.00422358096455,3024.5381916048614,843575.0,9.782318059370354e-06,0.8999792549565836,0,,,97856.04904186215,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
224,127585886,16000.0,315.08325671035,grade=A|score_decile=0,True,0,0.0,3,16000.0,393.68184432694966,-78.59858761659967,3023.9438275692264,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,97718.87524248932,True,False,False,False,169,rank 201-400 exact joint source-relief diagnostic only; not global pricing
379,139473134,13500.0,248.99356404392643,grade=A|score_decile=0,True,0,0.0,4,13500.0,330.25224864605354,-81.25868460212712,3021.283730583699,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98437.18851705563,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
234,129361681,16000.0,312.1007384473098,grade=A|score_decile=0,True,0,0.0,3,16000.0,393.68184432694966,-81.58110587963984,3020.961309306186,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,97602.12590207625,True,False,False,False,169,rank 201-400 exact joint source-relief diagnostic only; not global pricing
287,138216266,15000.0,283.84363018325195,grade=A|score_decile=0,True,0,2.874341775627243e-09,4,15000.0,366.32848920449476,-82.48485902124281,3020.0575561645833,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98104.81889079801,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
286,139314031,15000.0,283.84363018325195,grade=A|score_decile=0,True,0,2.874341775627243e-09,4,15000.0,366.32848920449476,-82.48485902124281,3020.0575561645833,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98104.81889079801,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
285,138844048,15000.0,283.84363018325195,grade=A|score_decile=0,True,0,2.874341775627243e-09,4,15000.0,366.32848920449476,-82.48485902124281,3020.0575561645833,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98104.81889079801,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
288,141976314,15000.0,283.644219272682,grade=A|score_decile=0,True,0,2.874341775627243e-09,4,15000.0,366.32848920449476,-82.68426993181276,3019.8581452540134,843625.0,1.0773302159261533e-06,0.8999851829900726,0,,,98584.66812401492,True,False,False,False,168,rank 201-400 exact joint source-relief diagnostic only; not global pricing
