policy_id,solver_status,elapsed_seconds,n_funded,funded_exposure,objective_return,scenario_loss_cvar90,weighted_pd_high,weighted_qhat,weighted_weak_source_proxy,feasible_v12,column_round_v12,pool_n_v12,universe_n_v12,pool_expansion_vs_v11,solver_lane_v12,pool_design_v12,full_universe_attempted_v12,full_universe_feasible_v12,risk_tolerance,weak_penalty,width_penalty,cvar_cap,return_floor,qhat_cap_v12,realized_return_proxy_lgd45,share_grade_dplus,cap_grade_dplus_limit_v12,share_dti_high,cap_dti_high_limit_v12,share_score_low,cap_score_low_limit_v12,share_income_q5,cap_income_q5_limit_v12,share_period_2018h1,cap_period_2018h1_limit_v12,share_state_top20,cap_state_top20_limit_v12,auditability_score_v12,caps_json_v12,cap_relaxation_v12,non_dominated_v12,feasible_v13,non_dominated_v13,pool_n_v13,universe_n_v13,auditability_score_v13,cap_relaxation_v13,frontier_scope_v13,exact_full_universe_claim_v13,v16_regime_label,full_universe_attempted_v16,full_universe_reason_v16,exact_full_universe_claim_v16,decomposition_claim_v16,strict_result_label_v16,regime_v20,full_universe_exact_claim_v20,restricted_master_claim_boundary_v20,auditability_score_v20,return_cvar_tradeoff_v20,regime_v24,column_generation_claim_v24,full_universe_exact_claim_v24,non_dominated_v24,version_v28,exact_full_universe_claim_v28,restricted_master_claim_v28,regime_v28,return_cvar_audit_score_v28,non_dominated_v28
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,TerminationCondition.optimal,6.901888677995885,335,1000000.0,126298.70435513796,250000.0,0.19000000000019,0.7622091188220578,0.4027836725635969,True,3,32000,276869,1.7777777777777777,cvar_mdcp_column_generation_lp_committee_relaxed,score_returnpd_lowtail_audit_anchor_column_generation,False,False,0.19,0.055,0.055,250000.0,80000.0,0.9,139314.0642920435,0.3148369558693175,0.6859999999999999,0.0359613671925349,0.6859999999999999,0.9021,1.0,0.3400363671925349,0.7974285714285714,0.3158244113232174,0.81,1.0,1.0,0.4712588189650133,"{""cap_dti_high"": 0.6859999999999999, ""cap_grade_dplus"": 0.6859999999999999, ""cap_income_q5"": 0.7974285714285714, ""cap_period_2018h1"": 0.81, ""cap_score_low"": 1.0, ""cap_state_top20"": 1.0}",committee_relaxed_after_strict_infeasible,True,True,True,32000,276869,0.4712588189650133,committee_relaxed_after_strict_infeasible,committee_relaxed_feasible_frontier,False,relaxed_or_committee_feasible,False,not attempted in v16 builder because Pyomo full-universe 276k-variable LP is expected to be memory-heavy; column-generation diagnostic retained,False,"restricted master / expanded top-k evidence, not full-universe proof",feasible_labeled,strict,False,column-generation/restricted-master diagnostic; not full-universe exact optimality,1.0,38798.70435513796,strict,restricted_master_pricing_diagnostic,False,True,column_generation_v2,False,pricing/warm-start diagnostic over expanded top-k artifacts,committee_or_relaxed_feasible,0.7066666666666667,True
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,TerminationCondition.optimal,6.326248908007983,350,1000000.0,135633.49524334646,300000.0,0.19000000000019,0.8193594549063339,0.4693625,True,3,32000,276869,1.7777777777777777,cvar_mdcp_column_generation_lp_committee_relaxed,score_returnpd_lowtail_audit_anchor_column_generation,False,False,0.19,0.055,0.055,300000.0,105000.0,0.9,146554.56327069912,0.3624163938596344,0.6859999999999999,0.06015,0.6859999999999999,0.9620336061403656,1.0,0.47565,0.7974285714285714,0.17205,0.81,1.0,1.0,0.4108446122726732,"{""cap_dti_high"": 0.6859999999999999, ""cap_grade_dplus"": 0.6859999999999999, ""cap_income_q5"": 0.7974285714285714, ""cap_period_2018h1"": 0.81, ""cap_score_low"": 1.0, ""cap_state_top20"": 1.0}",committee_relaxed_after_strict_infeasible,True,True,True,32000,276869,0.4108446122726732,committee_relaxed_after_strict_infeasible,committee_relaxed_feasible_frontier,False,relaxed_or_committee_feasible,False,not attempted in v16 builder because Pyomo full-universe 276k-variable LP is expected to be memory-heavy; column-generation diagnostic retained,False,"restricted master / expanded top-k evidence, not full-universe proof",feasible_labeled,strict,False,column-generation/restricted-master diagnostic; not full-universe exact optimality,1.0,30633.495243346464,strict,restricted_master_pricing_diagnostic,False,True,column_generation_v2,False,pricing/warm-start diagnostic over expanded top-k artifacts,committee_or_relaxed_feasible,0.5566666666666666,True
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,TerminationCondition.optimal,6.623878953003441,350,1000000.0,135633.49524334646,307395.4792324827,0.19000000000019,0.8193594549063339,0.4693625,True,3,32000,276869,1.7777777777777777,cvar_mdcp_column_generation_lp_committee_relaxed,score_returnpd_lowtail_audit_anchor_column_generation,False,False,0.19,0.055,0.055,360000.0,125000.0,0.9,146554.56327069912,0.3624163938596344,0.6859999999999999,0.06015,0.6859999999999999,0.9620336061403656,1.0,0.47565,0.7974285714285714,0.17205,0.81,1.0,1.0,0.4092011724432326,"{""cap_dti_high"": 0.6859999999999999, ""cap_grade_dplus"": 0.6859999999999999, ""cap_income_q5"": 0.7974285714285714, ""cap_period_2018h1"": 0.81, ""cap_score_low"": 1.0, ""cap_state_top20"": 1.0}",committee_relaxed_after_strict_infeasible,False,True,False,32000,276869,0.4092011724432326,committee_relaxed_after_strict_infeasible,committee_relaxed_feasible_frontier,False,relaxed_or_committee_feasible,False,not attempted in v16 builder because Pyomo full-universe 276k-variable LP is expected to be memory-heavy; column-generation diagnostic retained,False,"restricted master / expanded top-k evidence, not full-universe proof",feasible_labeled,strict,False,column-generation/restricted-master diagnostic; not full-universe exact optimality,1.0,28045.07751197752,strict,restricted_master_pricing_diagnostic,False,False,column_generation_v2,False,pricing/warm-start diagnostic over expanded top-k artifacts,committee_or_relaxed_feasible,0.6566666666666667,True
v13_cvar_mdcp_colgen_r1_k32000_floor80000_cap90000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",3.908638884997345,0,0.0,,,,,,False,1,32000,276869,1.7777777777777777,cvar_mdcp_column_generation_lp,score_returnpd_lowtail_audit_anchor_column_generation,False,False,,,,,,,,,,,,,,,,,,,,,,,False,False,False,32000,276869,,,strict_or_committee_strict_attempt,False,strict_or_committee_strict,False,not attempted in v16 builder because Pyomo full-universe 276k-variable LP is expected to be memory-heavy; column-generation diagnostic retained,False,"restricted master / expanded top-k evidence, not full-universe proof",strict_infeasible_or_no_solution,diagnostic,False,column-generation/restricted-master diagnostic; not full-universe exact optimality,1.0,,diagnostic,restricted_master_pricing_diagnostic,False,False,column_generation_v2,False,pricing/warm-start diagnostic over expanded top-k artifacts,strict_infeasible_or_no_solution,0.5066666666666667,False
v13_cvar_mdcp_colgen_r1_k32000_floor80000_cap105000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",5.582620399000007,0,0.0,,,,,,False,1,32000,276869,1.7777777777777777,cvar_mdcp_column_generation_lp,score_returnpd_lowtail_audit_anchor_column_generation,False,False,,,,,,,,,,,,,,,,,,,,,,,False,False,False,32000,276869,,,strict_or_committee_strict_attempt,False,strict_or_committee_strict,False,not attempted in v16 builder because Pyomo full-universe 276k-variable LP is expected to be memory-heavy; column-generation diagnostic retained,False,"restricted master / expanded top-k evidence, not full-universe proof",strict_infeasible_or_no_solution,diagnostic,False,column-generation/restricted-master diagnostic; not full-universe exact optimality,1.0,,diagnostic,restricted_master_pricing_diagnostic,False,False,column_generation_v2,False,pricing/warm-start diagnostic over expanded top-k artifacts,strict_infeasible_or_no_solution,0.5066666666666667,False
v13_cvar_mdcp_colgen_r1_k32000_floor95000_cap125000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",3.5316240240063053,0,0.0,,,,,,False,1,32000,276869,1.7777777777777777,cvar_mdcp_column_generation_lp,score_returnpd_lowtail_audit_anchor_column_generation,False,False,,,,,,,,,,,,,,,,,,,,,,,False,False,False,32000,276869,,,strict_or_committee_strict_attempt,False,strict_or_committee_strict,False,not attempted in v16 builder because Pyomo full-universe 276k-variable LP is expected to be memory-heavy; column-generation diagnostic retained,False,"restricted master / expanded top-k evidence, not full-universe proof",strict_infeasible_or_no_solution,diagnostic,False,column-generation/restricted-master diagnostic; not full-universe exact optimality,1.0,,diagnostic,restricted_master_pricing_diagnostic,False,False,column_generation_v2,False,pricing/warm-start diagnostic over expanded top-k artifacts,strict_infeasible_or_no_solution,0.5066666666666667,False
v13_cvar_mdcp_colgen_r1_k32000_floor110000_cap150000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",3.640681503995438,0,0.0,,,,,,False,1,32000,276869,1.7777777777777777,cvar_mdcp_column_generation_lp,score_returnpd_lowtail_audit_anchor_column_generation,False,False,,,,,,,,,,,,,,,,,,,,,,,False,False,False,32000,276869,,,strict_or_committee_strict_attempt,False,strict_or_committee_strict,False,not attempted in v16 builder because Pyomo full-universe 276k-variable LP is expected to be memory-heavy; column-generation diagnostic retained,False,"restricted master / expanded top-k evidence, not full-universe proof",strict_infeasible_or_no_solution,diagnostic,False,column-generation/restricted-master diagnostic; not full-universe exact optimality,1.0,,diagnostic,restricted_master_pricing_diagnostic,False,False,column_generation_v2,False,pricing/warm-start diagnostic over expanded top-k artifacts,strict_infeasible_or_no_solution,0.5066666666666667,False
v13_cvar_mdcp_colgen_r1_k32000_floor125000_cap175000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",3.664915760993608,0,0.0,,,,,,False,1,32000,276869,1.7777777777777777,cvar_mdcp_column_generation_lp,score_returnpd_lowtail_audit_anchor_column_generation,False,False,,,,,,,,,,,,,,,,,,,,,,,False,False,False,32000,276869,,,strict_or_committee_strict_attempt,False,strict_or_committee_strict,False,not attempted in v16 builder because Pyomo full-universe 276k-variable LP is expected to be memory-heavy; column-generation diagnostic retained,False,"restricted master / expanded top-k evidence, not full-universe proof",strict_infeasible_or_no_solution,diagnostic,False,column-generation/restricted-master diagnostic; not full-universe exact optimality,1.0,,diagnostic,restricted_master_pricing_diagnostic,False,False,column_generation_v2,False,pricing/warm-start diagnostic over expanded top-k artifacts,strict_infeasible_or_no_solution,0.5066666666666667,False
v13_cvar_mdcp_colgen_r1_k32000_floor145000_cap210000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",3.5980909320060164,0,0.0,,,,,,False,1,32000,276869,1.7777777777777777,cvar_mdcp_column_generation_lp,score_returnpd_lowtail_audit_anchor_column_generation,False,False,,,,,,,,,,,,,,,,,,,,,,,False,False,False,32000,276869,,,strict_or_committee_strict_attempt,False,strict_or_committee_strict,False,not attempted in v16 builder because Pyomo full-universe 276k-variable LP is expected to be memory-heavy; column-generation diagnostic retained,False,"restricted master / expanded top-k evidence, not full-universe proof",strict_infeasible_or_no_solution,diagnostic,False,column-generation/restricted-master diagnostic; not full-universe exact optimality,1.0,,diagnostic,restricted_master_pricing_diagnostic,False,False,column_generation_v2,False,pricing/warm-start diagnostic over expanded top-k artifacts,strict_infeasible_or_no_solution,0.5066666666666667,False
v13_cvar_mdcp_colgen_r1_k32000_floor160000_cap250000,"infeasible_or_no_solution: A feasible solution was not found, so no solution can be loaded. If using the appsi.solvers.Highs interface, you can set opt.config.load_solution=False. If using the environ.SolverFactory interface, you can set opt.solve(model, load_solutions = False). Then you can check results.termination_condition and results.best_feasible_objective before loading a solution.",3.655865954991896,0,0.0,,,,,,False,1,32000,276869,1.7777777777777777,cvar_mdcp_column_generation_lp,score_returnpd_lowtail_audit_anchor_column_generation,False,False,,,,,,,,,,,,,,,,,,,,,,,False,False,False,32000,276869,,,strict_or_committee_strict_attempt,False,strict_or_committee_strict,False,not attempted in v16 builder because Pyomo full-universe 276k-variable LP is expected to be memory-heavy; column-generation diagnostic retained,False,"restricted master / expanded top-k evidence, not full-universe proof",strict_infeasible_or_no_solution,diagnostic,False,column-generation/restricted-master diagnostic; not full-universe exact optimality,1.0,,diagnostic,restricted_master_pricing_diagnostic,False,False,column_generation_v2,False,pricing/warm-start diagnostic over expanded top-k artifacts,strict_infeasible_or_no_solution,0.5066666666666667,False
