policy_id,source,wealth_gap_vs_champion,loss_p95_gap_vs_champion,capital_deployment,tail_losses,reinvestment_proxy,diagnosis_v28,claim_boundary
v13_fvi_bellman_rollout,dynamic_adapter,-78059.98792704334,-91899.92839221522,998650.0,49572.17282524605,123192.36973750246,tail controlled but wealth gap remains,"diagnostic decomposition, not Bellman proof"
v13_fvi_capital_guarded,dynamic_adapter,-79815.79762541689,-92087.53352551635,999425.0,49384.56769194493,121614.75953721664,tail controlled but wealth gap remains,"diagnostic decomposition, not Bellman proof"
v13_fvi_return_recovery,dynamic_adapter,-71589.54317146237,-88761.24624580366,998375.0,52710.85497165763,130850.25038978734,tail controlled but wealth gap remains,"diagnostic decomposition, not Bellman proof"
v24_adp_rollout_reinvestment_value,endogenous_adp_rollout,-192856.33903860324,289980.988517257,2384458.3384973924,431453.08973471826,296521.0725909585,adapter/policy needs more capital-risk discipline,"diagnostic decomposition, not Bellman proof"
v24_adp_rollout_return_value,endogenous_adp_rollout,-184967.48913594708,299358.92593394796,2385056.460257633,440831.02715140925,309824.4519851394,adapter/policy needs more capital-risk discipline,"diagnostic decomposition, not Bellman proof"
v24_adp_rollout_source_ecl_value,endogenous_adp_rollout,-334655.97336132766,444893.2492593739,2386173.9854172245,586365.3504768352,283927.5696687227,adapter/policy needs more capital-risk discipline,"diagnostic decomposition, not Bellman proof"
v24_adp_rollout_tail_value,endogenous_adp_rollout,-199884.5568424334,284836.8969482784,2383496.40203269,426308.9981657397,286021.7970959787,adapter/policy needs more capital-risk discipline,"diagnostic decomposition, not Bellman proof"
v28_adp_depth2_reinvestment_guarded,endogenous_adp_rollout,-250133.7858509887,347936.62651231256,2385504.046125865,489408.72772977385,289714.56470643793,adapter/policy needs more capital-risk discipline,"diagnostic decomposition, not Bellman proof"
v28_adp_depth2_tail_source,endogenous_adp_rollout,-264619.12667222705,356448.21807736246,2385320.4616958457,497920.31929482374,281934.5674636986,adapter/policy needs more capital-risk discipline,"diagnostic decomposition, not Bellman proof"
v28_adp_depth3_balanced,endogenous_adp_rollout,-271881.9461309351,369324.1447637456,2385920.1565547595,510796.2459812069,285421.8688822079,adapter/policy needs more capital-risk discipline,"diagnostic decomposition, not Bellman proof"
