candidate_pair_index_v301,repair_profile_v301,added_loan_id_v301,dropped_loan_id_v301,added_loan_amount_v301,dropped_loan_amount_v301,added_mean_return_v301,dropped_mean_return_v301,return_delta_v301,objective_return_after_repair_v301,exposure_after_repair_v301,cvar90_after_repair_v301,imputation_reduction_v301,imputed_proxy_loan_rows_after_v301,grade_A_exposure_delta_v301,score0_exposure_delta_v301,return_improving_repair_v301,budget_feasible_v301,source_feasible_v301,cvar_feasible_v301,added_proxy_source_v301,dropped_proxy_source_v301,added_grade_v301,dropped_grade_v301,added_score_decile_v301,dropped_score_decile_v301,added_period_v301,dropped_period_v301,claim_boundary_v301,repair_rank_v301
671,no_tight_relief,156707196,143080063,1000.0,1000.0,-158.460227701337,-156.12567534075419,-2.334552360582819,3247.6240955865937,842775.0,97216.88567393793,1,75,0.0,0.0,False,True,True,True,observed_v47_proxy,imputed_grade_score_period,D,E,2,2,2019,2018,one-swap imputation/source relief candidate only; no branch-price termination,1
596,no_tight_relief,153939446,143080063,1000.0,1000.0,-158.5530158334477,-156.12567534075419,-2.427340492693503,3247.531307454483,842775.0,97225.57387202041,1,75,0.0,0.0,False,True,True,True,observed_v47_proxy,imputed_grade_score_period,D,E,3,2,2019,2018,one-swap imputation/source relief candidate only; no branch-price termination,2
326,no_tight_relief,139555921,163435863,1000.0,1000.0,20.061689374742194,22.968344573318117,-2.9066551985759226,3247.0519927486002,842775.0,97204.44467472794,1,75,0.0,0.0,False,True,True,True,observed_v47_proxy,imputed_grade_score_period,A,A,0,0,2018,2019,one-swap imputation/source relief candidate only; no branch-price termination,3
670,no_tight_relief,156707196,161494495,1000.0,1000.0,-158.460227701337,-154.69251192380827,-3.7677157775287355,3246.1909321696476,842775.0,97213.97102433356,1,75,0.0,0.0,False,True,True,True,observed_v47_proxy,imputed_grade_score_period,D,D,2,3,2019,2019,one-swap imputation/source relief candidate only; no branch-price termination,4
407,no_tight_relief,136288831,143080063,1000.0,1000.0,-159.91299271774713,-156.12567534075419,-3.787317376992945,3246.1713305701833,842775.0,97177.24905672288,1,75,0.0,0.0,False,True,True,True,observed_v47_proxy,imputed_grade_score_period,D,E,1,2,2018,2018,one-swap imputation/source relief candidate only; no branch-price termination,5
595,no_tight_relief,153939446,161494495,1000.0,1000.0,-158.5530158334477,-154.69251192380827,-3.8605039096394194,3246.098144037537,842775.0,97222.65922241608,1,75,0.0,0.0,False,True,True,True,observed_v47_proxy,imputed_grade_score_period,D,D,3,3,2019,2019,one-swap imputation/source relief candidate only; no branch-price termination,6
327,relieves_grade_A_and_score0,139555921,152791402,1000.0,1100.0,20.061689374742194,24.766249859780725,-4.704560485038531,3245.2540874621377,842675.0,97197.29074860565,1,75,-100.0,-100.0,False,True,True,True,observed_v47_proxy,imputed_grade_score_period,A,A,0,0,2018,2019,one-swap imputation/source relief candidate only; no branch-price termination,7
578,no_tight_relief,145977956,133763576,3000.0,3000.0,68.37566207938511,73.31323703811194,-4.937574958726827,3245.0210729884493,842775.0,97209.51755788931,1,75,0.0,0.0,False,True,True,True,observed_v47_proxy,imputed_grade_score_period,A,A,0,0,2019,2018,one-swap imputation/source relief candidate only; no branch-price termination,8
406,no_tight_relief,136288831,161494495,1000.0,1000.0,-159.91299271774713,-154.69251192380827,-5.2204807939388616,3244.7381671532376,842775.0,97174.33440711853,1,75,0.0,0.0,False,True,True,True,observed_v47_proxy,imputed_grade_score_period,D,D,1,3,2018,2019,one-swap imputation/source relief candidate only; no branch-price termination,9
582,no_tight_relief,146052690,163435863,1000.0,1000.0,17.391887359795025,22.968344573318117,-5.576457213523092,3244.3821907336533,842775.0,97224.98310108834,1,75,0.0,0.0,False,True,True,True,observed_v47_proxy,imputed_grade_score_period,A,A,0,0,2019,2019,one-swap imputation/source relief candidate only; no branch-price termination,10
691,no_tight_relief,154203841,160039313,1200.0,1200.0,26.59331458881813,33.84784116416046,-7.254526575342325,3242.704121371834,842775.0,97187.61625071162,1,75,0.0,0.0,False,True,True,True,observed_v47_proxy,imputed_grade_score_period,A,A,0,0,2019,2019,one-swap imputation/source relief candidate only; no branch-price termination,11
325,no_tight_relief,139555921,148096150,1000.0,1000.0,20.061689374742194,27.38487574759364,-7.3231863728514455,3242.635461574325,842775.0,97223.50853591616,1,75,0.0,0.0,False,True,True,True,observed_v47_proxy,imputed_grade_score_period,A,A,0,0,2018,2019,one-swap imputation/source relief candidate only; no branch-price termination,12
583,relieves_grade_A_and_score0,146052690,152791402,1000.0,1100.0,17.391887359795025,24.766249859780725,-7.3743624999857005,3242.5842854471907,842675.0,97217.82917496607,1,75,-100.0,-100.0,False,True,True,True,observed_v47_proxy,imputed_grade_score_period,A,A,0,0,2019,2019,one-swap imputation/source relief candidate only; no branch-price termination,13
310,no_tight_relief,140423185,163435863,1000.0,1000.0,15.478716504077878,22.968344573318117,-7.489628069240238,3242.4690198779363,842775.0,97221.23961345342,1,75,0.0,0.0,False,True,True,True,observed_v47_proxy,imputed_grade_score_period,A,A,0,0,2018,2019,one-swap imputation/source relief candidate only; no branch-price termination,14
550,relieves_grade_A_and_score0,148145784,152791402,1000.0,1100.0,17.206177509043172,24.766249859780725,-7.560072350737553,3242.3985755964386,842675.0,97225.92275191208,1,75,-100.0,-100.0,False,True,True,True,observed_v47_proxy,imputed_grade_score_period,A,A,0,0,2019,2019,one-swap imputation/source relief candidate only; no branch-price termination,15
