frontier_step_v302,added_loan_id_v302,dropped_loan_id_v302,repair_profile_v302,return_delta_v302,cumulative_return_delta_v302,objective_return_after_step_v302,exposure_after_step_v302,cvar90_after_step_v302,imputed_proxy_loan_rows_after_step_v302,feasible_pair_rows_before_step_v302,return_improving_pair_rows_before_step_v302,grade_A_exposure_delta_v302,score0_exposure_delta_v302,claim_boundary_v302
1,156707196,143080063,no_tight_relief,-2.334552360582819,-2.334552360582819,3247.6240955865937,842775.0,97216.88567393793,75,745,0,0.0,0.0,greedy frontier step only; not globally optimal or promoted
2,131401335,158523975,no_tight_relief,-1.6363496768410926,-3.9709020374239117,3245.9877459097524,842775.0,97221.10982228302,74,653,0,0.0,0.0,greedy frontier step only; not globally optimal or promoted
3,139555921,163435863,no_tight_relief,-2.9066551985759226,-6.877557235999834,3243.0810907111763,842775.0,97199.14490085245,73,615,0,0.0,0.0,greedy frontier step only; not globally optimal or promoted
4,153939446,161494495,no_tight_relief,-3.8605039096394194,-10.738061145639254,3239.220586801537,842775.0,97195.39452711004,72,783,0,0.0,0.0,greedy frontier step only; not globally optimal or promoted
5,145977956,133763576,no_tight_relief,-4.937574958726827,-15.675636104366081,3234.28301184281,842775.0,97178.5024888409,71,621,0,0.0,0.0,greedy frontier step only; not globally optimal or promoted
6,147094966,152791402,relieves_grade_A_and_score0,-6.1858454363939614,-21.861481540760042,3228.097166406416,842675.0,97186.15141979678,70,731,0,-100.0,-100.0,greedy frontier step only; not globally optimal or promoted
7,154203841,160039313,no_tight_relief,-7.254526575342325,-29.116008116102368,3220.8426398310735,842675.0,97147.35807434992,69,609,0,0.0,0.0,greedy frontier step only; not globally optimal or promoted
8,146052690,148096150,no_tight_relief,-9.992988387798615,-39.10899650390098,3210.849651443275,842675.0,97164.99544046803,68,693,0,0.0,0.0,greedy frontier step only; not globally optimal or promoted
9,147190807,156899870,relieves_grade_A_and_score0,-10.673833208996577,-49.78282971289756,3200.1758182342783,842425.0,97148.04436127681,67,526,0,-250.0,-250.0,greedy frontier step only; not globally optimal or promoted
10,135864433,159446051,tight_exposure_increase,-5.986229335478875,-55.769059048376434,3194.1895888987992,842600.0,97165.68025212026,66,559,0,175.0,175.0,greedy frontier step only; not globally optimal or promoted
11,151810745,142905254,no_tight_relief,-10.695967924719866,-66.4650269730963,3183.4936209740795,842600.0,97170.45184023306,65,401,0,0.0,0.0,greedy frontier step only; not globally optimal or promoted
12,144603743,142121332,no_tight_relief,-13.392396528315103,-79.8574235014114,3170.1012244457643,842600.0,97166.59879199325,64,385,0,0.0,0.0,greedy frontier step only; not globally optimal or promoted
13,141276527,138253214,no_tight_relief,-14.217209925674098,-94.0746334270855,3155.88401452009,842600.0,97208.09170095295,63,386,0,0.0,0.0,greedy frontier step only; not globally optimal or promoted
14,156192909,153077076,no_tight_relief,-16.16538744840625,-110.24002087549175,3139.718627071684,842600.0,97225.09578512455,62,300,0,0.0,0.0,greedy frontier step only; not globally optimal or promoted
15,145636554,158700271,no_tight_relief,-19.28859326253064,-129.5286141380224,3120.4300338091534,842600.0,97093.78314579456,61,188,0,0.0,0.0,greedy frontier step only; not globally optimal or promoted
