reward_per_imputation_reduced_v303,selected_frontier_step_v303,selected_imputed_rows_v303,selected_imputed_rows_reduced_v303,selected_objective_return_v303,selected_cvar90_v303,selected_cumulative_return_delta_v303,selected_utility_v303,claim_boundary_v303
0.0,0,76,0,3249.9586479471764,97226.40959615848,0.0,3249.9586479471764,reward-grid choice over v302 greedy prefixes only; not global optimum
1.0,0,76,0,3249.9586479471764,97226.40959615848,0.0,3249.9586479471764,reward-grid choice over v302 greedy prefixes only; not global optimum
1.5,0,76,0,3249.9586479471764,97226.40959615848,0.0,3249.9586479471764,reward-grid choice over v302 greedy prefixes only; not global optimum
2.0,2,74,2,3245.9877459097524,97221.10982228302,-3.970902037423912,3249.9877459097524,reward-grid choice over v302 greedy prefixes only; not global optimum
2.5,2,74,2,3245.9877459097524,97221.10982228302,-3.970902037423912,3250.9877459097524,reward-grid choice over v302 greedy prefixes only; not global optimum
3.0,3,73,3,3243.0810907111763,97199.14490085244,-6.877557235999834,3252.0810907111763,reward-grid choice over v302 greedy prefixes only; not global optimum
4.0,4,72,4,3239.220586801537,97195.39452711004,-10.738061145639254,3255.220586801537,reward-grid choice over v302 greedy prefixes only; not global optimum
5.0,5,71,5,3234.28301184281,97178.5024888409,-15.67563610436608,3259.28301184281,reward-grid choice over v302 greedy prefixes only; not global optimum
6.0,5,71,5,3234.28301184281,97178.5024888409,-15.67563610436608,3264.28301184281,reward-grid choice over v302 greedy prefixes only; not global optimum
7.5,7,69,7,3220.842639831073,97147.35807434992,-29.116008116102368,3273.342639831073,reward-grid choice over v302 greedy prefixes only; not global optimum
8.0,7,69,7,3220.842639831073,97147.35807434992,-29.116008116102368,3276.842639831073,reward-grid choice over v302 greedy prefixes only; not global optimum
8.5,7,69,7,3220.842639831073,97147.35807434992,-29.116008116102368,3280.342639831073,reward-grid choice over v302 greedy prefixes only; not global optimum
9.0,10,66,10,3194.1895888987992,97165.68025212026,-55.769059048376434,3284.1895888987992,reward-grid choice over v302 greedy prefixes only; not global optimum
10.0,10,66,10,3194.1895888987992,97165.68025212026,-55.769059048376434,3294.1895888987992,reward-grid choice over v302 greedy prefixes only; not global optimum
12.0,11,65,11,3183.4936209740795,97170.45184023306,-66.4650269730963,3315.4936209740795,reward-grid choice over v302 greedy prefixes only; not global optimum
15.0,13,63,13,3155.88401452009,97208.09170095297,-94.0746334270855,3350.88401452009,reward-grid choice over v302 greedy prefixes only; not global optimum
20.0,15,61,15,3120.430033809153,97093.78314579456,-129.5286141380224,3420.430033809153,reward-grid choice over v302 greedy prefixes only; not global optimum
