policy_id,regime_v313,added_loan_id_v313,dropped_loan_id_v313,added_loan_amount_v313,dropped_loan_amount_v313,added_mean_return_v313,dropped_mean_return_v313,return_delta_v313,objective_return_after_swap_v313,exposure_after_swap_v313,budget_swap_feasible_v313,source_swap_feasible_v313,source_min_slack_after_swap_v313,max_source_share_after_swap_v313,source_cap_violations_after_swap_v313,first_source_block_family_v313,first_source_block_id_v313,loss_mean_after_swap_v313,cvar90_after_swap_v313,cvar_swap_feasible_v313,one_swap_improves_return_v313,integer_screen_scope_v313,claim_boundary_v313,added_grade_v313,dropped_grade_v313,added_score_decile_v313,dropped_score_decile_v313,added_income_band_v313,dropped_income_band_v313,added_dti_band_v313,dropped_dti_band_v313,added_period_v313,dropped_period_v313,added_state_top20_v313,dropped_state_top20_v313,added_observed_v47_proxy_v313,dropped_observed_v47_proxy_v313,delta_missing_v47_proxy_rows_v313
v312_post_v310_best_one_swap_repair_candidate,post_v312_repair_candidate,131848660,138011934,2000.0,1800.0,36.599201666225746,34.06123562199026,2.537966044235489,4419.259872201748,846475.0,True,True,8.6751011588726e-06,0.8997312383708911,0,,,60482.513167942845,97011.95781352991,True,True,post_v312_repair_one_drop_one_add_whole_loan_swap,post-v312 one-swap pricing only; not multi-swap or global proof,A,A,0,0,3,0,0,1,2018,2018,TX,FL,True,True,0
v312_post_v310_best_one_swap_repair_candidate,post_v312_repair_candidate,164933272,147094966,1200.0,1000.0,20.541595013872225,18.580404423386764,1.9611905904854616,4418.683096747998,846475.0,True,True,8.6751011588726e-06,0.8997312383708911,0,,,60489.506625705384,97016.99192395751,True,True,post_v312_repair_one_drop_one_add_whole_loan_swap,post-v312 one-swap pricing only; not multi-swap or global proof,A,A,0,0,2,1,0,1,2020,2019,NY,TX,False,True,1
v312_post_v310_best_one_swap_repair_candidate,post_v312_repair_candidate,164875488,156899870,3000.0,2750.0,66.49988425124407,65.74189635588623,0.757987895357843,4417.47989405287,846525.0,True,True,0.0,0.8997371607454003,0,,,60473.38309192695,96985.4369287122,True,True,post_v312_repair_one_drop_one_add_whole_loan_swap,post-v312 one-swap pricing only; not multi-swap or global proof,A,A,0,0,2,3,0,2,2020,2019,other,NC,False,False,0
v312_post_v310_best_one_swap_repair_candidate,post_v312_repair_candidate,129082051,144622469,1500.0,1500.0,27.50472791272188,27.006608529691615,0.4981193830302644,4417.220025540542,846275.0,True,True,4.338575671913869e-05,0.8997075418746862,0,,,60476.167973687116,96995.87870092998,True,True,post_v312_repair_one_drop_one_add_whole_loan_swap,post-v312 one-swap pricing only; not multi-swap or global proof,A,A,0,0,2,2,1,3,2018,2018,other,other,False,True,1
v312_post_v310_best_one_swap_repair_candidate,post_v312_repair_candidate,134887544,146052690,1200.0,1000.0,17.630963201214424,17.391887359795025,0.23907584141939964,4416.960981998932,846475.0,True,True,8.6751011588726e-06,0.8997312383708911,0,,,60493.0256157562,97022.37227601511,True,True,post_v312_repair_one_drop_one_add_whole_loan_swap,post-v312 one-swap pricing only; not multi-swap or global proof,A,A,0,0,0,1,2,0,2018,2019,other,MD,True,True,0
v312_post_v310_best_one_swap_repair_candidate,post_v312_repair_candidate,131848660,139540494,2000.0,1750.0,36.599201666225746,36.53775388213632,0.06144778408942386,4416.7833539416015,846525.0,True,True,0.0,0.8997371607454003,0,,,60467.98398202933,96984.47904931687,True,True,post_v312_repair_one_drop_one_add_whole_loan_swap,post-v312 one-swap pricing only; not multi-swap or global proof,A,A,0,0,3,4,0,0,2018,2018,TX,FL,True,True,0
v312_post_v310_best_one_swap_repair_candidate,post_v312_repair_candidate,153611978,143261301,2400.0,2200.0,52.897187573314156,45.41923329018861,7.477954283125548,4424.199860440638,846475.0,True,True,8.6751011588726e-06,0.8997312383708911,0,,,60496.91975995122,97037.19363268014,False,False,post_v312_repair_one_drop_one_add_whole_loan_swap,post-v312 one-swap pricing only; not multi-swap or global proof,A,A,0,0,4,2,0,0,2019,2018,other,CA,False,True,1
v312_post_v310_best_one_swap_repair_candidate,post_v312_repair_candidate,169242824,136360475,1200.0,1000.0,20.629795558745563,14.024583409971672,6.605212148773891,4423.327118306286,846475.0,True,True,8.6751011588726e-06,0.8997312383708911,0,,,60518.01810950674,97069.91641208042,False,False,post_v312_repair_one_drop_one_add_whole_loan_swap,post-v312 one-swap pricing only; not multi-swap or global proof,A,A,0,0,0,2,3,2,2020,2018,other,NC,False,True,1
v312_post_v310_best_one_swap_repair_candidate,post_v312_repair_candidate,164933272,136360475,1200.0,1000.0,20.541595013872225,14.024583409971672,6.517011603900553,4423.238917761413,846475.0,True,True,8.6751011588726e-06,0.8997312383708911,0,,,60500.38864745642,97038.42563085038,False,False,post_v312_repair_one_drop_one_add_whole_loan_swap,post-v312 one-swap pricing only; not multi-swap or global proof,A,A,0,0,2,2,0,2,2020,2018,NY,NC,False,True,1
v312_post_v310_best_one_swap_repair_candidate,post_v312_repair_candidate,149467955,138011934,2000.0,1800.0,40.32734908233142,34.06123562199026,6.266113460341167,4422.988019617854,846475.0,True,True,8.6751011588726e-06,0.8997312383708911,0,,,60513.72998133871,97069.6716485579,False,False,post_v312_repair_one_drop_one_add_whole_loan_swap,post-v312 one-swap pricing only; not multi-swap or global proof,A,A,0,0,4,0,0,1,2019,2018,CA,FL,False,True,1
