policy_id,n_paths,final_wealth_mean,final_wealth_p05,final_wealth_p95,final_cash_mean,outstanding_principal_mean,cumulative_funded_exposure_mean,cumulative_losses_mean,cumulative_losses_p95,cumulative_defaults_mean,cumulative_recoveries_mean,cumulative_realized_return_mean,ECL_final_mean,stage2_share_proxy_final_mean,source_exposure_weak_share_final_mean,no_temporal_leakage_rate,dynamic_value_score_v15,dynamic_governance_gate_pass_v15,paper4_champion_score_v15,online_gate_pass_v15,paper4_working_only,registry_decision_v15,version_v31,claim_scope_v31
paper1_economic_champion,512,1171697.9976018553,1103848.9064578202,1226133.2026254116,1163372.8290906586,9402.078450520841,1000000.0,92289.55420095882,143120.49702547275,114.05859375,87184.97255148152,265064.46174213337,1076.909939324241,0.4571081021785554,0.32162109375000003,1.0,0.46071428571428574,True,0.46071428571428574,True,True,paper4_dynamic_challenger,dynamic_512_path_scale_candidate,larger internal replay; no forecast or production claim
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,512,1171006.6531962755,1120037.2664159024,1211999.2647096247,1163167.9943413578,8627.44140625001,1000000.0,65375.34876045494,106160.4790877281,91.5234375,58218.91523203323,237170.7845080601,788.7825513323551,0.4174032616321238,0.5897023779080309,1.0,0.43392857142857144,True,0.43392857142857144,True,True,paper4_dynamic_challenger,dynamic_512_path_scale_candidate,larger internal replay; no forecast or production claim
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,512,1171006.6531962755,1120037.2664159024,1211999.2647096247,1163167.9943413578,8627.44140625001,1000000.0,65375.34876045494,106160.4790877281,91.5234375,58218.91523203323,237170.7845080601,788.7825513323551,0.4174032616321238,0.5897023779080309,1.0,0.43392857142857144,True,0.43392857142857144,True,True,paper4_dynamic_challenger,dynamic_512_path_scale_candidate,larger internal replay; no forecast or production claim
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,512,1149437.1261117912,1104304.3543906405,1188835.033220264,1141598.4672568736,8627.44140625001,1000000.0,64483.42620294251,99892.11157758518,94.201171875,57379.23596754369,214709.33486606154,788.7825513323551,0.4174032616321238,0.5897023779080309,1.0,0.48214285714285715,True,0.48214285714285715,True,True,paper4_dynamic_challenger,dynamic_512_path_scale_candidate,larger internal replay; no forecast or production claim
v13_fvi_bellman_rollout,512,1092184.3726371606,1071926.2330746949,1107367.3365829359,1092184.3726371606,0.0,998650.0,30995.60370774093,50682.53606614495,85.673828125,29197.431502762505,123179.97634489721,0.0,0.0,0.0,1.0,0.5553571428571429,True,0.5553571428571429,True,True,paper4_dynamic_challenger,dynamic_512_path_scale_candidate,larger internal replay; no forecast or production claim
v13_fvi_capital_guarded,512,1090590.7968100267,1069799.6589437015,1105394.333747268,1090590.7968100267,0.0,999425.0,31041.34135313518,50780.58706923732,86.39453125,29227.71789165645,121632.13816315704,0.0,0.0,0.0,1.0,0.6232142857142857,True,0.6232142857142857,True,True,paper4_working_champion_candidate,dynamic_512_path_scale_candidate,larger internal replay; no forecast or production claim
v13_fvi_return_recovery,512,1098844.6900711886,1077488.0773789026,1114217.8927564442,1098844.6900711886,0.0,998375.0,32033.784648582357,52125.957530239364,85.53125,30215.455802806497,130878.47471976827,0.0,0.0,0.0,1.0,0.5410714285714286,True,0.5410714285714286,True,True,paper4_dynamic_challenger,dynamic_512_path_scale_candidate,larger internal replay; no forecast or production claim
v13_mdcp_empirical_base,512,1100210.3141224391,1066707.2642950092,1133338.4954117576,1100210.3141224391,0.0,1000000.0,56159.32264208348,81939.60690643964,77.755859375,50349.98296072126,156369.63676451915,0.0,0.0,0.0,1.0,0.5625000000000001,True,0.5625000000000001,True,True,paper4_dynamic_challenger,dynamic_512_path_scale_candidate,larger internal replay; no forecast or production claim
v13_mdcp_empirical_return_recovery,512,1127705.9890747329,1086787.8593567188,1163970.1305865622,1124102.2684255736,4067.3828125000055,1000000.0000000001,58884.4155833883,91688.26579655884,78.359375,53553.440360206485,187054.0668214552,463.66216334072,0.697265625,0.5229492187499999,1.0,0.5178571428571429,True,0.5178571428571429,True,True,paper4_dynamic_challenger,dynamic_512_path_scale_candidate,larger internal replay; no forecast or production claim
v13_mdcp_empirical_tight,512,1064161.8378418759,1034906.931170971,1091259.001212484,1064161.8378418759,0.0,850000.0,46779.50055179419,68938.22683896175,69.3203125,40949.15582699062,110941.338393672,0.0,0.0,0.0,1.0,0.6660714285714285,False,-1.0,True,True,paper4_dynamic_challenger,dynamic_512_path_scale_candidate,larger internal replay; no forecast or production claim
