policy_id,horizon_months,n_paths,wealth_mean,wealth_p05,loss_mean,loss_p95,defaults_mean,realized_return_mean,no_temporal_leakage_rate
paper1_economic_champion,12,512,966673.8500802948,935392.859416444,5252.336078808362,11458.591307747627,5.107421875,19108.645204259454,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,12,512,974414.2454253777,943466.0296877205,6348.874155244932,14599.466787328802,5.0390625,24885.097567347868,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,12,512,974414.2454253779,943466.0296877205,6348.874155244932,14599.466787328802,5.0390625,24885.097567347868,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,12,512,985373.970694452,961222.5632897277,5953.356850692427,13229.150788847988,5.21875,26738.33735675442,1.0
v13_fvi_bellman_rollout,12,512,976764.231084325,941432.6545292503,7846.120646501517,13734.029156799032,11.673828125,32969.990187038915,1.0
v13_fvi_capital_guarded,12,512,976586.1981964965,940119.0860638685,7910.124452230499,14196.25080003045,11.90234375,32792.664254851225,1.0
v13_fvi_return_recovery,12,512,975655.2033030563,938026.0300395641,7903.91071225807,14205.742621908697,11.509765625,33963.583193585466,1.0
v13_mdcp_empirical_base,12,512,992918.2980292141,968904.5130898183,7361.602936806401,16808.469877317457,5.15234375,35575.370685041395,1.0
v13_mdcp_empirical_return_recovery,12,512,989957.388364951,966098.7733922788,5926.403300103635,14011.562256182597,4.63671875,29753.664405265445,1.0
v13_mdcp_empirical_tight,12,512,983996.1145036282,962632.3800514138,5298.83287899458,12964.042332445271,3.583984375,26002.33586605545,1.0
v13_spo_regret_audit_guarded,12,512,974549.7992713093,941684.9239388874,8554.497796869387,15916.944874990737,8.015625,26439.67588053384,1.0
v13_spo_regret_balanced,12,512,973283.6178479175,940318.3416175061,6792.08942004392,14155.758842221801,6.158203125,24214.18830144815,1.0
v13_spo_regret_return_recovery,12,512,971227.2008762356,937573.3300063522,5989.223837670186,12675.235000825856,5.392578125,21335.14625166153,1.0
v13_static_reference,12,512,715628.7141019825,594750.5421625526,72012.10386063402,128866.43049155173,5.15234375,117179.30545937097,1.0
paper1_economic_champion,24,512,975055.2226189652,904920.1326530932,33768.269568394404,56961.88922591071,30.263671875,113452.26596964104,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,24,512,1017207.3455511775,962476.6835762715,29307.36309061185,48836.39431064347,26.73046875,113729.11232145765,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,24,512,1017207.3455511774,962476.6835762715,29307.36309061185,48836.39431064347,26.73046875,113729.11232145765,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,24,512,1008376.5244053279,960604.4056782803,26705.032379837667,45543.15175760945,27.173828125,102226.42450288894,1.0
v13_fvi_bellman_rollout,24,512,1041906.2761061969,1011376.8727344974,22075.478346387183,36138.35127645289,40.40625,90814.12005662647,1.0
v13_fvi_capital_guarded,24,512,1040909.3294275828,1010446.6120164235,22132.70080622931,35670.691083288875,40.86328125,89802.85897847425,1.0
v13_fvi_return_recovery,24,512,1045197.9775248095,1012901.4566316375,22691.394615348865,37564.42672535784,40.1484375,95921.20975988245,1.0
v13_mdcp_empirical_base,24,512,1008743.4600270657,970791.900714404,25940.12956406764,44914.06447369511,23.49609375,93019.3563108143,1.0
v13_mdcp_empirical_return_recovery,24,512,1007260.8860267743,963829.5228070006,24980.46714130025,44012.9363327716,22.794921875,96584.70262099283,1.0
v13_mdcp_empirical_tight,24,512,1004691.6463284694,974925.8443515982,23995.767738958148,39927.14037100862,20.923828125,72324.23026315417,1.0
v13_spo_regret_audit_guarded,24,512,1010071.4559790189,961560.2359590458,28308.27149661171,47715.16378147828,28.24609375,94599.38322270146,1.0
v13_spo_regret_balanced,24,512,1010779.2981574682,956830.6654949624,27665.645821858736,48388.81608916653,26.36328125,98741.62538885052,1.0
v13_spo_regret_return_recovery,24,512,1004718.3299489092,948576.5124779381,28108.6234031082,47523.06603003049,26.60546875,97574.79929580109,1.0
v13_static_reference,24,512,926897.4227893044,825785.6000808154,179447.40360675807,254659.18261361663,14.435546875,258838.30722831667,1.0
paper1_economic_champion,36,512,1085351.8488421459,1019616.1014748489,69168.31549782665,110714.13594722428,67.880859375,210269.50783033296,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,36,512,1103913.4812510363,1048434.9530706041,52133.03992764832,86688.32740475457,56.8828125,192641.5193985671,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,36,512,1103913.4812510363,1048434.9530706041,52133.03992764832,86688.32740475457,56.8828125,192641.51939856712,1.0
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,36,512,1087537.598447356,1036461.1436262195,50221.5986952228,80889.29354438442,58.220703125,173761.35914551717,1.0
v13_fvi_bellman_rollout,36,512,1079834.8411150498,1054902.9265750456,29523.343256172368,47819.950452777426,68.765625,118194.64419102304,1.0
v13_fvi_capital_guarded,36,512,1078391.225683836,1053898.6406129992,29581.84336932798,48671.843739396616,69.46484375,116742.39723462015,1.0
v13_fvi_return_recovery,36,512,1085558.2403049474,1060514.6315220392,30480.01685954843,49771.07637804018,68.505859375,125388.92164824184,1.0
v13_mdcp_empirical_base,36,512,1068371.6942231096,1035270.8179983998,45703.31448688776,69525.77688710946,49.060546875,139146.73605856122,1.0
v13_mdcp_empirical_return_recovery,36,512,1079211.28157019,1038410.3373055314,46264.30787695595,73713.72248617782,48.416015625,156395.69351631595,1.0
v13_mdcp_empirical_tight,36,512,1045371.0719239876,1017207.3141057254,39629.51023722526,60814.023145720785,43.822265625,101884.11864614944,1.0
v13_spo_regret_audit_guarded,36,512,1077288.7862587264,1030286.8975371169,45896.64376623777,74146.00547494493,55.001953125,152001.14208466705,1.0
v13_spo_regret_balanced,36,512,1083037.1377496973,1035511.336405164,46457.295013553725,75478.24719989418,53.244140625,159891.2088395634,1.0
v13_spo_regret_return_recovery,36,512,1080242.2411016559,1030019.1881215478,48762.5120035021,80020.98587623882,55.748046875,162295.88000432897,1.0
v13_static_reference,36,512,1021683.237767075,913666.0443501375,250879.5301195063,325250.2632240904,23.796875,313342.4814003501,1.0
