iteration,candidate_policy_id,warm_start_source,pricing_score_v28,column_added,active_caps_checked,claim_scope,version_v33
1,v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,v24_frontier_plus_v20_restricted_master,0.7066666666666667,True,"grade_dplus,dti_high,score_low,income_q5,period_2018h1,state_top20",heuristic pricing log; not full-universe exact proof,column_generation_log_v3_reaudit
2,v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,v24_frontier_plus_v20_restricted_master,0.6566666666666667,True,"grade_dplus,dti_high,score_low,income_q5,period_2018h1,state_top20",heuristic pricing log; not full-universe exact proof,column_generation_log_v3_reaudit
3,v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,v24_frontier_plus_v20_restricted_master,0.5566666666666666,True,"grade_dplus,dti_high,score_low,income_q5,period_2018h1,state_top20",heuristic pricing log; not full-universe exact proof,column_generation_log_v3_reaudit
4,v13_cvar_mdcp_colgen_r1_k32000_floor80000_cap90000,v24_frontier_plus_v20_restricted_master,0.5066666666666667,False,"grade_dplus,dti_high,score_low,income_q5,period_2018h1,state_top20",heuristic pricing log; not full-universe exact proof,column_generation_log_v3_reaudit
5,v13_cvar_mdcp_colgen_r1_k32000_floor80000_cap105000,v24_frontier_plus_v20_restricted_master,0.5066666666666667,False,"grade_dplus,dti_high,score_low,income_q5,period_2018h1,state_top20",heuristic pricing log; not full-universe exact proof,column_generation_log_v3_reaudit
6,v13_cvar_mdcp_colgen_r1_k32000_floor95000_cap125000,v24_frontier_plus_v20_restricted_master,0.5066666666666667,False,"grade_dplus,dti_high,score_low,income_q5,period_2018h1,state_top20",heuristic pricing log; not full-universe exact proof,column_generation_log_v3_reaudit
7,v13_cvar_mdcp_colgen_r1_k32000_floor110000_cap150000,v24_frontier_plus_v20_restricted_master,0.5066666666666667,False,"grade_dplus,dti_high,score_low,income_q5,period_2018h1,state_top20",heuristic pricing log; not full-universe exact proof,column_generation_log_v3_reaudit
8,v13_cvar_mdcp_colgen_r1_k32000_floor125000_cap175000,v24_frontier_plus_v20_restricted_master,0.5066666666666667,False,"grade_dplus,dti_high,score_low,income_q5,period_2018h1,state_top20",heuristic pricing log; not full-universe exact proof,column_generation_log_v3_reaudit
9,v13_cvar_mdcp_colgen_r1_k32000_floor145000_cap210000,v24_frontier_plus_v20_restricted_master,0.5066666666666667,False,"grade_dplus,dti_high,score_low,income_q5,period_2018h1,state_top20",heuristic pricing log; not full-universe exact proof,column_generation_log_v3_reaudit
10,v13_cvar_mdcp_colgen_r1_k32000_floor160000_cap250000,v24_frontier_plus_v20_restricted_master,0.5066666666666667,False,"grade_dplus,dti_high,score_low,income_q5,period_2018h1,state_top20",heuristic pricing log; not full-universe exact proof,column_generation_log_v3_reaudit
