two_swap_seed_rank_v352,seed_action_signature_v352,seed_return_delta_v352,seed_cvar90_v352,third_add_candidate_rows_v352,third_drop_candidate_rows_v352,ordered_third_order_rows_v352,return_improving_rows_v352,budget_return_rows_v352,source_exact_rows_v352,cvar_feasible_entering_rows_v352,best_source_exact_return_delta_v352,best_source_exact_cvar90_v352,claim_boundary_v352,grade_source_feasible_alone_rows_v352,score_decile_source_feasible_alone_rows_v352,income_band_source_feasible_alone_rows_v352,dti_band_source_feasible_alone_rows_v352,period_source_feasible_alone_rows_v352,state_top20_source_feasible_alone_rows_v352
1,add=148145784|160128011;drop=140423185|151825245,0.3041451284761223,96391.72454582952,4383,169,740727,407099,141409,5,0,1.4415208456076343,96414.35220743387,one unique v351 source-exact two-swap row used as a third-order seed,53,9254,141409,141409,141409,141409
2,add=148145784|151083962;drop=140423185|148017643,0.3109966297309121,96397.9741468058,4383,169,740727,406779,141219,5,0,1.4483723468624206,96420.60180841017,one unique v351 source-exact two-swap row used as a third-order seed,53,9257,141219,141219,141219,141219
3,add=148145784|149467955;drop=139708433|140423185,0.2973770791409365,96398.17980349476,4383,169,740727,407659,141654,5,0,1.4347527962724484,96420.8074650991,one unique v351 source-exact two-swap row used as a third-order seed,53,9265,141654,141654,141654,141654
4,add=139234645|151083962;drop=140423185|147190807,0.2635463186694782,96412.40524445356,4383,169,740727,407981,141818,4,0,1.5723266977743435,96420.60180841017,one unique v351 source-exact two-swap row used as a third-order seed,52,9269,141818,141818,141818,141818
5,add=148145784|151083962;drop=127648167|140423185,1.040824758548457,96413.18935239664,4383,169,740727,408170,142009,6,0,2.178200475679972,96434.4280311249,one unique v351 source-exact two-swap row used as a third-order seed,54,9330,142009,142009,142009,142009
6,add=139234645|148145784;drop=147190807|148017643,1.110454189513213,96413.4179375014,4383,169,740727,409703,142799,8,0,2.1128822023849523,96420.60180841017,one unique v351 source-exact two-swap row used as a third-order seed,57,9381,142799,142799,142799,142799
7,add=139234645|148145784;drop=146052690|147190807,0.3457920884740382,96414.3302023896,4383,169,740727,408229,141966,4,0,1.348220101345774,96421.51407329833,one unique v351 source-exact two-swap row used as a third-order seed,52,9290,141966,141966,141966,141966
8,add=145955296|148145784;drop=127648167|140423185,0.6932099917044283,96415.15952502804,4383,169,740727,407471,141625,5,0,1.8305857088359403,96437.78718663238,one unique v351 source-exact two-swap row used as a third-order seed,53,9287,141625,141625,141625,141625
9,add=151083962|161983601;drop=140423185|147190807,0.1285986144097055,96416.72854463212,4383,169,740727,407728,141682,3,0,1.4373789935145709,96424.92510858871,one unique v351 source-exact two-swap row used as a third-order seed,51,9248,141682,141682,141682,141682
10,add=148145784|161983601;drop=147190807|148017643,0.9755064852534404,96417.74123767996,4383,169,740727,409444,142648,7,0,2.1128822023849523,96424.92510858871,one unique v351 source-exact two-swap row used as a third-order seed,55,9366,142648,142648,142648,142648
11,add=148145784|163545352;drop=140423185|148017643,0.7292522582891809,96417.77697489272,4383,169,740727,407581,141689,6,0,1.8666279754206911,96434.4280311249,one unique v351 source-exact two-swap row used as a third-order seed,54,9298,141689,141689,141689,141689
12,add=148145784|161983601;drop=146052690|147190807,0.2108443842142655,96418.65350256812,4383,169,740727,407963,141817,2,0,1.348220101345774,96445.6402015638,one unique v351 source-exact two-swap row used as a third-order seed,50,9278,141817,141817,141817,141817
13,add=144622469|148145784;drop=129082051|148017643,0.0808328672570581,96418.69732953762,4383,169,740727,406844,141277,5,0,1.2182085843885702,96441.32499114198,one unique v351 source-exact two-swap row used as a third-order seed,53,9234,141277,141277,141277,141277
14,add=139234645|148145784;drop=140423185|147190807,2.2589629441911843,96419.16595776878,4383,169,740727,411930,144134,21,1,3.261390957062922,96358.07639350664,one unique v351 source-exact two-swap row used as a third-order seed,73,9548,144134,144134,144134,144134
15,add=148145784|161983601;drop=140423185|147190807,2.124015239931412,96423.48925794734,4383,169,740727,411641,143948,18,1,3.261390957062922,96362.39969368519,one unique v351 source-exact two-swap row used as a third-order seed,70,9524,143948,143948,143948,143948
16,add=144622469|148145784;drop=129082051|140423185,1.2293416219350313,96424.44534980504,4383,169,740727,409028,142515,8,0,2.3667173390665397,96441.09640603719,one unique v351 source-exact two-swap row used as a third-order seed,57,9365,142515,142515,142515,142515
17,add=148145784|163545352;drop=127648167|148017643,0.3105716324287542,96427.24416021616,4383,169,740727,406806,141237,5,0,1.4479473495602662,96434.4280311249,one unique v351 source-exact two-swap row used as a third-order seed,53,9263,141237,141237,141237,141237
18,add=139234645|148145784;drop=127648167|147190807,1.8402823183307573,96428.6331430922,4383,169,740727,411122,143649,16,0,2.842710331202497,96423.81939275727,one unique v351 source-exact two-swap row used as a third-order seed,68,9484,143649,143649,143649,143649
19,add=139234645|163545352;drop=140423185|147190807,0.6818019472277488,96432.2080725405,4383,169,740727,408785,142293,5,0,1.9905823263326141,96440.40463649709,one unique v351 source-exact two-swap row used as a third-order seed,53,9314,142293,142293,142293,142293
20,add=148145784|161983601;drop=127648167|147190807,1.7053346140709849,96432.95644327076,4383,169,740727,410831,143479,12,0,2.842710331202497,96428.14269293583,one unique v351 source-exact two-swap row used as a third-order seed,61,9461,143479,143479,143479,143479
21,add=148145784|163545352;drop=127648167|140423185,1.4590803871067255,96432.99218048356,4383,169,740727,408965,142493,8,0,2.5964561042382357,96428.17843014862,one unique v351 source-exact two-swap row used as a third-order seed,57,9387,142493,142493,142493,142493
22,add=139234645|144622469;drop=129082051|147190807,0.033382556195626,96433.12842718538,4383,169,740727,408051,141882,5,0,1.76084356116092,96441.32499114198,one unique v351 source-exact two-swap row used as a third-order seed,53,9246,141882,141882,141882,141882
23,add=144622469|148145784;drop=127648167|129082051,0.8106609960746027,96433.91253512845,4383,169,740727,408201,142032,7,0,1.9480367132061147,96441.09640603719,one unique v351 source-exact two-swap row used as a third-order seed,55,9305,142032,142032,142032,142032
24,add=148145784|153611978;drop=140423185|148128009,0.1624592092954202,96434.88752738424,4383,169,740727,407765,142395,5,0,5.539231487520283,96445.40067111739,one unique v351 source-exact two-swap row used as a third-order seed,52,11293,142395,142395,142395,142395
25,add=161983601|163545352;drop=140423185|147190807,0.5468542429679744,96436.53137271904,4383,169,740727,408524,142137,5,0,1.8556346220728415,96444.72793667563,one unique v351 source-exact two-swap row used as a third-order seed,53,9292,142137,142137,142137,142137
26,add=139234645|163545352;drop=127648167|147190807,0.263121321367322,96441.67525786391,4383,169,740727,408005,141836,4,0,1.990582326332616,96449.8718218205,one unique v351 source-exact two-swap row used as a third-order seed,52,9275,141836,141836,141836,141836
27,add=161983601|163545352;drop=127648167|147190807,0.1281736171075458,96445.99855804248,4383,169,740727,407755,141702,3,0,1.8556346220728397,96454.19512199904,one unique v351 source-exact two-swap row used as a third-order seed,51,9255,141702,141702,141702,141702
28,add=139234645|151083962;drop=140423185|148128009,0.8694200965750998,96458.12962576654,4383,169,740727,409153,142479,6,0,2.178200475679965,96466.32618972311,one unique v351 source-exact two-swap row used as a third-order seed,54,9340,142479,142479,142479,142479
29,add=139234645|148145784;drop=148017643|148128009,1.7163279674188343,96459.14231881437,4383,169,740727,410865,143485,12,0,2.1128822023849523,96454.32856847941,one unique v351 source-exact two-swap row used as a third-order seed,61,9461,143485,143485,143485,143485
30,add=139234645|148145784;drop=146052690|148128009,0.9516658663796598,96460.05458370251,4383,169,740727,409401,142625,7,0,1.348220101345781,96467.23845461129,one unique v351 source-exact two-swap row used as a third-order seed,55,9370,142625,142625,142625,142625
