source_family,source_id,cap_share_v356,source_exposure_v356,source_share_v356,source_slack_v356,source_slack_rank_v356,source_tight_flag_v356,branch_price_priority_v356,required_next_artifact_v356,claim_boundary_v356
grade,A,0.8531348749298603,719850.0,0.8531302776214038,4.597308456477656e-06,1,True,1.0,paper4_v357_v353_branch_price_or_dual_bound_loop.csv,v353 source-slack hotspot map only; no branch-price termination certificate
score_decile,0,0.9,759300.0,0.8998844478682113,0.0001155521317887,2,True,2.0,paper4_v357_v353_branch_price_or_dual_bound_loop.csv,v353 source-slack hotspot map only; no branch-price termination certificate
income_band,4,0.85,661425.0,0.7838878848034132,0.0661121151965867,3,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
dti_band,0,0.85,618800.0,0.7333708630855382,0.1166291369144617,4,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,other,0.35,183825.0,0.2178602115492874,0.1321397884507125,5,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
period,2018,0.82,516225.0,0.6118040946934905,0.2081959053065094,6,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,CA,0.35,115800.0,0.1372403780628722,0.2127596219371277,7,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,IL,0.35,89325.0,0.1058635299694823,0.2441364700305175,8,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,NY,0.35,88375.0,0.1047376374033361,0.2452623625966637,9,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,WA,0.35,57475.0,0.0681165002518443,0.2818834997481556,10,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,FL,0.35,51075.0,0.0605315398062279,0.289468460193772,11,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,TX,0.35,32950.0,0.0390506947942283,0.3109493052057717,12,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,GA,0.35,32400.0,0.0383988622559331,0.3116011377440668,13,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,MA,0.35,29200.0,0.0346063820331249,0.315393617966875,14,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,PA,0.35,25850.0,0.0306361292998725,0.3193638707001274,15,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,OH,0.35,24200.0,0.0286806316849871,0.3213193683150128,16,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
state_top20,NC,0.35,23350.0,0.0276732541258036,0.3223267458741963,17,False,,none_for_non_tight_source_scope,v353 source-slack hotspot map only; no branch-price termination certificate
