three_swap_seed_rank_v361,seed_action_signature_v361,seed_return_delta_v361,seed_cvar90_v361,fourth_add_candidate_rows_v361,fourth_drop_candidate_rows_v361,ordered_fourth_order_rows_v361,return_improving_rows_v361,budget_return_rows_v361,source_exact_rows_v361,cvar_feasible_entering_rows_v361,best_source_exact_return_delta_v361,best_source_exact_cvar90_v361,claim_boundary_v361,grade_source_feasible_alone_rows_v361,score_decile_source_feasible_alone_rows_v361,income_band_source_feasible_alone_rows_v361,dti_band_source_feasible_alone_rows_v361,period_source_feasible_alone_rows_v361,state_top20_source_feasible_alone_rows_v361
1,add=140423185|145977956|147190807;drop=139234645|148017643|164875488,0.1957671342371796,96390.79027589706,4382,168,736176,405845,141242,1,0,1.198195147108919,96463.4656189929,one unique v359 source-exact three-swap row used as a fourth-order seed,49,9234,141242,141242,141242,141242
2,add=140423185|145977956|147190807;drop=127648167|139234645|164875488,0.9255952630547242,96406.0054814879,4382,168,736176,407245,142031,2,0,1.9280232759264635,96433.91253512845,one unique v359 source-exact three-swap row used as a fourth-order seed,50,9313,142031,142031,142031,142031
3,add=140423185|145977956|161983601;drop=139234645|148145784|164875488,0.0133691189159748,96409.5446737234,4382,168,736176,405535,141097,1,0,0.6192428968215964,96455.2690550363,one unique v359 source-exact three-swap row used as a fourth-order seed,49,9216,141097,141097,141097,141097
4,add=145977956|147190807|151083962;drop=127648167|139234645|164875488,0.6576396424983102,96413.18935239664,4382,168,736176,406708,141747,2,0,1.6600676553700495,96441.09640603719,one unique v359 source-exact three-swap row used as a fourth-order seed,50,9272,141747,141747,141747,141747
5,add=145955296|145977956|147190807;drop=127648167|139234645|164875488,0.3100248756542854,96415.15952502804,4382,168,736176,406049,141353,1,0,1.3124528885260247,96487.83486812389,one unique v359 source-exact three-swap row used as a fourth-order seed,49,9240,141353,141353,141353,141353
6,add=140423185|147190807|161983601;drop=127648167|139234645|148128009,0.0522454477854239,96417.59126032155,4382,168,736176,405283,140971,1,0,1.9280232759264635,96478.6808245837,one unique v359 source-exact three-swap row used as a fourth-order seed,49,9195,140971,140971,140971,140971
7,add=140423185|145977956|161983601;drop=139234645|148017643|164875488,0.5923213692032974,96417.74123767996,4382,168,736176,406629,141700,3,0,1.198195147108919,96445.64829132053,one unique v359 source-exact three-swap row used as a fourth-order seed,51,9275,141700,141700,141700,141700
8,add=145977956|147190807|163545352;drop=139234645|148017643|164875488,0.3460671422390362,96417.77697489274,4382,168,736176,406152,141413,1,0,1.3484951551107756,96490.45231798857,one unique v359 source-exact three-swap row used as a fourth-order seed,49,9248,141413,141413,141413,141413
9,add=145977956|160128011|161983601;drop=139234645|151825245|164875488,0.3175142473920935,96418.6755076124,4382,168,736176,406440,141586,2,0,0.9233880252977116,96455.12939193149,one unique v359 source-exact three-swap row used as a fourth-order seed,50,9244,141586,141586,141586,141586
10,add=140423185|145977956|160128011;drop=127648167|151825245|164875488,0.0337813257914412,96423.81939275729,4382,168,736176,404557,140623,2,0,1.036209338663177,96469.54377407023,one unique v359 source-exact three-swap row used as a fourth-order seed,50,9191,140623,140623,140623,140623
11,add=144622469|145977956|147190807;drop=129082051|139234645|164875488,0.8461565058848848,96424.44534980504,4382,168,736176,407562,142218,4,0,1.848584518756624,96433.91253512845,one unique v359 source-exact three-swap row used as a fourth-order seed,52,9306,142218,142218,142218,142218
12,add=145977956|151083962|161983601;drop=139234645|148017643|164875488,0.3243657486468834,96424.92510858872,4382,168,736176,406112,141392,2,0,0.930239526552505,96461.3789929078,one unique v359 source-exact three-swap row used as a fourth-order seed,50,9249,141392,141392,141392,141392
13,add=145977956|149467955|161983601;drop=139234645|139708433|164875488,0.3107461980569113,96425.13076527764,4382,168,736176,406990,141825,2,0,0.9166199759625329,96461.58464959676,one unique v359 source-exact three-swap row used as a fourth-order seed,50,9258,141825,141825,141825,141825
14,add=140423185|145977956|151083962;drop=127648167|148017643|164875488,0.040632827046231,96430.06899373358,4382,168,736176,404231,140427,2,0,1.0430608399179704,96475.79337504653,one unique v359 source-exact three-swap row used as a fourth-order seed,50,9194,140427,140427,140427,140427
15,add=140423185|145977956|149467955;drop=127648167|139708433|164875488,0.0270132764562589,96430.27465042252,4382,168,736176,405128,140880,2,0,1.0294412893279983,96475.99903173548,one unique v359 source-exact three-swap row used as a fourth-order seed,50,9203,140880,140880,140880,140880
16,add=140423185|145977956|161983601;drop=127648167|139234645|164875488,1.322149498020842,96432.95644327076,4382,168,736176,408004,142505,3,0,1.9280232759264635,96454.19512199904,one unique v359 source-exact three-swap row used as a fourth-order seed,52,9362,142505,142505,142505,142505
17,add=145977956|147190807|163545352;drop=127648167|139234645|164875488,1.0758952710565808,96432.99218048356,4382,168,736176,407529,142198,2,0,2.07832328392832,96460.89923412412,one unique v359 source-exact three-swap row used as a fourth-order seed,50,9326,142198,142198,142198,142198
18,add=145977956|161983601|163545352;drop=139234645|148145784|164875488,0.1636691269178314,96436.53137271904,4382,168,736176,405810,141228,1,0,0.769542904823453,96482.25575403201,one unique v359 source-exact three-swap row used as a fourth-order seed,49,9232,141228,141228,141228,141228
19,add=145977956|151083962|161983601;drop=127648167|139234645|164875488,1.054193877464428,96440.14031417952,4382,168,736176,407489,142177,3,0,1.6600676553700495,96461.3789929078,one unique v359 source-exact three-swap row used as a fourth-order seed,51,9324,142177,142177,142177,142177
20,add=140423185|144622469|145977956;drop=129082051|148017643|164875488,0.2291496904328056,96441.32499114198,4382,168,736176,405062,140875,3,0,1.231577703304545,96445.64829132053,one unique v359 source-exact three-swap row used as a fourth-order seed,51,9221,140875,140875,140875,140875
21,add=145955296|145977956|161983601;drop=127648167|139234645|164875488,0.7065791106204031,96442.11048681093,4382,168,736176,406797,141797,2,0,1.3124528885260247,96470.01754045147,one unique v359 source-exact three-swap row used as a fourth-order seed,50,9280,141797,141797,141797,141797
22,add=147190807|161983601|163545352;drop=127648167|139234645|148128009,0.2025454557872805,96444.57795931723,4382,168,736176,405573,141109,1,0,2.078323283928313,96505.66752357938,one unique v359 source-exact three-swap row used as a fourth-order seed,49,9213,141109,141109,141109,141109
23,add=145977956|161983601|163545352;drop=139234645|148017643|164875488,0.742621377205154,96444.72793667564,4382,168,736176,406914,141868,4,0,1.3484951551107756,96454.19512199904,one unique v359 source-exact three-swap row used as a fourth-order seed,52,9296,141868,141868,141868,141868
24,add=140423185|145977956|163545352;drop=127648167|148017643|164875488,0.4588884556045016,96449.8718218205,4382,168,736176,405003,140855,3,0,1.461316468476241,96454.19512199904,one unique v359 source-exact three-swap row used as a fourth-order seed,51,9236,140855,140855,140855,140855
25,add=145977956|160128011|163545352;drop=127648167|151825245|164875488,0.1840813337932978,96450.80609175297,4382,168,736176,404832,140761,3,0,1.1865093466650336,96455.12939193149,one unique v359 source-exact three-swap row used as a fourth-order seed,51,9209,140761,140761,140761,140761
26,add=140423185|145977956|147190807;drop=148128009|148145784|164875488,0.7541906010813726,96450.94575485776,4382,168,736176,406929,141880,4,0,0.6192428968215964,96455.2690550363,one unique v359 source-exact three-swap row used as a fourth-order seed,52,9300,141880,141880,141880,141880
