chunk_id_v365,start_offset_in_full_omitted_v365,end_offset_exclusive_v365,chunk_rows_v365,path_count_v365,scenario_cells_v365,raw_loss_matrix_mb_v365,working_memory_estimate_mb_v365,output_partition_path_v365,resumable_state_key_v365,claim_boundary_v365
1,0,10000,10000,128,1280000,9.765625,39.0625,reports/paper_material/paper4/tables/paper4_v365_pricing_chunks/chunk_0001.parquet,v365_chunk_0001,chunk schedule only; no reduced-cost or termination result yet
2,10000,20000,10000,128,1280000,9.765625,39.0625,reports/paper_material/paper4/tables/paper4_v365_pricing_chunks/chunk_0002.parquet,v365_chunk_0002,chunk schedule only; no reduced-cost or termination result yet
3,20000,30000,10000,128,1280000,9.765625,39.0625,reports/paper_material/paper4/tables/paper4_v365_pricing_chunks/chunk_0003.parquet,v365_chunk_0003,chunk schedule only; no reduced-cost or termination result yet
4,30000,40000,10000,128,1280000,9.765625,39.0625,reports/paper_material/paper4/tables/paper4_v365_pricing_chunks/chunk_0004.parquet,v365_chunk_0004,chunk schedule only; no reduced-cost or termination result yet
5,40000,50000,10000,128,1280000,9.765625,39.0625,reports/paper_material/paper4/tables/paper4_v365_pricing_chunks/chunk_0005.parquet,v365_chunk_0005,chunk schedule only; no reduced-cost or termination result yet
6,50000,60000,10000,128,1280000,9.765625,39.0625,reports/paper_material/paper4/tables/paper4_v365_pricing_chunks/chunk_0006.parquet,v365_chunk_0006,chunk schedule only; no reduced-cost or termination result yet
7,60000,70000,10000,128,1280000,9.765625,39.0625,reports/paper_material/paper4/tables/paper4_v365_pricing_chunks/chunk_0007.parquet,v365_chunk_0007,chunk schedule only; no reduced-cost or termination result yet
8,70000,80000,10000,128,1280000,9.765625,39.0625,reports/paper_material/paper4/tables/paper4_v365_pricing_chunks/chunk_0008.parquet,v365_chunk_0008,chunk schedule only; no reduced-cost or termination result yet
9,80000,90000,10000,128,1280000,9.765625,39.0625,reports/paper_material/paper4/tables/paper4_v365_pricing_chunks/chunk_0009.parquet,v365_chunk_0009,chunk schedule only; no reduced-cost or termination result yet
10,90000,100000,10000,128,1280000,9.765625,39.0625,reports/paper_material/paper4/tables/paper4_v365_pricing_chunks/chunk_0010.parquet,v365_chunk_0010,chunk schedule only; no reduced-cost or termination result yet
