bundle_id_v377,artifact_role_v377,source_wave_v377,artifact_path_v377,required_v377,path_exists_v377,byte_size_v377,sha256_v377,claim_use_v377,claim_boundary_v377
v361_fourth_order_screen,table,v361,reports/paper_material/paper4/tables/paper4_v361_v353_fourth_order_or_full_dual_bound.csv,True,True,1229,d212ca126bafb76efe36d53c675799e0ba93e218a2e8eecd325e071ccc0879b4,bounded fourth-order no-entry evidence,bounded solver evidence only
v361_status,status,v361,reports/paper_material/paper4/status/paper4_v361_status.json,True,True,1703,788c5c672e1a13b82a87aab23ac0207e621e8c19e7065394a57e7dd8c56096b3,status provenance,status evidence only
v363_dual_bound_gap,table,v363,reports/paper_material/paper4/tables/paper4_v363_v353_full_dual_bound_or_gap_certificate.csv,True,True,996,6ad54acc84897fe4e79ce3c2a4ac759ffc0e77dabc6e63665499d757b8acaa62,full-v55 gap disclosure,not a global proof
v363_status,status,v363,reports/paper_material/paper4/status/paper4_v363_status.json,True,True,1635,ab8ca1cca136c6ea61d4b082088b4cee2bf5a54e2ba4893fc372a5500a85114c,status provenance,status evidence only
v368_claim_scope_update,note,v368,reports/paper_material/paper4/notes/paper4_v368_publishable_claim_scope_update.md,True,True,2683,6e691e3947946ad5cbe12f4818c9319fec7cc6a66c742395838448eec420b539,bounded publishable claim scope,scope update only
v368_status,status,v368,reports/paper_material/paper4/status/paper4_v368_status.json,True,True,2070,3cdc7133d25c61a7361a9b31a457b7a30beaecb7de838e66f5f818628eff8025,status provenance,status evidence only
v369_proxy_live_separation,table,v369,reports/paper_material/paper4/tables/paper4_v369_proxy_live_gate_separation.csv,True,True,1480,5909546dc4c4c1e016a270570fa1ab7da0e16f741e3efefaf022bf538aa37c18,proxy/live separation,gate separation only
v369_gate_requirements,table,v369,reports/paper_material/paper4/tables/paper4_v369_gate_requirement_matrix.csv,True,True,1025,c5f8155eb6de1d9a48fc7ba0a84510dc9b88434f2d4fcef8142f0ed9603c1fb0,live gate requirements,requirements only
v369_status,status,v369,reports/paper_material/paper4/status/paper4_v369_status.json,True,True,1647,bca491be88fd7a0e49a3538db5c6a0648cc1167449e70130d6e946240d6d5074,status provenance,status evidence only
v371_source_diagnostic,table,v371,reports/paper_material/paper4/tables/paper4_v371_source_governance_blocker_diagnostic.csv,True,True,701,c6336b3ec258289163a68acb752e91f1d674590461607bb2cc7b887970e307bd,grade=A source blocker,diagnostic only
v371_status,status,v371,reports/paper_material/paper4/status/paper4_v371_status.json,True,True,1365,d503217decc9b27bce75609c5b93e8759bb37cb8c8e39435f2d2544a38828f9e,status provenance,status evidence only
v372_grade_a_prefilter,table,v372,reports/paper_material/paper4/tables/paper4_v372_grade_a_source_relief_prefilter.csv,True,True,844,6b6ef5e0ac550917dd24d57fb3019cb5f9f7f0419250c67c69ab201c48c879cc,grade-A relief prefilter,diagnostic only
v372_status,status,v372,reports/paper_material/paper4/status/paper4_v372_status.json,True,True,1447,bc25fe3fc6f8f5daf270a12886645d0218056eaf175203c42c6287409ed3f3c4,status provenance,status evidence only
v373_chunk_stop_rule,table,v373,reports/paper_material/paper4/tables/paper4_v373_full_v55_chunk_002_or_stop_rule.csv,True,True,803,71efaad5ed6b26a12e6dcb3499fe8387dd7713ea5e6923d9050eda9078866c3e,blind chunking stop rule,execution decision only
v373_sampled_chunks,table,v373,reports/paper_material/paper4/tables/paper4_v373_sampled_chunk_source_screen.csv,True,True,1370,7e7041d48ec661b7f5a40d19c061f41562979a15e8837cf7cf3efe28769708fb,sampled source screens,sampled diagnostic only
v373_status,status,v373,reports/paper_material/paper4/status/paper4_v373_status.json,True,True,1326,954d731cb970ae3a331ae7a4922c8fb7dd10c627fbeae66b9d8e8cb52600df70,status provenance,status evidence only
v374_claim_draft_note,note,v374,reports/paper_material/paper4/notes/paper4_v374_paper4_claim_language_section_draft.md,True,True,2095,21cb1be6b4578aeddefb3fb445e1fa4dd03191a869760bb1cba6ff89ea8e7446,paper language draft,draft only
v374_claim_draft_table,table,v374,reports/paper_material/paper4/tables/paper4_v374_claim_language_section_draft.csv,True,True,1937,60cb62cda7f7274e17e3130e6ecbe7996cdfea2d4f3d80857e335c5319d54750,paper language rows,draft only
v374_citation_map,table,v374,reports/paper_material/paper4/tables/paper4_v374_evidence_citation_map.csv,True,True,923,2e8f437eb5c600b96a87201014b45ae81a21abf7859f610a4827b59f6638622c,citation evidence map,citation support only
