bundle_id_v377,artifact_role_v377,source_wave_v377,artifact_path_v377,required_v377,path_exists_v377,byte_size_v377,sha256_v377,claim_use_v377,claim_boundary_v377
v361_status,status,v361,reports/paper_material/paper4/status/paper4_v361_status.json,True,True,1703,788c5c672e1a13b82a87aab23ac0207e621e8c19e7065394a57e7dd8c56096b3,status provenance,status evidence only
v363_status,status,v363,reports/paper_material/paper4/status/paper4_v363_status.json,True,True,1635,ab8ca1cca136c6ea61d4b082088b4cee2bf5a54e2ba4893fc372a5500a85114c,status provenance,status evidence only
v368_status,status,v368,reports/paper_material/paper4/status/paper4_v368_status.json,True,True,2070,3cdc7133d25c61a7361a9b31a457b7a30beaecb7de838e66f5f818628eff8025,status provenance,status evidence only
v369_status,status,v369,reports/paper_material/paper4/status/paper4_v369_status.json,True,True,1647,bca491be88fd7a0e49a3538db5c6a0648cc1167449e70130d6e946240d6d5074,status provenance,status evidence only
v371_status,status,v371,reports/paper_material/paper4/status/paper4_v371_status.json,True,True,1365,d503217decc9b27bce75609c5b93e8759bb37cb8c8e39435f2d2544a38828f9e,status provenance,status evidence only
v372_status,status,v372,reports/paper_material/paper4/status/paper4_v372_status.json,True,True,1447,bc25fe3fc6f8f5daf270a12886645d0218056eaf175203c42c6287409ed3f3c4,status provenance,status evidence only
v373_status,status,v373,reports/paper_material/paper4/status/paper4_v373_status.json,True,True,1326,954d731cb970ae3a331ae7a4922c8fb7dd10c627fbeae66b9d8e8cb52600df70,status provenance,status evidence only
v374_status,status,v374,reports/paper_material/paper4/status/paper4_v374_status.json,True,True,1150,c4accebd47cf9610e0ca1f0fe2382fa1fe33b4a41db88aa16b7c0ab5e3886df6,status provenance,status evidence only
v375_status,status,v375,reports/paper_material/paper4/status/paper4_v375_status.json,True,True,1471,65eaf811bc6a5ba1b5e56f2af22bef81f46a36568420d4217183d4f3434e457f,status provenance,status evidence only
v376_status,status,v376,reports/paper_material/paper4/status/paper4_v376_status.json,True,True,1363,504740d4e735dc203187cf88b47bede0c71bb95c46c243f412e4dbe88c89fcd9,status provenance,status evidence only
